adres_full;SU;BU;LU;File_SSV_Action;File_SSV_Status;File_SSV_Error;Area_Type;Area_FID;Area_Version;Area_Name;Zoning_FID;Zoning_Version;Zoning_Name;Zoning_Id;Zoning_Tech;BG_Id;BG_Version;BG_Name;BG_SSV_Action;BG_SSV_Status;BG_SSV_Error;BG_Building_SSV_Action;BG_Building_SSV_Status;BG_Building_SSV_Error;Building_FID;Building_Version;LAM_MK;LAM_City_Code;LAM_Street_Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall_Mount;SS_Reason;Number_Floors;Height_Cable;Orig_VC_Type;New_VC_Type;VC_Method;Intro_Tube;Prov_Status;Prov_Reason;Prov_Planned;Prov_Mod_By;Prov_Mod_Date;Comments;SSV_Flag;SSV_Action;SSV_Status;SSV_Error;SSV_Date;Seq;LU_Key;LAM_SK;Nature;Nr_TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD_Details;CAD_Type;CAD_Type_Descr;CAD_SubType;Prov_Status_LU;Prov_Reason_LU;Prov_Planned_LU;Prov_Mod_By_LU;Prov_Mod_Date_LU;Comments_LU;SSV_Flag_LU;SSV_Action_LU;SSV_Status_LU;SSV_Error_LU;SSV_Date_LU;planrrr_bid;planrrr_uid;BT;GUESSED_UNITS_FLOOR;Seq_test;maxSeq;newSeq;LAM Nature index;Unit Counter_x;GUESSED_FLOOR;GUESSED_FLOOR_TRUNC;SS_Fiberhood;LAMKEY;NATURE;PBOX;BLOCK;FLOOR;APP;Unit Counter_y;MERGED_PBOX;MERGED_APP;;MERGED_FLOOR
Sint-Jozefsstraat 9;1;0;9;;;;Zoning;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;21143;FTTH-Cu;;';'Sint-Jozefsstraat 5-7-9;NEW;;;NEW;;;21256341;'20191129173413;1320201;'33860000;'29062;Sint-Jozefsstraat;'9;';8301;Knokke-Heist;;'71035;'226046;;N;IRREG;4;4;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;Y;MODIFY;;;';;;;SU;1;;;;;;;;;;;;;;;;;N;NEW;;;';1320201;;MDU;2.25;0;9;10;1320201-SU1;9.0;3.5555555555555554;3;W03-C-Knokke-Heist-FH11;1320201;SU;0;;;;9.0;0;SU1;;0
Sint-Antoniusstraat 2;0;0;7;;;;Zoning;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;21143;FTTH-Cu;;';';;;;;;;20974694;'20191129173602;1320202;'33860000;'28923;Sint-Antoniusstraat;'2;';8301;Knokke-Heist;;'71066,18;'226006,12;;Y;NA;4;3;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';1;8358175;;LU;1;;;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;;;;;;;;N;KEEP;;;';1320202;8358175;MDU;1.75;1;7;1;1320202-LU1;1.0;0.0;0;W03-C-Knokke-Heist-FH11;1320202;LU;1;;0;;1.0;1;1;;0
Sint-Antoniusstraat 2;0;0;7;;;;Zoning;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;21143;FTTH-Cu;;';';;;;;;;20974694;'20191129173602;1320202;'33860000;'28923;Sint-Antoniusstraat;'2;';8301;Knokke-Heist;;'71066,18;'226006,12;;Y;NA;4;3;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';2;8358176;;LU;1;;;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;;;;;;;;N;KEEP;;;';1320202;8358176;MDU;1.75;2;7;2;1320202-LU2;2.0;0.5714285714285714;0;W03-C-Knokke-Heist-FH11;1320202;LU;11;;1;;2.0;11;101;;1
Sint-Antoniusstraat 2;0;0;7;;;;Zoning;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;21143;FTTH-Cu;;';';;;;;;;20974694;'20191129173602;1320202;'33860000;'28923;Sint-Antoniusstraat;'2;';8301;Knokke-Heist;;'71066,18;'226006,12;;Y;NA;4;3;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';3;8358177;;LU;1;;;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;;;;;;;;N;KEEP;;;';1320202;8358177;MDU;1.75;3;7;3;1320202-LU3;3.0;1.1428571428571428;1;W03-C-Knokke-Heist-FH11;1320202;LU;12;;1;;3.0;12;102;;1
Sint-Antoniusstraat 2;0;0;7;;;;Zoning;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;21143;FTTH-Cu;;';';;;;;;;20974694;'20191129173602;1320202;'33860000;'28923;Sint-Antoniusstraat;'2;';8301;Knokke-Heist;;'71066,18;'226006,12;;Y;NA;4;3;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';4;8358178;;LU;1;;;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;;;;;;;;N;KEEP;;;';1320202;8358178;MDU;1.75;4;7;4;1320202-LU4;4.0;1.7142857142857142;1;W03-C-Knokke-Heist-FH11;1320202;LU;21;;2;;4.0;21;201;;2
Sint-Antoniusstraat 2;0;0;7;;;;Zoning;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;21143;FTTH-Cu;;';';;;;;;;20974694;'20191129173602;1320202;'33860000;'28923;Sint-Antoniusstraat;'2;';8301;Knokke-Heist;;'71066,18;'226006,12;;Y;NA;4;3;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';5;8358179;;LU;1;;;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;;;;;;;;N;KEEP;;;';1320202;8358179;MDU;1.75;5;7;5;1320202-LU5;5.0;2.2857142857142856;2;W03-C-Knokke-Heist-FH11;1320202;LU;22;;2;;5.0;22;202;;2
Sint-Antoniusstraat 2;0;0;7;;;;Zoning;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;21143;FTTH-Cu;;';';;;;;;;20974694;'20191129173602;1320202;'33860000;'28923;Sint-Antoniusstraat;'2;';8301;Knokke-Heist;;'71066,18;'226006,12;;Y;NA;4;3;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';6;8358180;;LU;1;;;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;;;;;;;;N;KEEP;;;';1320202;8358180;MDU;1.75;6;7;6;1320202-LU6;6.0;2.8571428571428568;2;W03-C-Knokke-Heist-FH11;1320202;LU;31;;3;;6.0;31;301;;3
Sint-Antoniusstraat 2;0;0;7;;;;Zoning;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;21143;FTTH-Cu;;';';;;;;;;20974694;'20191129173602;1320202;'33860000;'28923;Sint-Antoniusstraat;'2;';8301;Knokke-Heist;;'71066,18;'226006,12;;Y;NA;4;3;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';7;8358181;;LU;1;;;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;;;;;;;;N;KEEP;;;';1320202;8358181;MDU;1.75;7;7;7;1320202-LU7;7.0;3.428571428571429;3;W03-C-Knokke-Heist-FH11;1320202;LU;32;;3;;7.0;32;302;;3
Onderwijsstraat 92;0;0;3;;;;Zoning;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;21143;FTTH-Cu;;';';;;;;;;20974700;'20191129173603;1353727;'33860000;'23035;Onderwijsstraat;'92;';8301;Knokke-Heist;;'71564,564;'225851,147;;Y;NA;3;3;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';1;8344909;;LU;1;;;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;;;;;;;;N;KEEP;;;';1353727;8344909;MDU;1.0;1;3;1;1353727-LU1;1.0;0.0;0;W03-C-Knokke-Heist-FH11;1353727;LU;1;;0;;1.0;1;1;;0
Onderwijsstraat 92;0;0;3;;;;Zoning;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;21143;FTTH-Cu;;';';;;;;;;20974700;'20191129173603;1353727;'33860000;'23035;Onderwijsstraat;'92;';8301;Knokke-Heist;;'71564,564;'225851,147;;Y;NA;3;3;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';2;8344910;;LU;1;;;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;;;;;;;;N;KEEP;;;';1353727;8344910;MDU;1.0;2;3;2;1353727-LU2;2.0;1.0;1;W03-C-Knokke-Heist-FH11;1353727;LU;101;;1;;2.0;101;101;;1
