Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;BG Name;Straat;Huisnummer;Huisnummer Toevoeging
EVERE - FH03;6525388;;BL0327;6525388;BL0327;BUILDING template;;Adolf De Brandtstraat - Rue Adolphe De Brandt;63;
EVERE - FH03;1623802;;BL0328;1623802;BL0328;BUILDING template;;Adolf De Brandtstraat - Rue Adolphe De Brandt;64;
EVERE - FH03;1623803;;BL0327;1623803;BL0327;BUILDING template;;Adolf De Brandtstraat - Rue Adolphe De Brandt;65;
EVERE - FH03;1623804;;BL0328;1623804;BL0328;BUILDING template;;Adolf De Brandtstraat - Rue Adolphe De Brandt;66;
EVERE - FH03;1623805;;BL0327;1623805;BL0327;BUILDING template;;Adolf De Brandtstraat - Rue Adolphe De Brandt;67;
EVERE - FH03;832007;;BL0328;832007;BL0328;BUILDING template;;Adolf De Brandtstraat - Rue Adolphe De Brandt;68;
EVERE - FH03;832009;;BL0329;832009;BL0329;BUILDING template;;Adolf De Brandtstraat - Rue Adolphe De Brandt;68;A
EVERE - FH03;828180;;BL0327;828180;BL0327;BUILDING template;;Adolf De Brandtstraat - Rue Adolphe De Brandt;69;
EVERE - FH03;1623806;;BL0329;1623806;BL0329;BUILDING template;;Adolf De Brandtstraat - Rue Adolphe De Brandt;70;
EVERE - FH03;1623807;;BL0329;1623807;BL0329;BUILDING template;;Adolf De Brandtstraat - Rue Adolphe De Brandt;72;
EVERE - FH03;1623808;;BL0329;1623808;BL0329;BUILDING template;;Adolf De Brandtstraat - Rue Adolphe De Brandt;74;
EVERE - FH03;1623809;;BL0329;1623809;BL0329;BUILDING template;;Adolf De Brandtstraat - Rue Adolphe De Brandt;76;
EVERE - FH03;1623810;;BL0329;1623810;BL0329;BUILDING template;;Adolf De Brandtstraat - Rue Adolphe De Brandt;78;
EVERE - FH03;1623811;;BL0329;1623811;BL0329;BUILDING template;;Adolf De Brandtstraat - Rue Adolphe De Brandt;80;
EVERE - FH03;832003;;BL0329;832003;BL0329;BUILDING template;;Adolf De Brandtstraat - Rue Adolphe De Brandt;82;
EVERE - FH03;1620426;;BL0342;1620426;BL0342;BUILDING template;;Algarvegaarde - Clos de l Algarve;1;
EVERE - FH03;717096;;BL0342;717096;BL0342;BUILDING template;;Algarvegaarde - Clos de l Algarve;2;
EVERE - FH03;1620427;;BL0343;1620427;BL0343;BUILDING template;;Algarvegaarde - Clos de l Algarve;3;
EVERE - FH03;1620428;;BL0342;1620428;BL0342;BUILDING template;;Algarvegaarde - Clos de l Algarve;4;
EVERE - FH03;1620429;;BL0343;1620429;BL0343;BUILDING template;;Algarvegaarde - Clos de l Algarve;5;
EVERE - FH03;717095;;BL0342;717095;BL0342;BUILDING template;;Algarvegaarde - Clos de l Algarve;6;
EVERE - FH03;1620430;;BL0343;1620430;BL0343;BUILDING template;;Algarvegaarde - Clos de l Algarve;7;
EVERE - FH03;1620377;;BL0343;1620377;BL0343;BUILDING template;Andalusielaan 8-9;Andalusielaan - Avenue de l Andalousie;8;
EVERE - FH03;1329510;;BL0343;1329510;BL0343;BUILDING template;Andalusielaan 8-9;Andalusielaan - Avenue de l Andalousie;9;
EVERE - FH03;1517718;;BL0337;1517718;BL0337;BUILDING template;Andalusielaan 10-11-12-13-14-15-16-17-18-19-20;Andalusielaan - Avenue de l Andalousie;10;
EVERE - FH03;1620378;;BL0337;1620378;BL0337;BUILDING template;Andalusielaan 10-11-12-13-14-15-16-17-18-19-20;Andalusielaan - Avenue de l Andalousie;11;
EVERE - FH03;6663506;;BL0337;6663506;BL0337;BUILDING template;Andalusielaan 10-11-12-13-14-15-16-17-18-19-20;Andalusielaan - Avenue de l Andalousie;12;
EVERE - FH03;1330950;;BL0337;1330950;BL0337;BUILDING template;Andalusielaan 10-11-12-13-14-15-16-17-18-19-20;Andalusielaan - Avenue de l Andalousie;13;
EVERE - FH03;6663508;;BL0337;6663508;BL0337;BUILDING template;Andalusielaan 10-11-12-13-14-15-16-17-18-19-20;Andalusielaan - Avenue de l Andalousie;14;
EVERE - FH03;1620379;;BL0337;1620379;BL0337;BUILDING template;Andalusielaan 10-11-12-13-14-15-16-17-18-19-20;Andalusielaan - Avenue de l Andalousie;15;
EVERE - FH03;1286900;;BL0337;1286900;BL0337;BUILDING template;Andalusielaan 10-11-12-13-14-15-16-17-18-19-20;Andalusielaan - Avenue de l Andalousie;16;
EVERE - FH03;1331803;;BL0337;1331803;BL0337;BUILDING template;Andalusielaan 10-11-12-13-14-15-16-17-18-19-20;Andalusielaan - Avenue de l Andalousie;17;
EVERE - FH03;1359110;;BL0337;1359110;BL0337;BUILDING template;Andalusielaan 10-11-12-13-14-15-16-17-18-19-20;Andalusielaan - Avenue de l Andalousie;18;
