Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;BG Name;Straat;Huisnummer;Huisnummer Toevoeging
HASSELT - FH05;2406760;1;BL0002;2406760;BL0002;BUILDING template;;Vier-Bundersstraat;2;
HASSELT - FH05;4897745;1;BL0002;4897745;BL0002;BUILDING template;;Vier-Bundersstraat;3;
HASSELT - FH05;4897748;1;BL0002;4897748;BL0002;BUILDING template;;Vier-Bundersstraat;4;
HASSELT - FH05;2406762;1;BL0002;2406762;BL0002;BUILDING template;;Vier-Bundersstraat;8;
HASSELT - FH05;708909;1;BL0003;708909;BL0003;BUILDING template;;Winterstraat;1;
HASSELT - FH05;328362;1;BL0003;328362;BL0003;BUILDING template;;Winterstraat;3;
HASSELT - FH05;328366;1;BL0003;328366;BL0003;BUILDING template;;Winterstraat;5;
HASSELT - FH05;328365;1;BL0003;328365;BL0003;BUILDING template;;Winterstraat;7;
HASSELT - FH05;328368;1;BL0003;328368;BL0003;BUILDING template;;Winterstraat;8;
HASSELT - FH05;328364;1;BL0003;328364;BL0003;BUILDING template;;Winterstraat;9;
HASSELT - FH05;328367;1;BL0003;328367;BL0003;BUILDING template;;Winterstraat;10;
HASSELT - FH05;5751543;1;BL0003;5751543;BL0003;BUILDING template;;Winterstraat;12;
HASSELT - FH05;4896908;1;BL0003;4896908;BL0003;BUILDING template;;Winterstraat;13;
HASSELT - FH05;6391167;1;BL0003;6391167;BL0003;BUILDING template;;Winterstraat;14;
HASSELT - FH05;4896910;1;BL0003;4896910;BL0003;BUILDING template;;Winterstraat;15;
HASSELT - FH05;5908229;1;BL0003;5908229;BL0003;BUILDING template;;Winterstraat;16;
HASSELT - FH05;1319342;1;BL0003;1319342;BL0003;BUILDING template;;Winterstraat;17;
HASSELT - FH05;5751546;1;BL0003;5751546;BL0003;BUILDING template;;Winterstraat;18;
HASSELT - FH05;4896914;1;BL0003;4896914;BL0003;BUILDING template;;Winterstraat;19;
HASSELT - FH05;4176413;1;BL0003;4176413;BL0003;BUILDING template;;Winterstraat;21;
