Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;BG Name;Straat;Huisnummer;Huisnummer Toevoeging
KNOKKE-HEIST - FH06;2762809;;BL0616;2762809;BL0616;BUILDING template;;Leopoldlaan;69;
KNOKKE-HEIST - FH06;2762811;;BL0616;2762811;BL0616;BUILDING template;;Leopoldlaan;71;
KNOKKE-HEIST - FH06;2762816;;BL0616;2762816;BL0616;BUILDING template;;Leopoldlaan;79;
KNOKKE-HEIST - FH06;2762830;;BL0616;2762830;BL0616;BUILDING template;Leopoldlaan 87-89;Leopoldlaan;87;
KNOKKE-HEIST - FH06;2762833;;BL0616;2762833;BL0616;BUILDING template;Leopoldlaan 87-89;Leopoldlaan;89;
KNOKKE-HEIST - FH06;2762842;;BL0611;2762842;BL0611;BUILDING template;;Leopoldlaan;97;
KNOKKE-HEIST - FH06;2762843;;BL0611;2762843;BL0611;BUILDING template;Leopoldlaan 99-101;Leopoldlaan;99;
KNOKKE-HEIST - FH06;2762851;;BL0611;2762851;BL0611;BUILDING template;;Leopoldlaan;105;
KNOKKE-HEIST - FH06;2762852;;BL0611;2762852;BL0611;BUILDING template;;Leopoldlaan;107;
KNOKKE-HEIST - FH06;2762861;;BL0611;2762861;BL0611;BUILDING template;Leopoldlaan 111-113-113A;Leopoldlaan;113;
KNOKKE-HEIST - FH06;2762866;;BL0611;2762866;BL0611;BUILDING template;;Leopoldlaan;115;
KNOKKE-HEIST - FH06;2762870;;BL0609;2762870;BL0609;BUILDING template;;Leopoldlaan;121;
KNOKKE-HEIST - FH06;2762875;;BL0610;2762875;BL0610;BUILDING template;;Leopoldlaan;127;
KNOKKE-HEIST - FH06;2762878;;BL0610;2762878;BL0610;BUILDING template;;Leopoldlaan;129;
KNOKKE-HEIST - FH06;2762883;;BL0610;2762883;BL0610;BUILDING template;Leopoldlaan 133-135-137;Leopoldlaan;133;
KNOKKE-HEIST - FH06;2763665;;BL0601;2763665;BL0601;BUILDING template;;Meerlaan;82;
KNOKKE-HEIST - FH06;2763667;;BL0601;2763667;BL0601;BUILDING template;;Meerlaan;84;
KNOKKE-HEIST - FH06;2763669;;BL0601;2763669;BL0601;BUILDING template;;Meerlaan;86;
KNOKKE-HEIST - FH06;2763702;;BL0614;2763702;BL0614;BUILDING template;;Meerminlaan;8;
KNOKKE-HEIST - FH06;2763705;;BL0614;2763705;BL0614;BUILDING template;;Meerminlaan;10;
KNOKKE-HEIST - FH06;2763706;;BL0614;2763706;BL0614;BUILDING template;;Meerminlaan;12;
KNOKKE-HEIST - FH06;2763708;;BL0614;2763708;BL0614;BUILDING template;;Meerminlaan;14;
KNOKKE-HEIST - FH06;2763710;;BL0614;2763710;BL0614;BUILDING template;;Meerminlaan;16;
KNOKKE-HEIST - FH06;2763712;;BL0614;2763712;BL0614;BUILDING template;;Meerminlaan;18;
KNOKKE-HEIST - FH06;2763714;;BL0614;2763714;BL0614;BUILDING template;;Meerminlaan;20;
KNOKKE-HEIST - FH06;2763715;;BL0614;2763715;BL0614;BUILDING template;;Meerminlaan;22;
KNOKKE-HEIST - FH06;2763716;;BL0614;2763716;BL0614;BUILDING template;;Meerminlaan;24;
KNOKKE-HEIST - FH06;2763717;;BL0614;2763717;BL0614;BUILDING template;;Meerminlaan;26;
KNOKKE-HEIST - FH06;2763719;;BL0614;2763719;BL0614;BUILDING template;;Meerminlaan;30;
KNOKKE-HEIST - FH06;2763720;;BL0613;2763720;BL0613;BUILDING template;;Meerminlaan;36;
KNOKKE-HEIST - FH06;2763722;;BL0613;2763722;BL0613;BUILDING template;;Meerminlaan;40;
KNOKKE-HEIST - FH06;2764161;;BL0601;2764161;BL0601;BUILDING template;;Jozef Nellenslaan;125;
KNOKKE-HEIST - FH06;2764167;;BL0601;2764167;BL0601;BUILDING template;;Jozef Nellenslaan;129;
KNOKKE-HEIST - FH06;2764171;;BL0601;2764171;BL0601;BUILDING template;;Jozef Nellenslaan;131;
KNOKKE-HEIST - FH06;2764173;;BL0601;2764173;BL0601;BUILDING template;;Jozef Nellenslaan;135;
KNOKKE-HEIST - FH06;2764175;;BL0601;2764175;BL0601;BUILDING template;;Jozef Nellenslaan;137;
KNOKKE-HEIST - FH06;2764179;;BL0601;2764179;BL0601;BUILDING template;;Jozef Nellenslaan;139;
KNOKKE-HEIST - FH06;2764180;;BL0601;2764180;BL0601;BUILDING template;;Jozef Nellenslaan;141;
KNOKKE-HEIST - FH06;2764181;;BL0601;2764181;BL0601;BUILDING template;;Jozef Nellenslaan;143;
KNOKKE-HEIST - FH06;2764203;;BL0614;2764203;BL0614;BUILDING template;Jozef Nellenslaan 166-168;Jozef Nellenslaan;166;
KNOKKE-HEIST - FH06;2764205;;BL0604;2764205;BL0604;BUILDING template;Zonnnelaan 7_Jozef Nellenslaan 167;Jozef Nellenslaan;167;
KNOKKE-HEIST - FH06;2764206;;BL0614;2764206;BL0614;BUILDING template;Jozef Nellenslaan 166-168;Jozef Nellenslaan;168;
KNOKKE-HEIST - FH06;2764212;;BL0605;2764212;BL0605;BUILDING template;;Jozef Nellenslaan;173;
KNOKKE-HEIST - FH06;2764214;;BL0614;2764214;BL0614;BUILDING template;;Jozef Nellenslaan;176;
KNOKKE-HEIST - FH06;2764218;;BL0605;2764218;BL0605;BUILDING template;;Jozef Nellenslaan;179;
KNOKKE-HEIST - FH06;2764220;;BL0605;2764220;BL0605;BUILDING template;;Jozef Nellenslaan;181;
KNOKKE-HEIST - FH06;2764222;;BL0606;2764222;BL0606;BUILDING template;;Jozef Nellenslaan;189;
KNOKKE-HEIST - FH06;2764225;;BL0606;2764225;BL0606;BUILDING template;;Jozef Nellenslaan;191;
