Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
KNOKKE-HEIST - FH11;8355033;;BL1117;4190337;BL1117;(L/B/S)U template;Badersstraat;19;
KNOKKE-HEIST - FH11;2757934;;BL1118;2757934;BL1118;BUILDING template;Badersstraat;20;
KNOKKE-HEIST - FH11;8340972;;BL1118;2757934;BL1118;(L/B/S)U template;Badersstraat;20;
KNOKKE-HEIST - FH11;2757935;;BL1117;2757935;BL1117;BUILDING template;Badersstraat;21;
KNOKKE-HEIST - FH11;8336896;;BL1117;2757935;BL1117;(L/B/S)U template;Badersstraat;21;
KNOKKE-HEIST - FH11;2757937;;BL1118;2757937;BL1118;BUILDING template;Badersstraat;22;
KNOKKE-HEIST - FH11;8340497;;BL1118;2757937;BL1118;(L/B/S)U template;Badersstraat;22;
KNOKKE-HEIST - FH11;2757938;;BL1117;2757938;BL1117;BUILDING template;Badersstraat;23;
KNOKKE-HEIST - FH11;8336897;;BL1117;2757938;BL1117;(L/B/S)U template;Badersstraat;23;
KNOKKE-HEIST - FH11;2757939;;BL1118;2757939;BL1118;BUILDING template;Badersstraat;24;
KNOKKE-HEIST - FH11;8365532;;BL1118;2757939;BL1118;(L/B/S)U template;Badersstraat;24;
KNOKKE-HEIST - FH11;2757940;;BL1117;2757940;BL1117;BUILDING template;Badersstraat;25;
KNOKKE-HEIST - FH11;8357274;;BL1117;2757940;BL1117;(L/B/S)U template;Badersstraat;25;
KNOKKE-HEIST - FH11;2757941;;BL1118;2757941;BL1118;BUILDING template;Badersstraat;26;
KNOKKE-HEIST - FH11;8344263;;BL1118;2757941;BL1118;(L/B/S)U template;Badersstraat;26;
KNOKKE-HEIST - FH11;2757942;;BL1117;2757942;BL1117;BUILDING template;Badersstraat;27;
KNOKKE-HEIST - FH11;8357917;;BL1117;2757942;BL1117;(L/B/S)U template;Badersstraat;27;
KNOKKE-HEIST - FH11;2757943;;BL1118;2757943;BL1118;BUILDING template;Badersstraat;28;
KNOKKE-HEIST - FH11;8345966;;BL1118;2757943;BL1118;(L/B/S)U template;Badersstraat;28;
KNOKKE-HEIST - FH11;302641;;BL1117;302641;BL1117;BUILDING template;Badersstraat;29;
KNOKKE-HEIST - FH11;8337923;;BL1117;302641;BL1117;(L/B/S)U template;Badersstraat;29;
KNOKKE-HEIST - FH11;4337368;;BL1118;4337368;BL1118;BUILDING template;Badersstraat;30;
KNOKKE-HEIST - FH11;8349846;;BL1118;4337368;BL1118;(L/B/S)U template;Badersstraat;30;
KNOKKE-HEIST - FH11;302642;;BL1117;302642;BL1117;BUILDING template;Badersstraat;31;
KNOKKE-HEIST - FH11;8337924;;BL1117;302642;BL1117;(L/B/S)U template;Badersstraat;31;
KNOKKE-HEIST - FH11;4337369;;BL1118;4337369;BL1118;BUILDING template;Badersstraat;32;
KNOKKE-HEIST - FH11;8337922;;BL1118;4337369;BL1118;(L/B/S)U template;Badersstraat;32;
KNOKKE-HEIST - FH11;302643;;BL1117;302643;BL1117;BUILDING template;Badersstraat;33;
KNOKKE-HEIST - FH11;8347037;;BL1117;302643;BL1117;(L/B/S)U template;Badersstraat;33;
KNOKKE-HEIST - FH11;302638;;BL1118;302638;BL1118;BUILDING template;Badersstraat;34;
