Projectnummer;LAM MK;LU Key;CLUSTER_NR;BLOCK_NR;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
KNOKKE-HEIST - FH09;292334;292334;1;BL0904;BL0904;BUILDING template;Vissershuldeplein;2;
KNOKKE-HEIST - FH09;292335;292335;1;BL0902;BL0902;BUILDING template;Graaf van Vlaanderenstraat;2;
KNOKKE-HEIST - FH09;292347;292347;1;BL0905;BL0905;BUILDING template;Jozef Dhoorelaan;14;
KNOKKE-HEIST - FH09;292348;292348;1;BL0905;BL0905;BUILDING template;Jozef Dhoorelaan;16;
KNOKKE-HEIST - FH09;292349;292349;1;BL0905;BL0905;BUILDING template;Jozef Dhoorelaan;4;
KNOKKE-HEIST - FH09;292350;292350;1;BL0903;BL0903;BUILDING template;de Maerestraat;4;
KNOKKE-HEIST - FH09;292351;292351;1;BL0903;BL0903;BUILDING template;de Maerestraat;2;
KNOKKE-HEIST - FH09;292353;292353;1;BL0904;BL0904;BUILDING template;de Maerestraat;3;
KNOKKE-HEIST - FH09;292682;292682;1;BL0905;BL0905;BUILDING template;Jozef Dhoorelaan;34;
KNOKKE-HEIST - FH09;292684;292684;1;BL0905;BL0905;BUILDING template;Jozef Dhoorelaan;28;
KNOKKE-HEIST - FH09;292686;292686;1;BL0905;BL0905;BUILDING template;Jozef Dhoorelaan;30;
KNOKKE-HEIST - FH09;297116;297116;3;BL0915;BL0915;BUILDING template;Parkstraat;33;
KNOKKE-HEIST - FH09;297117;297117;3;BL0915;BL0915;BUILDING template;Parkstraat;31;
KNOKKE-HEIST - FH09;297122;297122;3;BL0914;BL0914;BUILDING template;Parkstraat;13;
KNOKKE-HEIST - FH09;297126;297126;3;BL0914;BL0914;BUILDING template;Louis Parentstraat;1;
KNOKKE-HEIST - FH09;297128;297128;3;BL0915;BL0915;BUILDING template;Graaf d Ursellaan;52;
KNOKKE-HEIST - FH09;297132;297132;3;BL0915;BL0915;BUILDING template;Eerste-Geniestraat;2;
KNOKKE-HEIST - FH09;297133;297133;3;BL0914;BL0914;BUILDING template;Eerste-Geniestraat;1;
KNOKKE-HEIST - FH09;297134;297134;3;BL0915;BL0915;BUILDING template;Eerste-Geniestraat;10;
KNOKKE-HEIST - FH09;297136;297136;3;BL0914;BL0914;BUILDING template;Eerste-Geniestraat;13;
KNOKKE-HEIST - FH09;302627;302627;3;BL0917;BL0917;BUILDING template;Serweytens de Mercxstraat;19;
KNOKKE-HEIST - FH09;302679;302679;3;BL0917;BL0917;BUILDING template;Graaf d Ursellaan;25;
KNOKKE-HEIST - FH09;302681;302681;3;BL0917;BL0917;BUILDING template;Graaf d Ursellaan;33;
KNOKKE-HEIST - FH09;302683;302683;3;BL0916;BL0916;BUILDING template;Graaf d Ursellaan;34;
KNOKKE-HEIST - FH09;302684;302684;3;BL0916;BL0916;BUILDING template;Graaf d Ursellaan;36;
KNOKKE-HEIST - FH09;302685;302685;3;BL0916;BL0916;BUILDING template;Graaf d Ursellaan;44;
KNOKKE-HEIST - FH09;302687;302687;3;BL0916;BL0916;BUILDING template;August Beernaertstraat;23;
KNOKKE-HEIST - FH09;302689;302689;3;BL0917;BL0917;BUILDING template;August Beernaertstraat;48;
KNOKKE-HEIST - FH09;302692;302692;2;BL0912;BL0912;BUILDING template;August Beernaertstraat;22;
KNOKKE-HEIST - FH09;302693;302693;2;BL0913;BL0913;BUILDING template;August Beernaertstraat;9;
KNOKKE-HEIST - FH09;302699;302699;3;BL0916;BL0916;BUILDING template;Louis Parentstraat;18;
KNOKKE-HEIST - FH09;302702;302702;2;BL0913;BL0913;BUILDING template;Louis Parentstraat;2;
KNOKKE-HEIST - FH09;302703;302703;3;BL0917;BL0917;BUILDING template;Visserskapelstraat;2;
KNOKKE-HEIST - FH09;302704;302704;2;BL0912;BL0912;BUILDING template;Visserskapelstraat;3;
KNOKKE-HEIST - FH09;302705;302705;2;BL0912;BL0912;BUILDING template;Visserskapelstraat;19;
KNOKKE-HEIST - FH09;302706;302706;3;BL0917;BL0917;BUILDING template;Visserskapelstraat;8;
KNOKKE-HEIST - FH09;302711;302711;2;BL0913;BL0913;BUILDING template;De Kinkhoorn;1;
KNOKKE-HEIST - FH09;302712;302712;2;BL0913;BL0913;BUILDING template;De Kinkhoorn;5;
KNOKKE-HEIST - FH09;302713;302713;3;BL0916;BL0916;BUILDING template;De Kinkhoorn;15;
KNOKKE-HEIST - FH09;302714;302714;3;BL0916;BL0916;BUILDING template;De Kinkhoorn;14;
KNOKKE-HEIST - FH09;303846;303846;1;BL0906;BL0906;BUILDING template;Vuurtorenstraat;2;
KNOKKE-HEIST - FH09;303848;303848;1;BL0906;BL0906;BUILDING template;Elizabetlaan;395;
KNOKKE-HEIST - FH09;1329624;1329624;1;BL0905;BL0905;BUILDING template;Jozef Dhoorelaan;12;
KNOKKE-HEIST - FH09;1347701;1347701;1;BL0907;BL0907;BUILDING template;Elizabetlaan;369;
KNOKKE-HEIST - FH09;1445319;1445319;1;BL0907;BL0907;BUILDING template;Kardinaal Mercierstraat;14;
KNOKKE-HEIST - FH09;1470202;1470202;1;BL0907;BL0907;BUILDING template;Elizabetlaan;375;
KNOKKE-HEIST - FH09;2757575;2757575;2;BL0911;BL0911;BUILDING template;Albatrosstraat;9;
KNOKKE-HEIST - FH09;2757576;2757576;2;BL0911;BL0911;BUILDING template;Albatrosstraat;11;
KNOKKE-HEIST - FH09;2757577;2757577;2;BL0918;BL0918;BUILDING template;Albatrosstraat;12;
KNOKKE-HEIST - FH09;2757578;2757578;2;BL0918;BL0918;BUILDING template;Albatrosstraat;14;
KNOKKE-HEIST - FH09;2757582;2757582;2;BL0911;BL0911;BUILDING template;Albatrosstraat;17;
KNOKKE-HEIST - FH09;2757588;2757588;2;BL0911;BL0911;BUILDING template;Albatrosstraat;29;
KNOKKE-HEIST - FH09;2757589;2757589;2;BL0911;BL0911;BUILDING template;Albatrosstraat;31;
KNOKKE-HEIST - FH09;2758013;2758013;2;BL0912;BL0912;BUILDING template;August Beernaertstraat;10;
KNOKKE-HEIST - FH09;2758014;2758014;2;BL0912;BL0912;BUILDING template;August Beernaertstraat;12;
KNOKKE-HEIST - FH09;2758761;2758761;1;BL0905;BL0905;BUILDING template;Jozef Dhoorelaan;6;
KNOKKE-HEIST - FH09;2758762;2758762;1;BL0905;BL0905;BUILDING template;Jozef Dhoorelaan;8;
KNOKKE-HEIST - FH09;2758763;2758763;1;BL0905;BL0905;BUILDING template;Jozef Dhoorelaan;10;
KNOKKE-HEIST - FH09;2758764;2758764;1;BL0905;BL0905;BUILDING template;Jozef Dhoorelaan;20;
KNOKKE-HEIST - FH09;2758765;2758765;1;BL0905;BL0905;BUILDING template;Jozef Dhoorelaan;22;
KNOKKE-HEIST - FH09;2758766;2758766;1;BL0905;BL0905;BUILDING template;Jozef Dhoorelaan;24;
KNOKKE-HEIST - FH09;2758767;2758767;1;BL0905;BL0905;BUILDING template;Jozef Dhoorelaan;26;
KNOKKE-HEIST - FH09;2758768;2758768;1;BL0905;BL0905;BUILDING template;Jozef Dhoorelaan;32;
KNOKKE-HEIST - FH09;2758771;2758771;1;BL0901;BL0901;BUILDING template;Jozef Dhoorelaan;81;
KNOKKE-HEIST - FH09;2758773;2758773;1;BL0903;BL0903;BUILDING template;Jozef Dhoorelaan;132;
KNOKKE-HEIST - FH09;2759152;2759152;1;BL0909;BL0909;BUILDING template;Duinenstraat;3;
KNOKKE-HEIST - FH09;2759154;2759154;1;BL0909;BL0909;BUILDING template;Duinenstraat;5;
KNOKKE-HEIST - FH09;2759155;2759155;1;BL0908;BL0908;BUILDING template;Duinenstraat;6;
KNOKKE-HEIST - FH09;2759157;2759157;1;BL0909;BL0909;BUILDING template;Duinenstraat;9;
KNOKKE-HEIST - FH09;2759162;2759162;1;BL0909;BL0909;BUILDING template;Duinenstraat;15;
KNOKKE-HEIST - FH09;2759163;2759163;1;BL0909;BL0909;BUILDING template;Duinenstraat;17;
KNOKKE-HEIST - FH09;2759166;2759166;1;BL0908;BL0908;BUILDING template;Duinenstraat;20;
KNOKKE-HEIST - FH09;2759460;2759460;3;BL0914;BL0914;BUILDING template;Eerste-Geniestraat;5;
KNOKKE-HEIST - FH09;2759461;2759461;3;BL0915;BL0915;BUILDING template;Eerste-Geniestraat;6;
KNOKKE-HEIST - FH09;2759464;2759464;3;BL0914;BL0914;BUILDING template;Eerste-Geniestraat;9;
KNOKKE-HEIST - FH09;2759468;2759468;3;BL0914;BL0914;BUILDING template;Eerste-Geniestraat;17;
KNOKKE-HEIST - FH09;2759741;2759741;1;BL0909;BL0909;BUILDING template;Elizabetlaan;331;
KNOKKE-HEIST - FH09;2759742;2759742;1;BL0909;BL0909;BUILDING template;Elizabetlaan;333;
KNOKKE-HEIST - FH09;2759744;2759744;1;BL0909;BL0909;BUILDING template;Elizabetlaan;337;
KNOKKE-HEIST - FH09;2759746;2759746;1;BL0909;BL0909;BUILDING template;Elizabetlaan;339;
KNOKKE-HEIST - FH09;2759751;2759751;1;BL0909;BL0909;BUILDING template;Elizabetlaan;347;
KNOKKE-HEIST - FH09;2759752;2759752;1;BL0909;BL0909;BUILDING template;Elizabetlaan;351;
KNOKKE-HEIST - FH09;2759755;2759755;1;BL0907;BL0907;BUILDING template;Elizabetlaan;363;
KNOKKE-HEIST - FH09;2759762;2759762;1;BL0907;BL0907;BUILDING template;Elizabetlaan;373;
KNOKKE-HEIST - FH09;2759941;2759941;1;BL0902;BL0902;BUILDING template;de Gemblinnestraat;2;
KNOKKE-HEIST - FH09;2760284;2760284;1;BL0908;BL0908;BUILDING template;Heldenplein;2;
KNOKKE-HEIST - FH09;2760285;2760285;2;BL0910;BL0910;BUILDING template;Heldenplein;3;
KNOKKE-HEIST - FH09;2760286;2760286;1;BL0908;BL0908;BUILDING template;Heldenplein;4;
KNOKKE-HEIST - FH09;2760287;2760287;2;BL0910;BL0910;BUILDING template;Heldenplein;7;
KNOKKE-HEIST - FH09;2760289;2760289;2;BL0910;BL0910;BUILDING template;Heldenplein;11;
KNOKKE-HEIST - FH09;2760293;2760293;1;BL0909;BL0909;BUILDING template;Heldenplein;14;
KNOKKE-HEIST - FH09;2760295;2760295;2;BL0910;BL0910;BUILDING template;Heldenplein;17;
KNOKKE-HEIST - FH09;2760296;2760296;1;BL0909;BL0909;BUILDING template;Heldenplein;18;
KNOKKE-HEIST - FH09;2760300;2760300;2;BL0918;BL0918;BUILDING template;Heldenplein;23;
KNOKKE-HEIST - FH09;2760303;2760303;2;BL0918;BL0918;BUILDING template;Heldenplein;27;
KNOKKE-HEIST - FH09;2760304;2760304;2;BL0918;BL0918;BUILDING template;Heldenplein;29;
KNOKKE-HEIST - FH09;2761342;2761342;2;BL0913;BL0913;BUILDING template;De Kinkhoorn;7;
KNOKKE-HEIST - FH09;2761343;2761343;2;BL0913;BL0913;BUILDING template;De Kinkhoorn;8;
KNOKKE-HEIST - FH09;2761344;2761344;2;BL0913;BL0913;BUILDING template;De Kinkhoorn;9;
KNOKKE-HEIST - FH09;2761348;2761348;3;BL0916;BL0916;BUILDING template;De Kinkhoorn;17;
KNOKKE-HEIST - FH09;2761349;2761349;3;BL0916;BL0916;BUILDING template;De Kinkhoorn;18;
KNOKKE-HEIST - FH09;2761350;2761350;3;BL0916;BL0916;BUILDING template;De Kinkhoorn;19;
KNOKKE-HEIST - FH09;2761351;2761351;3;BL0916;BL0916;BUILDING template;De Kinkhoorn;21;
KNOKKE-HEIST - FH09;2763795;2763795;1;BL0909;BL0909;BUILDING template;Kardinaal Mercierstraat;3;
KNOKKE-HEIST - FH09;2764631;2764631;2;BL0910;BL0910;BUILDING template;O.-L.-Vrouwstraat;5;
KNOKKE-HEIST - FH09;2764632;2764632;2;BL0918;BL0918;BUILDING template;O.-L.-Vrouwstraat;6;
KNOKKE-HEIST - FH09;2764634;2764634;2;BL0910;BL0910;BUILDING template;O.-L.-Vrouwstraat;9;
KNOKKE-HEIST - FH09;2764637;2764637;2;BL0918;BL0918;BUILDING template;O.-L.-Vrouwstraat;12;
KNOKKE-HEIST - FH09;2764638;2764638;2;BL0910;BL0910;BUILDING template;O.-L.-Vrouwstraat;13;
KNOKKE-HEIST - FH09;2764639;2764639;2;BL0918;BL0918;BUILDING template;O.-L.-Vrouwstraat;14;
KNOKKE-HEIST - FH09;2764640;2764640;2;BL0910;BL0910;BUILDING template;O.-L.-Vrouwstraat;15;
KNOKKE-HEIST - FH09;2764645;2764645;2;BL0918;BL0918;BUILDING template;O.-L.-Vrouwstraat;22;
KNOKKE-HEIST - FH09;2764647;2764647;2;BL0918;BL0918;BUILDING template;O.-L.-Vrouwstraat;28;
KNOKKE-HEIST - FH09;2764986;2764986;2;BL0913;BL0913;BUILDING template;Louis Parentstraat;4;
KNOKKE-HEIST - FH09;2764987;2764987;3;BL0914;BL0914;BUILDING template;Louis Parentstraat;9;
KNOKKE-HEIST - FH09;2765002;2765002;3;BL0914;BL0914;BUILDING template;Parkstraat;3;
KNOKKE-HEIST - FH09;2765005;2765005;3;BL0914;BL0914;BUILDING template;Parkstraat;9;
KNOKKE-HEIST - FH09;2765017;2765017;3;BL0915;BL0915;BUILDING template;Parkstraat;27;
KNOKKE-HEIST - FH09;2765019;2765019;3;BL0915;BL0915;BUILDING template;Parkstraat;29;
KNOKKE-HEIST - FH09;2766150;2766150;2;BL0912;BL0912;BUILDING template;Serweytens de Mercxstraat;9;
KNOKKE-HEIST - FH09;2766157;2766157;3;BL0917;BL0917;BUILDING template;Serweytens de Mercxstraat;29;
KNOKKE-HEIST - FH09;2766964;2766964;2;BL0918;BL0918;BUILDING template;Graaf d Ursellaan;3;
KNOKKE-HEIST - FH09;2766967;2766967;2;BL0918;BL0918;BUILDING template;Graaf d Ursellaan;4;
KNOKKE-HEIST - FH09;2766972;2766972;2;BL0918;BL0918;BUILDING template;Graaf d Ursellaan;6;
KNOKKE-HEIST - FH09;2766974;2766974;2;BL0918;BL0918;BUILDING template;Graaf d Ursellaan;7;
KNOKKE-HEIST - FH09;2766975;2766975;2;BL0918;BL0918;BUILDING template;Graaf d Ursellaan;9;
KNOKKE-HEIST - FH09;2766976;2766976;2;BL0918;BL0918;BUILDING template;Graaf d Ursellaan;11;
KNOKKE-HEIST - FH09;2766980;2766980;2;BL0918;BL0918;BUILDING template;Graaf d Ursellaan;12;
KNOKKE-HEIST - FH09;2766984;2766984;2;BL0918;BL0918;BUILDING template;Graaf d Ursellaan;14;
KNOKKE-HEIST - FH09;2766988;2766988;2;BL0918;BL0918;BUILDING template;Graaf d Ursellaan;16;
KNOKKE-HEIST - FH09;2766998;2766998;3;BL0917;BL0917;BUILDING template;Graaf d Ursellaan;26;
KNOKKE-HEIST - FH09;2767002;2767002;3;BL0917;BL0917;BUILDING template;Graaf d Ursellaan;27;
KNOKKE-HEIST - FH09;2767003;2767003;3;BL0917;BL0917;BUILDING template;Graaf d Ursellaan;28;
KNOKKE-HEIST - FH09;2767005;2767005;3;BL0917;BL0917;BUILDING template;Graaf d Ursellaan;29;
KNOKKE-HEIST - FH09;2767006;2767006;3;BL0917;BL0917;BUILDING template;Graaf d Ursellaan;30;
KNOKKE-HEIST - FH09;2767008;2767008;3;BL0917;BL0917;BUILDING template;Graaf d Ursellaan;31;
KNOKKE-HEIST - FH09;2767022;2767022;3;BL0916;BL0916;BUILDING template;Graaf d Ursellaan;38;
KNOKKE-HEIST - FH09;2767025;2767025;3;BL0916;BL0916;BUILDING template;Graaf d Ursellaan;40;
KNOKKE-HEIST - FH09;2767028;2767028;3;BL0916;BL0916;BUILDING template;Graaf d Ursellaan;41;
KNOKKE-HEIST - FH09;2767033;2767033;3;BL0916;BL0916;BUILDING template;Graaf d Ursellaan;43;
KNOKKE-HEIST - FH09;2767037;2767037;3;BL0915;BL0915;BUILDING template;Graaf d Ursellaan;46;
KNOKKE-HEIST - FH09;2767038;2767038;3;BL0915;BL0915;BUILDING template;Graaf d Ursellaan;47;
KNOKKE-HEIST - FH09;2767041;2767041;3;BL0915;BL0915;BUILDING template;Graaf d Ursellaan;49;
KNOKKE-HEIST - FH09;2767280;2767280;2;BL0912;BL0912;BUILDING template;Visserskapelstraat;1;
KNOKKE-HEIST - FH09;2767282;2767282;2;BL0912;BL0912;BUILDING template;Visserskapelstraat;5;
KNOKKE-HEIST - FH09;2767283;2767283;3;BL0917;BL0917;BUILDING template;Visserskapelstraat;6;
KNOKKE-HEIST - FH09;2767284;2767284;2;BL0912;BL0912;BUILDING template;Visserskapelstraat;7;
KNOKKE-HEIST - FH09;2767287;2767287;3;BL0917;BL0917;BUILDING template;Visserskapelstraat;10;
KNOKKE-HEIST - FH09;2767288;2767288;2;BL0912;BL0912;BUILDING template;Visserskapelstraat;11;
KNOKKE-HEIST - FH09;2767292;2767292;2;BL0912;BL0912;BUILDING template;Visserskapelstraat;15;
KNOKKE-HEIST - FH09;3923060;3923060;2;BL0911;BL0911;BUILDING template;Serweytens de Mercxstraat;8;
KNOKKE-HEIST - FH09;3939662;3939662;3;BL0917;BL0917;BUILDING template;Visserskapelstraat;4;
KNOKKE-HEIST - FH09;4022844;4022844;3;BL0916;BL0916;BUILDING template;Louis Parentstraat;20;
KNOKKE-HEIST - FH09;4083784;4083784;1;BL0908;BL0908;BUILDING template;Duinenstraat;14;
KNOKKE-HEIST - FH09;4092482;4092482;2;BL0912;BL0912;BUILDING template;Visserskapelstraat;9;
KNOKKE-HEIST - FH09;4105499;4105499;3;BL0914;BL0914;BUILDING template;Louis Parentstraat;5;
KNOKKE-HEIST - FH09;4148325;4148325;1;BL0908;BL0908;BUILDING template;Duinenstraat;16;
KNOKKE-HEIST - FH09;4150670;4150670;2;BL0910;BL0910;BUILDING template;O.-L.-Vrouwstraat;17;
KNOKKE-HEIST - FH09;4335225;4335225;2;BL0918;BL0918;BUILDING template;Albatrosstraat;10;
KNOKKE-HEIST - FH09;4335275;4335275;1;BL0909;BL0909;BUILDING template;Duinenstraat;7;
KNOKKE-HEIST - FH09;4335319;4335319;1;BL0908;BL0908;BUILDING template;Duinenstraat;18;
KNOKKE-HEIST - FH09;4335321;4335321;1;BL0908;BL0908;BUILDING template;Duinenstraat;22;
KNOKKE-HEIST - FH09;4335334;4335334;2;BL0911;BL0911;BUILDING template;Serweytens de Mercxstraat;32;
KNOKKE-HEIST - FH09;4336078;4336078;3;BL0915;BL0915;BUILDING template;Eerste-Geniestraat;4;
KNOKKE-HEIST - FH09;4336094;4336094;3;BL0915;BL0915;BUILDING template;Louis Parentstraat;19;
KNOKKE-HEIST - FH09;4337279;4337279;2;BL0912;BL0912;BUILDING template;Serweytens de Mercxstraat;15;
KNOKKE-HEIST - FH09;4337289;4337289;2;BL0912;BL0912;BUILDING template;Visserskapelstraat;13;
KNOKKE-HEIST - FH09;4337292;4337292;2;BL0912;BL0912;BUILDING template;Visserskapelstraat;17;
KNOKKE-HEIST - FH09;4337352;4337352;3;BL0916;BL0916;BUILDING template;De Kinkhoorn;16;
KNOKKE-HEIST - FH09;4337361;4337361;3;BL0916;BL0916;BUILDING template;Louis Parentstraat;22;
KNOKKE-HEIST - FH09;4337449;4337449;3;BL0914;BL0914;BUILDING template;Louis Parentstraat;7;
KNOKKE-HEIST - FH09;4337451;4337451;3;BL0914;BL0914;BUILDING template;Eerste-Geniestraat;7;
KNOKKE-HEIST - FH09;4337452;4337452;3;BL0914;BL0914;BUILDING template;Eerste-Geniestraat;11;
KNOKKE-HEIST - FH09;4337457;4337457;2;BL0913;BL0913;BUILDING template;August Beernaertstraat;5;
KNOKKE-HEIST - FH09;4337458;4337458;2;BL0913;BL0913;BUILDING template;August Beernaertstraat;7;
KNOKKE-HEIST - FH09;5559096;5559096;3;BL0914;BL0914;BUILDING template;Parkstraat;19;
KNOKKE-HEIST - FH09;5561970;5561970;2;BL0913;BL0913;BUILDING template;Louis Parentstraat;12;
KNOKKE-HEIST - FH09;5579232;5579232;2;BL0918;BL0918;BUILDING template;Albatrosstraat;18;
KNOKKE-HEIST - FH09;5579278;5579278;2;BL0912;BL0912;BUILDING template;August Beernaertstraat;20;
KNOKKE-HEIST - FH09;5579355;5579355;3;BL0915;BL0915;BUILDING template;Eerste-Geniestraat;14;
KNOKKE-HEIST - FH09;5579365;5579365;1;BL0907;BL0907;BUILDING template;Elizabetlaan;379;
KNOKKE-HEIST - FH09;5579523;5579523;2;BL0918;BL0918;BUILDING template;O.-L.-Vrouwstraat;4;
KNOKKE-HEIST - FH09;5579526;5579526;3;BL0915;BL0915;BUILDING template;Louis Parentstraat;15;
KNOKKE-HEIST - FH09;5579527;5579527;3;BL0916;BL0916;BUILDING template;Louis Parentstraat;26;
KNOKKE-HEIST - FH09;5579528;5579528;3;BL0914;BL0914;BUILDING template;Parkstraat;17;
KNOKKE-HEIST - FH09;5579529;5579529;3;BL0915;BL0915;BUILDING template;Parkstraat;23;
KNOKKE-HEIST - FH09;5579530;5579530;3;BL0915;BL0915;BUILDING template;Parkstraat;35;
KNOKKE-HEIST - FH09;5579550;5579550;2;BL0912;BL0912;BUILDING template;Serweytens de Mercxstraat;1;
KNOKKE-HEIST - FH09;5579564;5579564;3;BL0915;BL0915;BUILDING template;Graaf d Ursellaan;51;
KNOKKE-HEIST - FH09;71704;71704;2;BL0918;BL0918;BUILDING template;Albatrosstraat;20;
KNOKKE-HEIST - FH09;71698;71698;2;BL0911;BL0911;BUILDING template;Albatrosstraat;33;
KNOKKE-HEIST - FH09;302695;302695;2;BL0912;BL0912;BUILDING template;August Beernaertstraat;18;
KNOKKE-HEIST - FH09;2759159;2759159;1;BL0909;BL0909;BUILDING template;Duinenstraat;11;
KNOKKE-HEIST - FH09;2759161;2759161;1;BL0908;BL0908;BUILDING template;Duinenstraat;12;
KNOKKE-HEIST - FH09;297135;297135;3;BL0915;BL0915;BUILDING template;Eerste-Geniestraat;12;
KNOKKE-HEIST - FH09;2759743;2759743;1;BL0909;BL0909;BUILDING template;Elizabetlaan;335;
KNOKKE-HEIST - FH09;2759749;2759749;1;BL0909;BL0909;BUILDING template;Elizabetlaan;341;
KNOKKE-HEIST - FH09;4335285;4335285;1;BL0909;BL0909;BUILDING template;Elizabetlaan;343;
KNOKKE-HEIST - FH09;71739;71739;1;BL0909;BL0909;BUILDING template;Elizabetlaan;353;
KNOKKE-HEIST - FH09;5579364;5579364;1;BL0907;BL0907;BUILDING template;Elizabetlaan;355;
KNOKKE-HEIST - FH09;2759760;2759760;1;BL0907;BL0907;BUILDING template;Elizabetlaan;371;
KNOKKE-HEIST - FH09;6525363;6525363;1;BL0906;BL0906;BUILDING template;Elizabetlaan;393;
KNOKKE-HEIST - FH09;5579366;5579366;1;BL0906;BL0906;BUILDING template;Elizabetlaan;397;
KNOKKE-HEIST - FH09;4337650;4337650;1;BL0906;BL0906;BUILDING template;Elizabetlaan;405;
KNOKKE-HEIST - FH09;4337651;4337651;1;BL0906;BL0906;BUILDING template;Elizabetlaan;407;
KNOKKE-HEIST - FH09;4337653;4337653;1;BL0906;BL0906;BUILDING template;Elizabetlaan;409;
KNOKKE-HEIST - FH09;2766968;2766968;2;BL0918;BL0918;BUILDING template;Graaf d Ursellaan;5;
KNOKKE-HEIST - FH09;71714;71714;2;BL0918;BL0918;BUILDING template;Graaf d Ursellaan;8;
KNOKKE-HEIST - FH09;71715;71715;2;BL0918;BL0918;BUILDING template;Graaf d Ursellaan;10;
KNOKKE-HEIST - FH09;2766983;2766983;2;BL0918;BL0918;BUILDING template;Graaf d Ursellaan;13;
KNOKKE-HEIST - FH09;2766986;2766986;2;BL0918;BL0918;BUILDING template;Graaf d Ursellaan;15;
KNOKKE-HEIST - FH09;4096025;4096025;2;BL0918;BL0918;BUILDING template;Graaf d Ursellaan;17;
KNOKKE-HEIST - FH09;71708;71708;2;BL0918;BL0918;BUILDING template;Graaf d Ursellaan;19;
KNOKKE-HEIST - FH09;71711;71711;2;BL0918;BL0918;BUILDING template;Graaf d Ursellaan;20;
KNOKKE-HEIST - FH09;5579563;5579563;2;BL0911;BL0911;BUILDING template;Graaf d Ursellaan;22;
KNOKKE-HEIST - FH09;71709;71709;2;BL0911;BL0911;BUILDING template;Graaf d Ursellaan;23;
KNOKKE-HEIST - FH09;6524218;6524218;3;BL0916;BL0916;BUILDING template;Graaf d Ursellaan;35;
KNOKKE-HEIST - FH09;2767019;2767019;3;BL0916;BL0916;BUILDING template;Graaf d Ursellaan;37;
KNOKKE-HEIST - FH09;2767024;2767024;3;BL0916;BL0916;BUILDING template;Graaf d Ursellaan;39;
KNOKKE-HEIST - FH09;297127;297127;3;BL0915;BL0915;BUILDING template;Graaf d Ursellaan;45;
KNOKKE-HEIST - FH09;4336107;4336107;3;BL0915;BL0915;BUILDING template;Graaf d Ursellaan;48;
KNOKKE-HEIST - FH09;5579565;5579565;3;BL0915;BL0915;BUILDING template;Graaf d Ursellaan;53;
KNOKKE-HEIST - FH09;2760294;2760294;1;BL0909;BL0909;BUILDING template;Heldenplein;16;
