Projectnummer;LU Key;CLUSTER_NR;LAM MK;BLOCK_NR;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
ANTWERPEN-WEST - FH10;30314;;30314;BL0006;BL0006;BUILDING template;Baron Dhanislaan;3;
ANTWERPEN-WEST - FH10;30328;;30328;BL0027;BL0027;BUILDING template;Verbondstraat;57;
ANTWERPEN-WEST - FH10;30336;;30336;BL0010;BL0010;BUILDING template;Verschansingstraat;21;
ANTWERPEN-WEST - FH10;30338;;30338;BL0014;BL0014;BUILDING template;Amerikalei;92;
ANTWERPEN-WEST - FH10;30344;;30344;BL0023;BL0023;BUILDING template;Vrijheidstraat;63;
ANTWERPEN-WEST - FH10;3918204;;3918204;BL0012;BL0012;BUILDING template;Allewaertstraat;21;
ANTWERPEN-WEST - FH10;3927764;;3927764;BL0021;BL0021;BUILDING template;Kasteelpleinstraat;4;
ANTWERPEN-WEST - FH10;3928132;;3928132;BL0003;BL0003;BUILDING template;Pacificatiestraat;43;
ANTWERPEN-WEST - FH10;3928530;;3928530;BL0028;BL0028;BUILDING template;Verbondstraat;7;
ANTWERPEN-WEST - FH10;3928531;;3928531;BL0026;BL0026;BUILDING template;Verbondstraat;87;
ANTWERPEN-WEST - FH10;3928648;;3928648;BL0027;BL0027;BUILDING template;Welvaartstraat;46;
ANTWERPEN-WEST - FH10;3928649;;3928649;BL0028;BL0028;BUILDING template;Welvaartstraat;49;
ANTWERPEN-WEST - FH10;3928725;;3928725;BL0030;BL0030;BUILDING template;Kapucinessenstraat;50;
ANTWERPEN-WEST - FH10;3928726;;3928726;BL0030;BL0030;BUILDING template;Kapucinessenstraat;56;
ANTWERPEN-WEST - FH10;3957345;;3957345;BL0002;BL0002;BUILDING template;Gijzelaarsstraat;51;
ANTWERPEN-WEST - FH10;3990028;;3990028;BL0025;BL0025;BUILDING template;Verbondstraat;92;
ANTWERPEN-WEST - FH10;3994198;;3994198;BL0004;BL0004;BUILDING template;Edward Pecherstraat;39;
ANTWERPEN-WEST - FH10;3999149;;3999149;BL0031;BL0031;BUILDING template;Begijnenvest;46;
ANTWERPEN-WEST - FH10;4000090;;4000090;BL0009;BL0009;BUILDING template;Leopold de Waelstraat;15;
ANTWERPEN-WEST - FH10;4000933;;4000933;BL0032;BL0032;BUILDING template;Kapucinessenstraat;3;
ANTWERPEN-WEST - FH10;4004449;;4004449;BL0015;BL0015;BUILDING template;De Vrierestraat;44;
ANTWERPEN-WEST - FH10;4011157;;4011157;BL0020;BL0020;BUILDING template;Geuzenstraat;33;
ANTWERPEN-WEST - FH10;4016768;;4016768;BL0033;BL0033;BUILDING template;Schermersstraat;38;
ANTWERPEN-WEST - FH10;4017169;;4017169;BL0023;BL0023;BUILDING template;Vrijheidstraat;59;
ANTWERPEN-WEST - FH10;4021394;;4021394;BL0005;BL0005;BUILDING template;Pacificatiestraat;87;
ANTWERPEN-WEST - FH10;4024082;;4024082;BL0018;BL0018;BUILDING template;Volkstraat;61;
ANTWERPEN-WEST - FH10;4027671;;4027671;BL0022;BL0022;BUILDING template;Vrijheidstraat;33;
ANTWERPEN-WEST - FH10;4030205;;4030205;BL0027;BL0027;BUILDING template;Kasteelpleinstraat;60;
ANTWERPEN-WEST - FH10;4035764;;4035764;BL0009;BL0009;BUILDING template;Lambermontplaats;12;
ANTWERPEN-WEST - FH10;4038291;;4038291;BL0010;BL0010;BUILDING template;Lambermontplaats;8;
ANTWERPEN-WEST - FH10;4050784;;4050784;BL0029;BL0029;BUILDING template;Terninckgang;4;
ANTWERPEN-WEST - FH10;4064986;;4064986;BL0010;BL0010;BUILDING template;Verschansingstraat;13;
ANTWERPEN-WEST - FH10;4069276;;4069276;BL0008;BL0008;BUILDING template;Graaf van Hoornestraat;53;
ANTWERPEN-WEST - FH10;4074311;;4074311;BL0006;BL0006;BUILDING template;Amerikalei;174;
