Projectnummer;LAM MK;LU Key;CLUSTER_NR;BLOCK_NR;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
EVERE - FH01;6151457;6151457;1;BL0128;BL0128;BUILDING template;Rue Edgard Degas - Edgar Degas straat;4;A
EVERE - FH01;6345411;6345411;1;BL0128;BL0128;BUILDING template;Rue Edgard Degas - Edgar Degas straat;6;A
EVERE - FH01;1137199;1137199;9;BL0104;BL0104;BUILDING template;Rue Colonel Bourg - Kolonel Bourgstraat;152;
EVERE - FH01;5046515;5046515;9;BL0119;BL0119;BUILDING template;Avenue du Cimetière de Bruxelles - Kerkhof van Brussellaan;138;
EVERE - FH01;584106;584106;2;BL0126;BL0126;BUILDING template;Avenue des Anciens Combattants - Oud-Strijderslaan;135;
EVERE - FH01;1620843;1620843;2;BL0126;BL0126;BUILDING template;Avenue des Loisirs - Vrijetijdslaan;1;
EVERE - FH01;1620844;1620844;2;BL0126;BL0126;BUILDING template;Avenue des Loisirs - Vrijetijdslaan;3;
EVERE - FH01;1620847;1620847;2;BL0126;BL0126;BUILDING template;Avenue des Loisirs - Vrijetijdslaan;5;
EVERE - FH01;1620850;1620850;2;BL0126;BL0126;BUILDING template;Avenue des Loisirs - Vrijetijdslaan;7;
EVERE - FH01;4110151;4110151;2;BL0126;BL0126;BUILDING template;Avenue des Loisirs - Vrijetijdslaan;9;
EVERE - FH01;6636664;6636664;2;BL0126;BL0126;BUILDING template;Avenue des Loisirs - Vrijetijdslaan;1;A
