Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;BG Name;Straat;Huisnummer;Huisnummer Toevoeging
HASSELT - FH01;2432484;4;BL0105;2432484;BL0105;BUILDING template;;Olmenstraat;18;
HASSELT - FH01;4901686;4;BL0105;4901686;BL0105;BUILDING template;;Olmenstraat;20;
HASSELT - FH01;707105;4;BL0105;707105;BL0105;BUILDING template;;Olmenstraat;22;
HASSELT - FH01;707106;4;BL0105;707106;BL0105;BUILDING template;;Olmenstraat;24;
HASSELT - FH01;2432493;4;BL0105;2432493;BL0105;BUILDING template;;Olmenstraat;26;
HASSELT - FH01;4901689;4;BL0105;4901689;BL0105;BUILDING template;;Olmenstraat;28;
HASSELT - FH01;2432496;4;BL0105;2432496;BL0105;BUILDING template;;Olmenstraat;30;
HASSELT - FH01;706712;4;BL0105;706712;BL0105;BUILDING template;;Olmenstraat;32;
HASSELT - FH01;2432499;4;BL0105;2432499;BL0105;BUILDING template;;Olmenstraat;34;
HASSELT - FH01;2432501;4;BL0105;2432501;BL0105;BUILDING template;;Olmenstraat;36;
HASSELT - FH01;3937566;4;BL0105;3937566;BL0105;BUILDING template;;Olmenstraat;38;
HASSELT - FH01;4901702;4;BL0105;4901702;BL0105;BUILDING template;;Olmenstraat;40;
HASSELT - FH01;707107;4;BL0105;707107;BL0105;BUILDING template;;Olmenstraat;42;
HASSELT - FH01;2432505;4;BL0105;2432505;BL0105;BUILDING template;;Olmenstraat;44;
HASSELT - FH01;2437165;4;BL0105;2437165;BL0105;BUILDING template;;Runkstersteenweg;170;
HASSELT - FH01;2437166;4;BL0105;2437166;BL0105;BUILDING template;;Runkstersteenweg;172;
HASSELT - FH01;2437173;4;BL0105;2437173;BL0105;BUILDING template;;Runkstersteenweg;174;
HASSELT - FH01;2437177;4;BL0105;2437177;BL0105;BUILDING template;;Runkstersteenweg;176;
HASSELT - FH01;2437182;4;BL0105;2437182;BL0105;BUILDING template;;Runkstersteenweg;178;
HASSELT - FH01;2437183;4;BL0105;2437183;BL0105;BUILDING template;;Runkstersteenweg;180;
HASSELT - FH01;2437184;4;BL0105;2437184;BL0105;BUILDING template;;Runkstersteenweg;182;
HASSELT - FH01;2437186;4;BL0105;2437186;BL0105;BUILDING template;;Runkstersteenweg;184;
HASSELT - FH01;4901708;4;BL0105;4901708;BL0105;BUILDING template;;Runkstersteenweg;186;
HASSELT - FH01;2437194;4;BL0105;2437194;BL0105;BUILDING template;;Runkstersteenweg;188;
HASSELT - FH01;2437204;4;BL0105;2437204;BL0105;BUILDING template;;Runkstersteenweg;190;
HASSELT - FH01;4901710;4;BL0105;4901710;BL0105;BUILDING template;;Runkstersteenweg;192;
HASSELT - FH01;2437209;4;BL0105;2437209;BL0105;BUILDING template;;Runkstersteenweg;194;
HASSELT - FH01;2437213;4;BL0105;2437213;BL0105;BUILDING template;;Runkstersteenweg;196;
HASSELT - FH01;2437217;4;BL0105;2437217;BL0105;BUILDING template;;Runkstersteenweg;198;
HASSELT - FH01;4901713;4;BL0105;4901713;BL0105;BUILDING template;;Runkstersteenweg;200;
HASSELT - FH01;2437220;4;BL0105;2437220;BL0105;BUILDING template;;Runkstersteenweg;202;
HASSELT - FH01;707094;4;BL0105;707094;BL0105;BUILDING template;;Runkstersteenweg;204;
HASSELT - FH01;707088;4;BL0105;707088;BL0105;BUILDING template;;Sint-Hubertusplein;1;
HASSELT - FH01;707084;4;BL0105;707084;BL0105;BUILDING template;;Sint-Hubertusplein;3;
HASSELT - FH01;2418689;4;BL0105;2418689;BL0105;BUILDING template;;Sint-Hubertusplein;5;
HASSELT - FH01;2418699;4;BL0105;2418699;BL0105;BUILDING template;;Sint-Hubertusplein;15;
HASSELT - FH01;707085;4;BL0105;707085;BL0105;BUILDING template;;Sint-Hubertusplein;17;
HASSELT - FH01;707087;4;BL0105;707087;BL0105;BUILDING template;;Sint-Hubertusplein;19;
HASSELT - FH01;707086;4;BL0105;707086;BL0105;BUILDING template;;Sint-Hubertusplein;21;
HASSELT - FH01;2415124;4;BL0106;2415124;BL0106;BUILDING template;;Gaarveldstraat;47;
HASSELT - FH01;707134;4;BL0106;707134;BL0106;BUILDING template;;Gaarveldstraat;49;
HASSELT - FH01;2415130;4;BL0106;2415130;BL0106;BUILDING template;;Gaarveldstraat;51;
HASSELT - FH01;2415131;4;BL0106;2415131;BL0106;BUILDING template;;Gaarveldstraat;53;
HASSELT - FH01;2415134;4;BL0106;2415134;BL0106;BUILDING template;;Gaarveldstraat;55;
HASSELT - FH01;2415135;4;BL0106;2415135;BL0106;BUILDING template;;Gaarveldstraat;57;
HASSELT - FH01;2415136;4;BL0106;2415136;BL0106;BUILDING template;;Gaarveldstraat;59;
HASSELT - FH01;2414608;3;BL0102;2414608;BL0102;BUILDING template;;Elzenstraat;2;A
HASSELT - FH01;2407557;3;BL0103;2407557;BL0103;BUILDING template;;Abelenstraat;11;
HASSELT - FH01;2437137;4;BL0106;2437137;BL0106;BUILDING template;;Runkstersteenweg;142;
HASSELT - FH01;2437138;4;BL0106;2437138;BL0106;BUILDING template;;Runkstersteenweg;144;
HASSELT - FH01;2437140;4;BL0106;2437140;BL0106;BUILDING template;;Runkstersteenweg;146;
HASSELT - FH01;2437142;4;BL0106;2437142;BL0106;BUILDING template;;Runkstersteenweg;148;
HASSELT - FH01;3937627;4;BL0106;3937627;BL0106;BUILDING template;;Runkstersteenweg;150;
HASSELT - FH01;1019984;4;BL0106;1019984;BL0106;BUILDING template;;Runkstersteenweg;152;
HASSELT - FH01;2437148;4;BL0106;2437148;BL0106;BUILDING template;;Runkstersteenweg;154;
HASSELT - FH01;2437150;4;BL0106;2437150;BL0106;BUILDING template;;Runkstersteenweg;156;
HASSELT - FH01;707100;4;BL0106;707100;BL0106;BUILDING template;;Runkstersteenweg;158;
HASSELT - FH01;707099;4;BL0106;707099;BL0106;BUILDING template;;Runkstersteenweg;160;
HASSELT - FH01;2437158;4;BL0106;2437158;BL0106;BUILDING template;;Runkstersteenweg;162;
HASSELT - FH01;2437160;4;BL0106;2437160;BL0106;BUILDING template;;Runkstersteenweg;164;
HASSELT - FH01;4901472;4;BL0106;4901472;BL0106;BUILDING template;;Runkstersteenweg;166;
HASSELT - FH01;707097;4;BL0106;707097;BL0106;BUILDING template;;Runkstersteenweg;168;
HASSELT - FH01;2437162;4;BL0106;2437162;BL0106;BUILDING template;;Runkstersteenweg;164;A
HASSELT - FH01;708107;3;BL0103;708107;BL0103;BUILDING template;;Abelenstraat;9;
HASSELT - FH01;2407561;3;BL0103;2407561;BL0103;BUILDING template;;Abelenstraat;13;
HASSELT - FH01;4016685;3;BL0103;4016685;BL0103;BUILDING template;;Abelenstraat;15;
HASSELT - FH01;708106;3;BL0103;708106;BL0103;BUILDING template;;Abelenstraat;17;
HASSELT - FH01;2407563;3;BL0103;2407563;BL0103;BUILDING template;;Abelenstraat;19;
HASSELT - FH01;2407567;3;BL0103;2407567;BL0103;BUILDING template;;Abelenstraat;21;
HASSELT - FH01;2407570;3;BL0103;2407570;BL0103;BUILDING template;;Abelenstraat;23;
HASSELT - FH01;2407572;3;BL0103;2407572;BL0103;BUILDING template;;Abelenstraat;25;
HASSELT - FH01;2407576;3;BL0103;2407576;BL0103;BUILDING template;;Abelenstraat;27;
HASSELT - FH01;2407577;3;BL0103;2407577;BL0103;BUILDING template;;Abelenstraat;29;
HASSELT - FH01;709227;3;BL0103;709227;BL0103;BUILDING template;;Abelenstraat;31;
HASSELT - FH01;708105;3;BL0103;708105;BL0103;BUILDING template;;Abelenstraat;33;
HASSELT - FH01;707332;3;BL0103;707332;BL0103;BUILDING template;;Gaarveldstraat;60;
HASSELT - FH01;2415140;3;BL0103;2415140;BL0103;BUILDING template;;Gaarveldstraat;62;
HASSELT - FH01;2415148;3;BL0103;2415148;BL0103;BUILDING template;;Gaarveldstraat;68;
HASSELT - FH01;2415153;3;BL0103;2415153;BL0103;BUILDING template;;Gaarveldstraat;70;
HASSELT - FH01;2415155;3;BL0103;2415155;BL0103;BUILDING template;;Gaarveldstraat;72;
HASSELT - FH01;2415158;3;BL0103;2415158;BL0103;BUILDING template;;Gaarveldstraat;74;
