Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;BG Name;Straat;Huisnummer;Huisnummer Toevoeging
MONS - FH01;5821959;;BL0101;5821959;BL0101;BUILDING template;Rue Verte 8 - 8A;Rue Verte;8;A
MONS - FH01;6605706;;BL0116;6605706;BL0116;BUILDING template;;Ruelle aux Quinettes;4;
MONS - FH01;247338;;BL0116;247338;BL0116;BUILDING template;;Ruelle aux Quinettes;23;D
MONS - FH01;247336;;BL0116;247336;BL0116;BUILDING template;;Ruelle aux Quinettes;24;
MONS - FH01;3124038;;BL0119;3124038;BL0119;BUILDING template;Cour de l'Âne Barré 4- 4A- 4B- 4C- 4D- 4E- 4I-4J;Cour de l'Ane Barré;4;
MONS - FH01;3124045;;BL0119;3124045;BL0119;BUILDING template;;Cour de l'Ane Barré;17;
MONS - FH01;247550;;BL0102;247550;BL0102;BUILDING template;;Cour du Noir Lévrier;4;
MONS - FH01;3162163;;BL0102;3162163;BL0102;BUILDING template;;Cour du Noir Lévrier;5;
MONS - FH01;4068973;;BL0102;4068973;BL0102;BUILDING template;;Cour du Noir Lévrier;6;
MONS - FH01;4030549;;BL0102;4030549;BL0102;BUILDING template;;Cour du Noir Lévrier;7;
MONS - FH01;3162164;;BL0102;3162164;BL0102;BUILDING template;;Cour du Noir Lévrier;8;
MONS - FH01;3162165;;BL0102;3162165;BL0102;BUILDING template;;Cour du Noir Lévrier;10;
MONS - FH01;247530;;BL0102;247530;BL0102;BUILDING template;;Cour du Noir Lévrier;11;
MONS - FH01;4586260;;BL0102;4586260;BL0102;BUILDING template;;Cour du Noir Lévrier;12;
MONS - FH01;4586261;;BL0102;4586261;BL0102;BUILDING template;;Cour du Noir Lévrier;14;
MONS - FH01;247529;;BL0102;247529;BL0102;BUILDING template;;Cour du Noir Lévrier;16;
MONS - FH01;1275454;;BL0119;1275454;BL0119;BUILDING template;;Grand-Place;1;
MONS - FH01;1275451;;BL0119;1275451;BL0119;BUILDING template;;Grand-Place;2;
MONS - FH01;3156114;;BL0119;3156114;BL0119;BUILDING template;;Grand-Place;3;
MONS - FH01;5330455;;BL0119;5330455;BL0119;BUILDING template;;Grand-Place;4;A
MONS - FH01;3156116;;BL0119;3156116;BL0119;BUILDING template;;Grand-Place;4;B
MONS - FH01;5334239;;BL0119;5334239;BL0119;BUILDING template;;Grand-Place;4;C
MONS - FH01;5338737;;BL0119;5338737;BL0119;BUILDING template;;Grand-Place;4;D
MONS - FH01;5354564;;BL0119;5354564;BL0119;BUILDING template;;Grand-Place;4;F
MONS - FH01;3156119;;BL0119;3156119;BL0119;BUILDING template;;Grand-Place;4;G
MONS - FH01;5351802;;BL0119;5351802;BL0119;BUILDING template;;Grand-Place;4;H
MONS - FH01;5348681;;BL0119;5348681;BL0119;BUILDING template;;Grand-Place;4;J
MONS - FH01;3156117;;BL0119;3156117;BL0119;BUILDING template;;Grand-Place;4;K
MONS - FH01;5354255;;BL0119;5354255;BL0119;BUILDING template;;Grand-Place;4;L
MONS - FH01;3156120;;BL0119;3156120;BL0119;BUILDING template;;Grand-Place;5;
MONS - FH01;3156121;;BL0119;3156121;BL0119;BUILDING template;;Grand-Place;6;
MONS - FH01;5323275;;BL0119;5323275;BL0119;BUILDING template;;Grand-Place;6;A
MONS - FH01;3156123;;BL0119;3156123;BL0119;BUILDING template;;Grand-Place;8;
MONS - FH01;246912;;BL0119;246912;BL0119;BUILDING template;Grand-Place -9-10;Grand-Place;9;
MONS - FH01;3156127;;BL0119;3156127;BL0119;BUILDING template;;Grand-Place;11;
MONS - FH01;207479;;BL0119;207479;BL0119;BUILDING template;;Grand-Place;12;
MONS - FH01;3156128;;BL0119;3156128;BL0119;BUILDING template;;Grand-Place;13;
MONS - FH01;3156129;;BL0119;3156129;BL0119;BUILDING template;;Grand-Place;13;B
MONS - FH01;246911;;BL0119;246911;BL0119;BUILDING template;;Grand-Place;14;
MONS - FH01;3156130;;BL0102;3156130;BL0102;BUILDING template;;Grand-Place;15;
