Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;BG Name;Straat;Huisnummer;Huisnummer Toevoeging
MECHELEN - FH01;3031628;3;BL0121;3031628;BL0121;BUILDING template;;Desire Boucherystraat;6;
MECHELEN - FH01;3031630;3;BL0121;3031630;BL0121;BUILDING template;;Desire Boucherystraat;8;
MECHELEN - FH01;3031632;3;BL0121;3031632;BL0121;BUILDING template;;Desire Boucherystraat;10;
MECHELEN - FH01;919857;3;BL0121;919857;BL0121;BUILDING template;;Desire Boucherystraat;14;
MECHELEN - FH01;919856;3;BL0121;919856;BL0121;BUILDING template;;Desire Boucherystraat;16;
MECHELEN - FH01;3031638;3;BL0121;3031638;BL0121;BUILDING template;;Desire Boucherystraat;18;
MECHELEN - FH01;3031640;3;BL0121;3031640;BL0121;BUILDING template;;Desire Boucherystraat;22;
MECHELEN - FH01;901179;2;BL0105;901179;BL0105;BUILDING template;;Frederik de Merodestraat;2;
MECHELEN - FH01;3032937;2;BL0105;3032937;BL0105;BUILDING template;;Frederik de Merodestraat;4;
MECHELEN - FH01;3032938;2;BL0106;3032938;BL0106;BUILDING template;;Frederik de Merodestraat;5;
MECHELEN - FH01;4191732;2;BL0105;4191732;BL0105;BUILDING template;Frederik De Merodestraat 6-6A;Frederik de Merodestraat;6;
MECHELEN - FH01;3032941;2;BL0106;3032941;BL0106;BUILDING template;;Frederik de Merodestraat;7;
MECHELEN - FH01;901177;2;BL0105;901177;BL0105;BUILDING template;;Frederik de Merodestraat;8;
MECHELEN - FH01;3032943;2;BL0106;3032943;BL0106;BUILDING template;;Frederik de Merodestraat;9;
MECHELEN - FH01;3032945;2;BL0105;3032945;BL0105;BUILDING template;Frederik de merodestraat 10-12;Frederik de Merodestraat;10;
MECHELEN - FH01;4752018;2;BL0106;4752018;BL0106;BUILDING template;;Frederik de Merodestraat;11;
MECHELEN - FH01;4103699;2;BL0106;4103699;BL0106;BUILDING template;;Frederik de Merodestraat;13;
MECHELEN - FH01;3032948;2;BL0106;3032948;BL0106;BUILDING template;;Frederik de Merodestraat;15;
MECHELEN - FH01;3032951;2;BL0106;3032951;BL0106;BUILDING template;;Frederik de Merodestraat;17;
MECHELEN - FH01;3032953;2;BL0105;3032953;BL0105;BUILDING template;;Frederik de Merodestraat;18;
MECHELEN - FH01;3032954;2;BL0106;3032954;BL0106;BUILDING template;;Frederik de Merodestraat;19;
