Projectnummer;LU Key;LAM MK;CLUSTER_NR;BLOCK_NR;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
EVERE - FH01;1621036;1621036;4;BL0108;BL0108;BUILDING template;Maquisstraat - Rue du Maquis;98;
EVERE - FH01;1621038;1621038;4;BL0108;BL0108;BUILDING template;Maquisstraat - Rue du Maquis;100;
EVERE - FH01;1621040;1621040;4;BL0108;BL0108;BUILDING template;Maquisstraat - Rue du Maquis;102;
EVERE - FH01;1621042;1621042;4;BL0108;BL0108;BUILDING template;Maquisstraat - Rue du Maquis;104;
EVERE - FH01;1621044;1621044;4;BL0108;BL0108;BUILDING template;Maquisstraat - Rue du Maquis;106;
EVERE - FH01;726097;726097;4;BL0108;BL0108;BUILDING template;Maquisstraat - Rue du Maquis;108;
EVERE - FH01;726096;726096;4;BL0108;BL0108;BUILDING template;Maquisstraat - Rue du Maquis;110;
EVERE - FH01;1621048;1621048;4;BL0108;BL0108;BUILDING template;Maquisstraat - Rue du Maquis;112;
EVERE - FH01;1621049;1621049;4;BL0108;BL0108;BUILDING template;Maquisstraat - Rue du Maquis;114;
EVERE - FH01;1621050;1621050;4;BL0108;BL0108;BUILDING template;Maquisstraat - Rue du Maquis;116;
EVERE - FH01;1621052;1621052;4;BL0108;BL0108;BUILDING template;Maquisstraat - Rue du Maquis;118;
EVERE - FH01;1621054;1621054;4;BL0108;BL0108;BUILDING template;Maquisstraat - Rue du Maquis;120;
EVERE - FH01;1621056;1621056;4;BL0108;BL0108;BUILDING template;Maquisstraat - Rue du Maquis;122;
EVERE - FH01;726094;726094;4;BL0108;BL0108;BUILDING template;Maquisstraat - Rue du Maquis;124;
EVERE - FH01;1621059;1621059;4;BL0108;BL0108;BUILDING template;Maquisstraat - Rue du Maquis;126;
EVERE - FH01;1621061;1621061;4;BL0108;BL0108;BUILDING template;Maquisstraat - Rue du Maquis;128;
EVERE - FH01;4107454;4107454;4;BL0108;BL0108;BUILDING template;Maquisstraat - Rue du Maquis;130;
EVERE - FH01;1621064;1621064;4;BL0108;BL0108;BUILDING template;Maquisstraat - Rue du Maquis;132;
EVERE - FH01;1621066;1621066;4;BL0108;BL0108;BUILDING template;Maquisstraat - Rue du Maquis;134;
EVERE - FH01;726093;726093;4;BL0108;BL0108;BUILDING template;Maquisstraat - Rue du Maquis;136;
EVERE - FH01;1621069;1621069;4;BL0108;BL0108;BUILDING template;Maquisstraat - Rue du Maquis;138;
EVERE - FH01;1621071;1621071;4;BL0108;BL0108;BUILDING template;Maquisstraat - Rue du Maquis;140;
EVERE - FH01;1621072;1621072;4;BL0108;BL0108;BUILDING template;Maquisstraat - Rue du Maquis;142;
EVERE - FH01;726092;726092;4;BL0108;BL0108;BUILDING template;Maquisstraat - Rue du Maquis;144;
EVERE - FH01;726086;726086;4;BL0108;BL0108;BUILDING template;Zeventien Aprilstraat - Rue du Dix-sept Avril;4;
EVERE - FH01;1623512;1623512;4;BL0108;BL0108;BUILDING template;Zeventien Aprilstraat - Rue du Dix-sept Avril;6;
EVERE - FH01;1623514;1623514;4;BL0108;BL0108;BUILDING template;Zeventien Aprilstraat - Rue du Dix-sept Avril;8;
EVERE - FH01;1623516;1623516;4;BL0108;BL0108;BUILDING template;Zeventien Aprilstraat - Rue du Dix-sept Avril;10;
EVERE - FH01;1623519;1623519;4;BL0108;BL0108;BUILDING template;Zeventien Aprilstraat - Rue du Dix-sept Avril;16;
EVERE - FH01;726090;726090;4;BL0108;BL0108;BUILDING template;Zeventien Aprilstraat - Rue du Dix-sept Avril;18;
EVERE - FH01;726091;726091;4;BL0108;BL0108;BUILDING template;Zeventien Aprilstraat - Rue du Dix-sept Avril;20;
EVERE - FH01;1452015;1452015;4;BL0108;BL0108;BUILDING template;Zeventien Aprilstraat - Rue du Dix-sept Avril;22;
EVERE - FH01;1623522;1623522;4;BL0108;BL0108;BUILDING template;Zeventien Aprilstraat - Rue du Dix-sept Avril;24;
EVERE - FH01;1623524;1623524;4;BL0108;BL0108;BUILDING template;Zeventien Aprilstraat - Rue du Dix-sept Avril;26;
EVERE - FH01;1623526;1623526;4;BL0108;BL0108;BUILDING template;Zeventien Aprilstraat - Rue du Dix-sept Avril;28;
EVERE - FH01;1623528;1623528;4;BL0108;BL0108;BUILDING template;Zeventien Aprilstraat - Rue du Dix-sept Avril;30;
EVERE - FH01;1623530;1623530;4;BL0108;BL0108;BUILDING template;Zeventien Aprilstraat - Rue du Dix-sept Avril;32;
EVERE - FH01;726085;726085;4;BL0108;BL0108;BUILDING template;Zeventien Aprilstraat - Rue du Dix-sept Avril;34;
EVERE - FH01;726268;726268;4;BL0109;BL0109;BUILDING template;G. Van Laethemstraat - Rue Guillaume Van Laethem;2;
EVERE - FH01;1621889;1621889;4;BL0109;BL0109;BUILDING template;G. Van Laethemstraat - Rue Guillaume Van Laethem;4;
EVERE - FH01;1621890;1621890;4;BL0109;BL0109;BUILDING template;G. Van Laethemstraat - Rue Guillaume Van Laethem;6;
EVERE - FH01;1621893;1621893;4;BL0109;BL0109;BUILDING template;G. Van Laethemstraat - Rue Guillaume Van Laethem;10;
EVERE - FH01;1621895;1621895;4;BL0109;BL0109;BUILDING template;G. Van Laethemstraat - Rue Guillaume Van Laethem;12;
EVERE - FH01;1621896;1621896;4;BL0109;BL0109;BUILDING template;G. Van Laethemstraat - Rue Guillaume Van Laethem;14;
EVERE - FH01;1621898;1621898;4;BL0109;BL0109;BUILDING template;G. Van Laethemstraat - Rue Guillaume Van Laethem;16;
EVERE - FH01;726271;726271;4;BL0109;BL0109;BUILDING template;G. Van Laethemstraat - Rue Guillaume Van Laethem;18;
EVERE - FH01;1533743;1533743;4;BL0109;BL0109;BUILDING template;G. Van Laethemstraat - Rue Guillaume Van Laethem;20;
EVERE - FH01;726260;726260;4;BL0109;BL0109;BUILDING template;G. Van Laethemstraat - Rue Guillaume Van Laethem;22;
EVERE - FH01;726273;726273;4;BL0109;BL0109;BUILDING template;G. Van Laethemstraat - Rue Guillaume Van Laethem;24;
EVERE - FH01;1621902;1621902;4;BL0109;BL0109;BUILDING template;G. Van Laethemstraat - Rue Guillaume Van Laethem;26;
EVERE - FH01;1621904;1621904;4;BL0109;BL0109;BUILDING template;G. Van Laethemstraat - Rue Guillaume Van Laethem;28;
EVERE - FH01;1621906;1621906;4;BL0109;BL0109;BUILDING template;G. Van Laethemstraat - Rue Guillaume Van Laethem;30;
EVERE - FH01;726281;726281;4;BL0109;BL0109;BUILDING template;G. Van Laethemstraat - Rue Guillaume Van Laethem;32;
EVERE - FH01;726282;726282;4;BL0109;BL0109;BUILDING template;G. Van Laethemstraat - Rue Guillaume Van Laethem;34;
EVERE - FH01;1621908;1621908;4;BL0109;BL0109;BUILDING template;G. Van Laethemstraat - Rue Guillaume Van Laethem;36;
EVERE - FH01;1621910;1621910;4;BL0109;BL0109;BUILDING template;G. Van Laethemstraat - Rue Guillaume Van Laethem;38;
EVERE - FH01;1621912;1621912;4;BL0109;BL0109;BUILDING template;G. Van Laethemstraat - Rue Guillaume Van Laethem;40;
EVERE - FH01;726280;726280;4;BL0109;BL0109;BUILDING template;G. Van Laethemstraat - Rue Guillaume Van Laethem;42;
EVERE - FH01;726286;726286;4;BL0109;BL0109;BUILDING template;Hugo Verrieststraat - Rue Hugo Verriest;19;
EVERE - FH01;1621732;1621732;4;BL0109;BL0109;BUILDING template;Hugo Verrieststraat - Rue Hugo Verriest;21;
EVERE - FH01;726287;726287;4;BL0109;BL0109;BUILDING template;Hugo Verrieststraat - Rue Hugo Verriest;23;
EVERE - FH01;726265;726265;4;BL0109;BL0109;BUILDING template;Maquisstraat - Rue du Maquis;76;
EVERE - FH01;4119544;4119544;4;BL0109;BL0109;BUILDING template;Maquisstraat - Rue du Maquis;78;
EVERE - FH01;1621022;1621022;4;BL0109;BL0109;BUILDING template;Maquisstraat - Rue du Maquis;80;
EVERE - FH01;1621024;1621024;4;BL0109;BL0109;BUILDING template;Maquisstraat - Rue du Maquis;82;
EVERE - FH01;1621026;1621026;4;BL0109;BL0109;BUILDING template;Maquisstraat - Rue du Maquis;84;
EVERE - FH01;1621028;1621028;4;BL0109;BL0109;BUILDING template;Maquisstraat - Rue du Maquis;86;
EVERE - FH01;1621029;1621029;4;BL0109;BL0109;BUILDING template;Maquisstraat - Rue du Maquis;88;
EVERE - FH01;1621031;1621031;4;BL0109;BL0109;BUILDING template;Maquisstraat - Rue du Maquis;90;
EVERE - FH01;4119533;4119533;4;BL0109;BL0109;BUILDING template;Maquisstraat - Rue du Maquis;92;
EVERE - FH01;1621034;1621034;4;BL0109;BL0109;BUILDING template;Maquisstraat - Rue du Maquis;94;
EVERE - FH01;726095;726095;4;BL0109;BL0109;BUILDING template;Maquisstraat - Rue du Maquis;96;
EVERE - FH01;726267;726267;4;BL0109;BL0109;BUILDING template;Maquisstraat - Rue du Maquis;96;A
EVERE - FH01;25447;25447;10;BL0105;BL0105;BUILDING template;Avenue Léon Grosjean - Léon Grosjeanlaan;73;
EVERE - FH01;726175;726175;10;BL0105;BL0105;BUILDING template;Hugo Verrieststraat - Rue Hugo Verriest;48;
EVERE - FH01;726173;726173;10;BL0105;BL0105;BUILDING template;Hugo Verrieststraat - Rue Hugo Verriest;50;
EVERE - FH01;726172;726172;10;BL0105;BL0105;BUILDING template;Hugo Verrieststraat - Rue Hugo Verriest;52;
EVERE - FH01;1621743;1621743;10;BL0105;BL0105;BUILDING template;Hugo Verrieststraat - Rue Hugo Verriest;54;
EVERE - FH01;1620343;1620343;10;BL0105;BL0105;BUILDING template;Kleigroeveërf - Clos de l'Argilière;5;
EVERE - FH01;1620345;1620345;10;BL0105;BL0105;BUILDING template;Kleigroeveërf - Clos de l'Argilière;7;
EVERE - FH01;1620346;1620346;10;BL0105;BL0105;BUILDING template;Kleigroeveërf - Clos de l'Argilière;9;
EVERE - FH01;1137210;1137210;10;BL0105;BL0105;BUILDING template;Kleigroeveërf - Clos de l'Argilière;10;
EVERE - FH01;1620347;1620347;10;BL0105;BL0105;BUILDING template;Kleigroeveërf - Clos de l'Argilière;11;
EVERE - FH01;1325306;1325306;10;BL0105;BL0105;BUILDING template;Kleigroeveërf - Clos de l'Argilière;13;
EVERE - FH01;1620349;1620349;10;BL0105;BL0105;BUILDING template;Kleigroeveërf - Clos de l'Argilière;14;
EVERE - FH01;1620350;1620350;10;BL0105;BL0105;BUILDING template;Kleigroeveërf - Clos de l'Argilière;15;
EVERE - FH01;1620351;1620351;10;BL0105;BL0105;BUILDING template;Kleigroeveërf - Clos de l'Argilière;16;
