Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
SINT-NIKLAAS - FH02;3500085;1;BL0205;3500085;BL0205;BUILDING template;Klein-Hulststraat;26;
SINT-NIKLAAS - FH02;2109084;1;BL0205;3500085;BL0205;(L/B/S)U template;Klein-Hulststraat;26;
SINT-NIKLAAS - FH02;3925969;1;BL0208;3925969;BL0208;BUILDING template;Klein-Hulststraat;27;
SINT-NIKLAAS - FH02;2109556;1;BL0208;3925969;BL0208;(L/B/S)U template;Klein-Hulststraat;27;
SINT-NIKLAAS - FH02;2109557;1;BL0208;3925969;BL0208;(L/B/S)U template;Klein-Hulststraat;27;
SINT-NIKLAAS - FH02;2109558;1;BL0208;3925969;BL0208;(L/B/S)U template;Klein-Hulststraat;27;
SINT-NIKLAAS - FH02;2109559;1;BL0208;3925969;BL0208;(L/B/S)U template;Klein-Hulststraat;27;
SINT-NIKLAAS - FH02;11094612;1;BL0208;3925969;BL0208;(L/B/S)U template;Klein-Hulststraat;27;
SINT-NIKLAAS - FH02;4449052;1;BL0205;4449052;BL0205;BUILDING template;Klein-Hulststraat;28;
SINT-NIKLAAS - FH02;2109892;1;BL0205;4449052;BL0205;(L/B/S)U template;Klein-Hulststraat;28;
SINT-NIKLAAS - FH02;3500086;1;BL0208;3500086;BL0208;BUILDING template;Klein-Hulststraat;29;
SINT-NIKLAAS - FH02;2110290;1;BL0208;3500086;BL0208;(L/B/S)U template;Klein-Hulststraat;29;
SINT-NIKLAAS - FH02;2110291;1;BL0208;3500086;BL0208;(L/B/S)U template;Klein-Hulststraat;29;
SINT-NIKLAAS - FH02;4444739;1;BL0208;4444739;BL0208;BUILDING template;Klein-Hulststraat;31;
SINT-NIKLAAS - FH02;2111503;1;BL0208;4444739;BL0208;(L/B/S)U template;Klein-Hulststraat;31;
SINT-NIKLAAS - FH02;4057353;1;BL0208;4057353;BL0208;BUILDING template;Klein-Hulststraat;33;
