Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;Opdrachttemplate;BG Name;Straat;Huisnummer;Huisnummer Toevoeging
ANTWERPEN-WEST - FH11;2062541;;BL1107;2062541;BUILDING template;;Waalsekaai;30;
ANTWERPEN-WEST - FH11;2062542;;BL1107;2062542;BUILDING template;;Waalsekaai;31;
ANTWERPEN-WEST - FH11;2062543;;BL1107;2062543;BUILDING template;;Waalsekaai;32;
ANTWERPEN-WEST - FH11;2062544;;BL1107;2062544;BUILDING template;;Waalsekaai;33;
ANTWERPEN-WEST - FH11;2062546;;BL1105;2062546;BUILDING template;;Waalsekaai;37;
ANTWERPEN-WEST - FH11;2062547;;BL1105;2062547;BUILDING template;;Waalsekaai;40;
ANTWERPEN-WEST - FH11;2062548;;BL1104;2062548;BUILDING template;;Waalsekaai;47;
ANTWERPEN-WEST - FH11;2062551;;BL1102;2062551;BUILDING template;;Waalsekaai;57;
ANTWERPEN-WEST - FH11;2062553;;BL1102;2062553;BUILDING template;;Waalsekaai;59;
ANTWERPEN-WEST - FH11;2062554;;BL1102;2062554;BUILDING template;;Waalsekaai;60;
ANTWERPEN-WEST - FH11;2062556;;BL1102;2062556;BUILDING template;;Waalsekaai;61;
ANTWERPEN-WEST - FH11;2062827;;BL1114;2062827;BUILDING template;;Leopold de Waelplaats;6;
ANTWERPEN-WEST - FH11;2062828;;BL1114;2062828;BUILDING template;;Leopold de Waelplaats;8;
ANTWERPEN-WEST - FH11;2062829;;BL1114;2062829;BUILDING template;;Leopold de Waelplaats;10;
ANTWERPEN-WEST - FH11;2063174;;BL1108;2063174;BUILDING template;Cockerillkaai 26-27-28-29-30-31_Luikstraat 1-3_Wapenstraat 6;Wapenstraat;6;
ANTWERPEN-WEST - FH11;30249;;BL1118;30249;BUILDING template;;Pacificatiestraat;25;
ANTWERPEN-WEST - FH11;30322;;BL1114;30322;BUILDING template;;Verlatstraat;16;
ANTWERPEN-WEST - FH11;30326;;BL1113;30326;BUILDING template;;Verlatstraat;17;
ANTWERPEN-WEST - FH11;30348;;BL1122;30348;BUILDING template;Van Der Sweepstraat 12-14;Van der Sweepstraat;12;
ANTWERPEN-WEST - FH11;32822;;BL1114;32822;BUILDING template;;Leopold de Waelplaats;16;
ANTWERPEN-WEST - FH11;33404;;BL1118;33404;BUILDING template;;Pacificatiestraat;23;
ANTWERPEN-WEST - FH11;3926591;;BL1119;3926591;BUILDING template;;Jan van Gentstraat;27;
ANTWERPEN-WEST - FH11;3926659;;BL1104;3926659;BUILDING template;;De Gerlachekaai;13;
ANTWERPEN-WEST - FH11;3928368;;BL1111;3928368;BUILDING template;;Scheldestraat;10;
ANTWERPEN-WEST - FH11;3928577;;BL1118;3928577;BUILDING template;;Vlaamsekaai;70;
ANTWERPEN-WEST - FH11;4034391;;BL1113;4034391;BUILDING template;;Verlatstraat;39;
ANTWERPEN-WEST - FH11;4052086;;BL1116;4052086;BUILDING template;Pourbusstraat 33_Verschaningstraat 20;Verschansingstraat;20;
ANTWERPEN-WEST - FH11;4062342;;BL1119;4062342;BUILDING template;;Gijzelaarsstraat;62;
ANTWERPEN-WEST - FH11;4073986;;BL1107;4073986;BUILDING template;;Luikstraat;4;
ANTWERPEN-WEST - FH11;4074677;;BL1110;4074677;BUILDING template;;Waalsekaai;22;
ANTWERPEN-WEST - FH11;4128036;;BL1118;4128036;BUILDING template;;Gijzelaarsstraat;6;
ANTWERPEN-WEST - FH11;4190566;;BL1112;4190566;BUILDING template;;Vlaamsekaai;13;
ANTWERPEN-WEST - FH11;4201186;;BL1116;4201186;BUILDING template;;De Burburestraat;32;
ANTWERPEN-WEST - FH11;4214219;;BL1107;4214219;BUILDING template;;Luikstraat;10;
ANTWERPEN-WEST - FH11;4228392;;BL1112;4228392;BUILDING template;;Graaf van Egmontstraat;32;
ANTWERPEN-WEST - FH11;4249619;;BL1118;4249619;BUILDING template;;Gijzelaarsstraat;36;
ANTWERPEN-WEST - FH11;4517004;;BL1113;4517004;BUILDING template;;Graaf van Egmontstraat;52;
ANTWERPEN-WEST - FH11;4517005;;BL1113;4517005;BUILDING template;;Graaf van Egmontstraat;58;
ANTWERPEN-WEST - FH11;4517017;;BL1113;4517017;BUILDING template;;Vorstermanstraat;18;
ANTWERPEN-WEST - FH11;4517021;;BL1112;4517021;BUILDING template;;Vlaamsekaai;15;
ANTWERPEN-WEST - FH11;4517026;;BL1112;4517026;BUILDING template;;Vorstermanstraat;3;
ANTWERPEN-WEST - FH11;4517256;;BL1119;4517256;BUILDING template;Jan van Gentstraat 5-7-9-11;Jan van Gentstraat;9;
ANTWERPEN-WEST - FH11;4518054;;BL1114;4518054;BUILDING template;;Leopold de Waelplaats;14;
ANTWERPEN-WEST - FH11;4518069;;BL1114;4518069;BUILDING template;;Museumstraat;19;
ANTWERPEN-WEST - FH11;4518172;;BL1118;4518172;BUILDING template;;Gijzelaarsstraat;40;
ANTWERPEN-WEST - FH11;4518173;;BL1118;4518173;BUILDING template;;Gijzelaarsstraat;42;
ANTWERPEN-WEST - FH11;4518175;;BL1118;4518175;BUILDING template;;Gijzelaarsstraat;52;
ANTWERPEN-WEST - FH11;4518176;;BL1118;4518176;BUILDING template;;Gijzelaarsstraat;20;
ANTWERPEN-WEST - FH11;4518838;;BL1117;4518838;BUILDING template;;Verschansingstraat;30;
ANTWERPEN-WEST - FH11;4518839;;BL1117;4518839;BUILDING template;;Verschansingstraat;38;
ANTWERPEN-WEST - FH11;4518843;;BL1117;4518843;BUILDING template;;Pourbusstraat;20;
ANTWERPEN-WEST - FH11;4519090;;BL1104;4519090;BUILDING template;;Lakenstraat;8;
ANTWERPEN-WEST - FH11;4519096;;BL1104;4519096;BUILDING template;;Waalsekaai;45;
ANTWERPEN-WEST - FH11;4519887;;BL1115;4519887;BUILDING template;;Museumstraat;6;
ANTWERPEN-WEST - FH11;4520311;;BL1102;4520311;BUILDING template;;Waalsekaai;58;
ANTWERPEN-WEST - FH11;5321929;;BL1110;5321929;BUILDING template;;Waalsekaai;16;
ANTWERPEN-WEST - FH11;5383735;;BL1115;5383735;BUILDING template;Leopold de Waelplaats 20-22-24A-26;Leopold de Waelplaats;20;
ANTWERPEN-WEST - FH11;5394053;;BL1115;5394053;BUILDING template;Leopold de Waelplaats 20-22-24A-26;Leopold de Waelplaats;24;A
ANTWERPEN-WEST - FH11;5414526;;BL1115;5414526;BUILDING template;Museumstraat 48-50;Museumstraat;50;
ANTWERPEN-WEST - FH11;5552744;;BL1114;5552744;BUILDING template;Vlaamsekaai 28-29-29A-30-31;Vlaamsekaai;28;
ANTWERPEN-WEST - FH11;5575337;;BL1108;5575337;BUILDING template;Cockerillkaai 26-27-28-29-30-31_Luikstraat 1-3_Wapenstraat 6;Cockerillkaai;26;
ANTWERPEN-WEST - FH11;5576376;;BL1117;5576376;BUILDING template;;Vlaamsekaai;54;
ANTWERPEN-WEST - FH11;6460902;;BL1102;6460902;BUILDING template;;Waalsekaai;57;A
ANTWERPEN-WEST - FH11;762413;;BL1104;762413;BUILDING template;;Waalsekaai;44;
ANTWERPEN-WEST - FH11;762417;;BL1103;762417;BUILDING template;;Waalsekaai;52;
ANTWERPEN-WEST - FH11;762419;;BL1103;762419;BUILDING template;;Waalsekaai;53;
ANTWERPEN-WEST - FH11;762422;;BL1102;762422;BUILDING template;;Schalienstraat;2;
ANTWERPEN-WEST - FH11;762423;;BL1103;762423;BUILDING template;;Schalienstraat;41;
ANTWERPEN-WEST - FH11;762432;;BL1104;762432;BUILDING template;De Gerlachekaai 15_Verviersstraat 3;Verviersstraat;1;
ANTWERPEN-WEST - FH11;762435;;BL1105;762435;BUILDING template;;Lakenstraat;1;
ANTWERPEN-WEST - FH11;762436;;BL1104;762436;BUILDING template;;Lakenstraat;16;
ANTWERPEN-WEST - FH11;762438;;BL1105;762438;BUILDING template;;Lakenstraat;7;
ANTWERPEN-WEST - FH11;762443;;BL1104;762443;BUILDING template;;De Gerlachekaai;11;
ANTWERPEN-WEST - FH11;762445;;BL1104;762445;BUILDING template;De Gerlachekaai 15_Verviersstraat 3;De Gerlachekaai;15;
ANTWERPEN-WEST - FH11;968539;;BL1102;968539;BUILDING template;Waalse Kaai 54-55;Waalsekaai;54;
ANTWERPEN-WEST - FH11;968541;;BL1102;968541;BUILDING template;Schalienstraat 30-32-34;Schalienstraat;30;
ANTWERPEN-WEST - FH11;968543;;BL1102;968543;BUILDING template;;Schalienstraat;28;
ANTWERPEN-WEST - FH11;968544;;BL1102;968544;BUILDING template;Schalienstraat 24-26;Schalienstraat;26;
ANTWERPEN-WEST - FH11;968545;;BL1102;968545;BUILDING template;;Schalienstraat;38;
ANTWERPEN-WEST - FH11;968548;;BL1101;968548;BUILDING template;Van Der Sweepstraat 3-5-7;Van der Sweepstraat;3;
ANTWERPEN-WEST - FH11;968549;;BL1102;968549;BUILDING template;;De Gerlachekaai;37;
ANTWERPEN-WEST - FH11;968663;;BL1107;968663;BUILDING template;;Waalsekaai;29;
ANTWERPEN-WEST - FH11;968664;;BL1105;968664;BUILDING template;;Waalsekaai;36;
ANTWERPEN-WEST - FH11;968665;;BL1105;968665;BUILDING template;;Waalsekaai;43;
ANTWERPEN-WEST - FH11;968667;;BL1108;968667;BUILDING template;;Waalsekaai;28;
ANTWERPEN-WEST - FH11;968669;;BL1105;968669;BUILDING template;;Waalsekaai;42;
ANTWERPEN-WEST - FH11;968670;;BL1105;968670;BUILDING template;;Waalsekaai;38;
ANTWERPEN-WEST - FH11;968672;;BL1108;968672;BUILDING template;;Wapenstraat;18;
ANTWERPEN-WEST - FH11;968673;;BL1108;968673;BUILDING template;;Wapenstraat;2;
ANTWERPEN-WEST - FH11;968676;;BL1108;968676;BUILDING template;;Luikstraat;9;
ANTWERPEN-WEST - FH11;968677;;BL1108;968677;BUILDING template;Cockerillkaai 26-27-28-29-30-31_Luikstraat 1-3_Wapenstraat 6;Luikstraat;3;
ANTWERPEN-WEST - FH11;968678;;BL1107;968678;BUILDING template;;Luikstraat;12;
ANTWERPEN-WEST - FH11;968679;;BL1107;968679;BUILDING template;Cockerillkaai 32-33-34-35_Luikstraat 2;Luikstraat;2;
ANTWERPEN-WEST - FH11;968680;;BL1107;968680;BUILDING template;Ijzerenpoortkaai 10_Waalsekaai 34;IJzerenpoortkaai;10;
ANTWERPEN-WEST - FH11;968682;;BL1105;968682;BUILDING template;;Visserskaai;11;
ANTWERPEN-WEST - FH11;968683;;BL1105;968683;BUILDING template;;Visserskaai;1;
ANTWERPEN-WEST - FH11;968684;;BL1105;968684;BUILDING template;;De Gerlachekaai;1;
ANTWERPEN-WEST - FH11;968685;;BL1105;968685;BUILDING template;De Gerlachekaai 6-7-8;De Gerlachekaai;8;
ANTWERPEN-WEST - FH11;968687;;BL1107;968687;BUILDING template;Cockerillkaai 32-33-34-35_Luikstraat 2;Cockerillkaai;32;
ANTWERPEN-WEST - FH11;968688;;BL1107;968688;BUILDING template;;Cockerillkaai;37;
ANTWERPEN-WEST - FH11;969122;;BL1115;969122;BUILDING template;;De Burburestraat;1;
ANTWERPEN-WEST - FH11;969123;;BL1115;969123;BUILDING template;;Museumstraat;2;
ANTWERPEN-WEST - FH11;969124;;BL1115;969124;BUILDING template;Museumstraat 48-50;Museumstraat;48;
ANTWERPEN-WEST - FH11;969125;;BL1115;969125;BUILDING template;;Museumstraat;10;
ANTWERPEN-WEST - FH11;969126;;BL1115;969126;BUILDING template;Museumstraat 12-12A-12B-12C-12D-14-14A;Museumstraat;12;
ANTWERPEN-WEST - FH11;969127;;BL1115;969127;BUILDING template;;Museumstraat;16;
ANTWERPEN-WEST - FH11;969128;;BL1115;969128;BUILDING template;Museumstraat 18-20;Museumstraat;18;
ANTWERPEN-WEST - FH11;969130;;BL1115;969130;BUILDING template;;Vlaamsekaai;33;
ANTWERPEN-WEST - FH11;969131;;BL1115;969131;BUILDING template;;Vlaamsekaai;40;
ANTWERPEN-WEST - FH11;969132;;BL1115;969132;BUILDING template;Leopold de Waelplaats 20-22-24A-26;Leopold de Waelplaats;22;
ANTWERPEN-WEST - FH11;969134;;BL1115;969134;BUILDING template;De Burburestraat 43_Leopold de Waelplaats 26A-28-30;Leopold de Waelplaats;28;
ANTWERPEN-WEST - FH11;970500;;BL1114;970500;BUILDING template;;Verlatstraat;38;
ANTWERPEN-WEST - FH11;970502;;BL1114;970502;BUILDING template;;Verlatstraat;2;
ANTWERPEN-WEST - FH11;970503;;BL1113;970503;BUILDING template;Verlatstraat 23-25;Verlatstraat;23;
ANTWERPEN-WEST - FH11;970506;;BL1114;970506;BUILDING template;;Verlatstraat;12;
ANTWERPEN-WEST - FH11;970507;;BL1114;970507;BUILDING template;;Leopold de Waelplaats;4;
ANTWERPEN-WEST - FH11;970508;;BL1113;970508;BUILDING template;Graaf Van Egmontstraat 60_Leopold De Waelplaats 2_Verlatstraat 41;Leopold de Waelplaats;2;
ANTWERPEN-WEST - FH11;970509;;BL1114;970509;BUILDING template;;Vlaamsekaai;32;
ANTWERPEN-WEST - FH11;970510;;BL1114;970510;BUILDING template;;Vlaamsekaai;27;
ANTWERPEN-WEST - FH11;970514;;BL1114;970514;BUILDING template;;Museumstraat;1;
ANTWERPEN-WEST - FH11;970515;;BL1114;970515;BUILDING template;;Museumstraat;9;
ANTWERPEN-WEST - FH11;970516;;BL1114;970516;BUILDING template;;Museumstraat;13;
ANTWERPEN-WEST - FH11;970517;;BL1114;970517;BUILDING template;Museumstraat 11-11A-11B;Museumstraat;11;
ANTWERPEN-WEST - FH11;970875;;BL1111;970875;BUILDING template;;Timmerwerfstraat;33;
ANTWERPEN-WEST - FH11;970877;;BL1111;970877;BUILDING template;;Timmerwerfstraat;29;
ANTWERPEN-WEST - FH11;970880;;BL1111;970880;BUILDING template;;Timmerwerfstraat;21;
ANTWERPEN-WEST - FH11;970882;;BL1111;970882;BUILDING template;;Timmerwerfstraat;19;
ANTWERPEN-WEST - FH11;970884;;BL1111;970884;BUILDING template;;Timmerwerfstraat;17;
ANTWERPEN-WEST - FH11;970885;;BL1111;970885;BUILDING template;;Timmerwerfstraat;15;
ANTWERPEN-WEST - FH11;970887;;BL1111;970887;BUILDING template;;Timmerwerfstraat;13;
ANTWERPEN-WEST - FH11;970888;;BL1111;970888;BUILDING template;;Timmerwerfstraat;11;
ANTWERPEN-WEST - FH11;970892;;BL1111;970892;BUILDING template;;Timmerwerfstraat;1;
ANTWERPEN-WEST - FH11;970895;;BL1109;970895;BUILDING template;Cockerillkaai 20-23-24_Leuvenstraat 32_Wapenstraat 1;Wapenstraat;1;
ANTWERPEN-WEST - FH11;970898;;BL1110;970898;BUILDING template;Leuvenstraat 1-3-5-7-9;Leuvenstraat;1;
ANTWERPEN-WEST - FH11;970903;;BL1111;970903;BUILDING template;;Scheldestraat;36;
ANTWERPEN-WEST - FH11;970904;;BL1111;970904;BUILDING template;;Scheldestraat;34;
ANTWERPEN-WEST - FH11;970911;;BL1109;970911;BUILDING template;Cockerillkaai 20-23-24_Leuvenstraat 32_Wapenstraat 1;Cockerillkaai;23;
ANTWERPEN-WEST - FH11;970912;;BL1109;970912;BUILDING template;;Cockerillkaai;22;
ANTWERPEN-WEST - FH11;970913;;BL1109;970913;BUILDING template;;Cockerillkaai;18;
ANTWERPEN-WEST - FH11;970915;;BL1110;970915;BUILDING template;;Cockerillkaai;7;
ANTWERPEN-WEST - FH11;970918;;BL1111;970918;BUILDING template;;Cockerillkaai;4;
ANTWERPEN-WEST - FH11;970919;;BL1111;970919;BUILDING template;;Cockerillkaai;1;
ANTWERPEN-WEST - FH11;970927;;BL1110;970927;BUILDING template;;Waalsekaai;23;
ANTWERPEN-WEST - FH11;970929;;BL1111;970929;BUILDING template;;Waalsekaai;11;
ANTWERPEN-WEST - FH11;970930;;BL1111;970930;BUILDING template;Waalsekaai 2-3-4-5;Waalsekaai;2;
ANTWERPEN-WEST - FH11;971174;;BL1110;971174;BUILDING template;;Timmerwerfstraat;38;
ANTWERPEN-WEST - FH11;971791;;BL1113;971791;BUILDING template;;Verlatstraat;1;
ANTWERPEN-WEST - FH11;971792;;BL1113;971792;BUILDING template;Graaf Van Egmontstraat 60_Leopold De Waelplaats 2_Verlatstraat 41;Verlatstraat;41;
ANTWERPEN-WEST - FH11;971793;;BL1113;971793;BUILDING template;;Verlatstraat;21;
ANTWERPEN-WEST - FH11;971794;;BL1113;971794;BUILDING template;;Verlatstraat;27;
ANTWERPEN-WEST - FH11;971796;;BL1112;971796;BUILDING template;;Vorstermanstraat;1;
ANTWERPEN-WEST - FH11;971797;;BL1112;971797;BUILDING template;;Vorstermanstraat;11;
ANTWERPEN-WEST - FH11;971798;;BL1113;971798;BUILDING template;;Vorstermanstraat;20;
ANTWERPEN-WEST - FH11;971799;;BL1112;971799;BUILDING template;;Scheldestraat;38;
ANTWERPEN-WEST - FH11;971800;;BL1113;971800;BUILDING template;;Vlaamsekaai;17;
ANTWERPEN-WEST - FH11;971801;;BL1117;971801;BUILDING template;Gillisplaats 2_Verschansingstraat 52-54-56_Vlaamsekaai 63;Vlaamsekaai;63;
ANTWERPEN-WEST - FH11;971802;;BL1113;971802;BUILDING template;;Vlaamsekaai;26;
ANTWERPEN-WEST - FH11;971804;;BL1112;971804;BUILDING template;;Vlaamsekaai;6;
ANTWERPEN-WEST - FH11;971805;;BL1112;971805;BUILDING template;;Vlaamsekaai;1;
ANTWERPEN-WEST - FH11;971806;;BL1112;971806;BUILDING template;;Vlaamsekaai;7;
ANTWERPEN-WEST - FH11;971807;;BL1112;971807;BUILDING template;;Vlaamsekaai;9;
ANTWERPEN-WEST - FH11;971808;;BL1112;971808;BUILDING template;;Vlaamsekaai;11;
ANTWERPEN-WEST - FH11;971809;;BL1112;971809;BUILDING template;;Vlaamsekaai;12;
ANTWERPEN-WEST - FH11;971810;;BL1112;971810;BUILDING template;;Vlaamsekaai;16;
ANTWERPEN-WEST - FH11;971812;;BL1113;971812;BUILDING template;Graaf Van Egmontstraat 60_Leopold De Waelplaats 2_Verlatstraat 41;Graaf van Egmontstraat;60;
ANTWERPEN-WEST - FH11;971813;;BL1113;971813;BUILDING template;;Graaf van Egmontstraat;44;
ANTWERPEN-WEST - FH11;971814;;BL1112;971814;BUILDING template;;Graaf van Egmontstraat;2;
ANTWERPEN-WEST - FH11;971815;;BL1112;971815;BUILDING template;;Graaf van Egmontstraat;40;A
ANTWERPEN-WEST - FH11;971816;;BL1112;971816;BUILDING template;;Graaf van Egmontstraat;20;
ANTWERPEN-WEST - FH11;971817;;BL1112;971817;BUILDING template;;Graaf van Egmontstraat;18;
ANTWERPEN-WEST - FH11;971818;;BL1113;971818;BUILDING template;;Graaf van Egmontstraat;42;
ANTWERPEN-WEST - FH11;977578;;BL1118;977578;BUILDING template;;Gentplaats;1;
ANTWERPEN-WEST - FH11;977579;;BL1118;977579;BUILDING template;;Gentplaats;2;
ANTWERPEN-WEST - FH11;977580;;BL1118;977580;BUILDING template;;Gentplaats;3;
ANTWERPEN-WEST - FH11;977581;;BL1118;977581;BUILDING template;;Vlaamsekaai;81;
ANTWERPEN-WEST - FH11;977582;;BL1118;977582;BUILDING template;;Vlaamsekaai;74;
ANTWERPEN-WEST - FH11;977583;;BL1118;977583;BUILDING template;;Vlaamsekaai;64;
ANTWERPEN-WEST - FH11;977585;;BL1118;977585;BUILDING template;;Vlaamsekaai;75;
ANTWERPEN-WEST - FH11;977586;;BL1118;977586;BUILDING template;;Vlaamsekaai;90;
ANTWERPEN-WEST - FH11;977587;;BL1118;977587;BUILDING template;;Vlaamsekaai;77;
ANTWERPEN-WEST - FH11;977588;;BL1118;977588;BUILDING template;;Vlaamsekaai;80;
ANTWERPEN-WEST - FH11;977589;;BL1118;977589;BUILDING template;;Vlaamsekaai;84;
ANTWERPEN-WEST - FH11;977590;;BL1118;977590;BUILDING template;;Vlaamsekaai;89;
ANTWERPEN-WEST - FH11;977592;;BL1118;977592;BUILDING template;;Gijzelaarsstraat;2;
ANTWERPEN-WEST - FH11;977593;;BL1118;977593;BUILDING template;;Gijzelaarsstraat;58;
ANTWERPEN-WEST - FH11;977611;;BL1118;977611;BUILDING template;;Gillisplaats;7;
ANTWERPEN-WEST - FH11;977612;;BL1118;977612;BUILDING template;;Gillisplaats;8;
ANTWERPEN-WEST - FH11;977614;;BL1118;977614;BUILDING template;;Pacificatiestraat;15;
ANTWERPEN-WEST - FH11;977619;;BL1118;977619;BUILDING template;;Pacificatiestraat;9;
ANTWERPEN-WEST - FH11;977800;;BL1117;977800;BUILDING template;Gillisplaats 2_Verschansingstraat 52-54-56_Vlaamsekaai 63;Gillisplaats;2;
ANTWERPEN-WEST - FH11;977804;;BL1117;977804;BUILDING template;;Verschansingstraat;24;
ANTWERPEN-WEST - FH11;977806;;BL1116;977806;BUILDING template;;Verschansingstraat;18;
ANTWERPEN-WEST - FH11;977814;;BL1117;977814;BUILDING template;;Pourbusstraat;2;
ANTWERPEN-WEST - FH11;977815;;BL1116;977815;BUILDING template;;Pourbusstraat;1;
ANTWERPEN-WEST - FH11;977816;;BL1117;977816;BUILDING template;;Pourbusstraat;26;
ANTWERPEN-WEST - FH11;977817;;BL1116;977817;BUILDING template;;Pourbusstraat;25;
ANTWERPEN-WEST - FH11;977818;;BL1117;977818;BUILDING template;;Vlaamsekaai;62;
ANTWERPEN-WEST - FH11;977820;;BL1117;977820;BUILDING template;;Vlaamsekaai;52;
ANTWERPEN-WEST - FH11;977821;;BL1116;977821;BUILDING template;;Vlaamsekaai;50;
ANTWERPEN-WEST - FH11;977822;;BL1116;977822;BUILDING template;;Vlaamsekaai;42;
ANTWERPEN-WEST - FH11;977825;;BL1116;977825;BUILDING template;;De Burburestraat;20;
ANTWERPEN-WEST - FH11;977826;;BL1116;977826;BUILDING template;;De Burburestraat;22;
ANTWERPEN-WEST - FH11;977830;;BL1116;977830;BUILDING template;;Leopold de Waelplaats;32;
ANTWERPEN-WEST - FH11;990358;;BL1111;990358;BUILDING template;;Waalsekaai;7;
ANTWERPEN-WEST - FH11;1028407;;BL1119;1028407;BUILDING template;Jan van Gentstraat 5-7-9-11;Jan van Gentstraat;11;
ANTWERPEN-WEST - FH11;1101708;;BL1118;1101708;BUILDING template;;Pacificatiestraat;3;
ANTWERPEN-WEST - FH11;1101821;;BL1111;1101821;BUILDING template;Waalsekaai 2-3-4-5;Waalsekaai;4;
ANTWERPEN-WEST - FH11;1288309;;BL1107;1288309;BUILDING template;;IJzerenpoortkaai;2;
ANTWERPEN-WEST - FH11;1333345;;BL1113;1333345;BUILDING template;;Vorstermanstraat;14;
ANTWERPEN-WEST - FH11;1513866;;BL1118;1513866;BUILDING template;;Vlaamsekaai;67;
ANTWERPEN-WEST - FH11;1785489;;BL1116;1785489;BUILDING template;;De Burburestraat;4;A
ANTWERPEN-WEST - FH11;1785490;;BL1115;1785490;BUILDING template;;De Burburestraat;5;
ANTWERPEN-WEST - FH11;1785550;;BL1116;1785550;BUILDING template;;De Burburestraat;8;
ANTWERPEN-WEST - FH11;1800206;;BL1108;1800206;BUILDING template;Cockerillkaai 26-27-28-29-30-31_Luikstraat 1-3_Wapenstraat 6;Cockerillkaai;28;
ANTWERPEN-WEST - FH11;1800223;;BL1108;1800223;BUILDING template;Cockerillkaai 32-33-34-35_Luikstraat 2;Cockerillkaai;33;
ANTWERPEN-WEST - FH11;1800254;;BL1108;1800254;BUILDING template;Cockerillkaai 32-33-34-35_Luikstraat 2;Cockerillkaai;35;
ANTWERPEN-WEST - FH11;1857189;;BL1113;1857189;BUILDING template;;Graaf van Egmontstraat;42;A
ANTWERPEN-WEST - FH11;1892329;;BL1119;1892329;BUILDING template;;Jan van Gentstraat;31;
ANTWERPEN-WEST - FH11;1893516;;BL1105;1893516;BUILDING template;De Gerlachekaai 6-7-8;De Gerlachekaai;7;
ANTWERPEN-WEST - FH11;1899010;;BL1118;1899010;BUILDING template;;Gijzelaarsstraat;18;
ANTWERPEN-WEST - FH11;1899049;;BL1118;1899049;BUILDING template;;Gijzelaarsstraat;22;
ANTWERPEN-WEST - FH11;1899341;;BL1118;1899341;BUILDING template;;Gijzelaarsstraat;48;
ANTWERPEN-WEST - FH11;1990351;;BL1110;1990351;BUILDING template;Leuvenstraat 1-3-5-7-9;Leuvenstraat;9;
ANTWERPEN-WEST - FH11;2023816;;BL1114;2023816;BUILDING template;Museumstraat 11-11A-11B;Museumstraat;11;A
ANTWERPEN-WEST - FH11;2023819;;BL1114;2023819;BUILDING template;Museumstraat 11-11A-11B;Museumstraat;11;B
ANTWERPEN-WEST - FH11;2023829;;BL1115;2023829;BUILDING template;Museumstraat 12-12A-12B-12C-12D-14-14A;Museumstraat;12;A
ANTWERPEN-WEST - FH11;2023832;;BL1115;2023832;BUILDING template;Museumstraat 12-12A-12B-12C-12D-14-14A;Museumstraat;12;B
ANTWERPEN-WEST - FH11;2023837;;BL1115;2023837;BUILDING template;Museumstraat 12-12A-12B-12C-12D-14-14A;Museumstraat;12;C
ANTWERPEN-WEST - FH11;2023854;;BL1115;2023854;BUILDING template;Museumstraat 12-12A-12B-12C-12D-14-14A;Museumstraat;14;A
ANTWERPEN-WEST - FH11;2023855;;BL1115;2023855;BUILDING template;;Museumstraat;14;B
ANTWERPEN-WEST - FH11;2023912;;BL1114;2023912;BUILDING template;;Museumstraat;37;
ANTWERPEN-WEST - FH11;2023914;;BL1115;2023914;BUILDING template;Museumstraat 36-38-40;Museumstraat;38;
ANTWERPEN-WEST - FH11;2045448;;BL1117;2045448;BUILDING template;;Pourbusstraat;6;
ANTWERPEN-WEST - FH11;2045455;;BL1116;2045455;BUILDING template;;Pourbusstraat;15;
ANTWERPEN-WEST - FH11;2045457;;BL1116;2045457;BUILDING template;;Pourbusstraat;17;
ANTWERPEN-WEST - FH11;2045459;;BL1116;2045459;BUILDING template;;Pourbusstraat;19;
ANTWERPEN-WEST - FH11;2045460;;BL1116;2045460;BUILDING template;;Pourbusstraat;21;
ANTWERPEN-WEST - FH11;2045462;;BL1116;2045462;BUILDING template;;Pourbusstraat;23;
ANTWERPEN-WEST - FH11;2050239;;BL1102;2050239;BUILDING template;Schalienstraat 30-32-34;Schalienstraat;32;
ANTWERPEN-WEST - FH11;2056916;;BL1110;2056916;BUILDING template;;Timmerwerfstraat;4;
ANTWERPEN-WEST - FH11;2060103;;BL1114;2060103;BUILDING template;;Verlatstraat;4;
ANTWERPEN-WEST - FH11;2060107;;BL1114;2060107;BUILDING template;;Verlatstraat;14;
ANTWERPEN-WEST - FH11;2060127;;BL1114;2060127;BUILDING template;;Verlatstraat;36;
ANTWERPEN-WEST - FH11;2060277;;BL1116;2060277;BUILDING template;;Verschansingstraat;10;
ANTWERPEN-WEST - FH11;2060308;;BL1117;2060308;BUILDING template;Gillisplaats 2_Verschansingstraat 52-54-56_Vlaamsekaai 63;Verschansingstraat;52;
ANTWERPEN-WEST - FH11;2060968;;BL1112;2060968;BUILDING template;;Vlaamsekaai;3;
ANTWERPEN-WEST - FH11;2060969;;BL1112;2060969;BUILDING template;;Vlaamsekaai;5;
ANTWERPEN-WEST - FH11;2060976;;BL1113;2060976;BUILDING template;;Vlaamsekaai;23;
ANTWERPEN-WEST - FH11;2060979;;BL1114;2060979;BUILDING template;Vlaamsekaai 28-29-29A-30-31;Vlaamsekaai;29;
ANTWERPEN-WEST - FH11;2060980;;BL1114;2060980;BUILDING template;Vlaamsekaai 28-29-29A-30-31;Vlaamsekaai;29;A
ANTWERPEN-WEST - FH11;2060981;;BL1114;2060981;BUILDING template;Vlaamsekaai 28-29-29A-30-31;Vlaamsekaai;30;
ANTWERPEN-WEST - FH11;2060988;;BL1115;2060988;BUILDING template;;Vlaamsekaai;39;
