Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
MECHELEN - FH01;3029544;5;BL0012;3029544;BL0012;BUILDING template;Arme-Clarenstraat;15;
MECHELEN - FH01;3029547;5;BL0012;3029547;BL0012;BUILDING template;Arme-Clarenstraat;23;
MECHELEN - FH01;4091142;5;BL0012;4091142;BL0012;BUILDING template;Arme-Clarenstraat;25;
MECHELEN - FH01;4736819;5;BL0012;4736819;BL0012;BUILDING template;Arme-Clarenstraat;31;
MECHELEN - FH01;905709;5;BL0012;905709;BL0012;BUILDING template;Arme-Clarenstraat;33;
MECHELEN - FH01;3029549;5;BL0012;3029549;BL0012;BUILDING template;Arme-Clarenstraat;27;
MECHELEN - FH01;3029545;5;BL0012;3029545;BL0012;BUILDING template;Arme-Clarenstraat;17;
MECHELEN - FH01;4736818;5;BL0012;4736818;BL0012;BUILDING template;Arme-Clarenstraat;29;
MECHELEN - FH01;901199;2;BL0005;901199;BL0005;BUILDING template;Befferstraat;1;
MECHELEN - FH01;3030756;2;BL0005;3030756;BL0005;BUILDING template;Befferstraat;3;
MECHELEN - FH01;3030757;2;BL0005;3030757;BL0005;BUILDING template;Befferstraat;5;
MECHELEN - FH01;3030758;2;BL0005;3030758;BL0005;BUILDING template;Befferstraat;7;
MECHELEN - FH01;3030759;2;BL0005;3030759;BL0005;BUILDING template;Befferstraat;9;
MECHELEN - FH01;4751991;2;BL0005;4751991;BL0005;BUILDING template;Befferstraat;11;
MECHELEN - FH01;901426;2;BL0005;901426;BL0005;BUILDING template;Befferstraat;13;
MECHELEN - FH01;3030765;2;BL0005;3030765;BL0005;BUILDING template;Befferstraat;15;
MECHELEN - FH01;901200;2;BL0005;901200;BL0005;BUILDING template;Befferstraat;17;
MECHELEN - FH01;3030771;2;BL0005;3030771;BL0005;BUILDING template;Befferstraat;19;
MECHELEN - FH01;901428;2;BL0005;901428;BL0005;BUILDING template;Befferstraat;23;
MECHELEN - FH01;901429;2;BL0005;901429;BL0005;BUILDING template;Befferstraat;25;
MECHELEN - FH01;3030782;2;BL0005;3030782;BL0005;BUILDING template;Befferstraat;29;
MECHELEN - FH01;901425;2;BL0005;901425;BL0005;BUILDING template;Befferstraat;31;
MECHELEN - FH01;3030786;2;BL0005;3030786;BL0005;BUILDING template;Befferstraat;33;
MECHELEN - FH01;3030789;2;BL0005;3030789;BL0005;BUILDING template;Befferstraat;35;
MECHELEN - FH01;3030790;2;BL0005;3030790;BL0005;BUILDING template;Befferstraat;37;
MECHELEN - FH01;5426070;2;BL0005;5426070;BL0005;BUILDING template;Befferstraat;39;
MECHELEN - FH01;3030761;3;BL0020;3030761;BL0020;BUILDING template;Befferstraat;10;
MECHELEN - FH01;3030762;3;BL0020;3030762;BL0020;BUILDING template;Befferstraat;12;
MECHELEN - FH01;3030763;3;BL0020;3030763;BL0020;BUILDING template;Befferstraat;14;
MECHELEN - FH01;3030766;3;BL0020;3030766;BL0020;BUILDING template;Befferstraat;16;
MECHELEN - FH01;3030770;3;BL0020;3030770;BL0020;BUILDING template;Befferstraat;20;
MECHELEN - FH01;901423;3;BL0020;901423;BL0020;BUILDING template;Befferstraat;22;
MECHELEN - FH01;3030777;3;BL0020;3030777;BL0020;BUILDING template;Befferstraat;24;
MECHELEN - FH01;3030779;3;BL0020;3030779;BL0020;BUILDING template;Befferstraat;26;
MECHELEN - FH01;3030780;3;BL0020;3030780;BL0020;BUILDING template;Befferstraat;28;
MECHELEN - FH01;3030783;3;BL0020;3030783;BL0020;BUILDING template;Befferstraat;30;
MECHELEN - FH01;3030785;3;BL0020;3030785;BL0020;BUILDING template;Befferstraat;32;
MECHELEN - FH01;3030788;3;BL0020;3030788;BL0020;BUILDING template;Befferstraat;34;
MECHELEN - FH01;901424;3;BL0020;901424;BL0020;BUILDING template;Befferstraat;38;
MECHELEN - FH01;4744409;3;BL0020;4744409;BL0020;BUILDING template;Befferstraat;36;
MECHELEN - FH01;3030820;5;BL0010;3030820;BL0010;BUILDING template;Begijnenstraat;4;
MECHELEN - FH01;3030824;5;BL0010;3030824;BL0010;BUILDING template;Begijnenstraat;10;
MECHELEN - FH01;3030826;5;BL0010;3030826;BL0010;BUILDING template;Begijnenstraat;12;
MECHELEN - FH01;4238219;5;BL0010;4238219;BL0010;BUILDING template;Begijnenstraat;14;
MECHELEN - FH01;905283;5;BL0010;905283;BL0010;BUILDING template;Begijnenstraat;16;
MECHELEN - FH01;905287;5;BL0010;905287;BL0010;BUILDING template;Begijnenstraat;18;
MECHELEN - FH01;3030829;5;BL0010;3030829;BL0010;BUILDING template;Begijnenstraat;20;
MECHELEN - FH01;905288;5;BL0010;905288;BL0010;BUILDING template;Begijnenstraat;22;
