Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Perceel eigenschap;Building comment;Building exists;BG Name;Opdrachttemplate
ANTWERPEN-WEST - FH08;BL0007;1778750;Bredestraat;4;;;152323,868;211686,5;SDU;;0;1;0;1;N;MON;2;Monument;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0010;49185;Aalmoezenierstraat;46;;;152186,564;211551,445;MDU;;9;1;0;10;Y;NA;4;Beschermd Erfgoed;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0007;4511180;Happaertstraat;12;;;152262;211688;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0007;1778758;Bredestraat;6;;;152325,442;211675,248;SDU;;1;0;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0010;49186;Aalmoezenierstraat;70;;;152265,059;211559,316;SDU;;1;0;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0007;4511182;Happaertstraat;14;;;152267;211688;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0007;1778763;Bredestraat;8;;;152322,462;211669,697;MDU;;2;1;0;3;N;MON;4;Monument;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0010;49187;Aalmoezenierstraat;82;;;152294,91;211559,35;MDU;;2;0;0;2;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0007;4511185;Happaertstraat;16;;;152267;211688;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0007;1778770;Bredestraat;10;;;152322,373;211662,815;MDU;;2;0;0;2;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0010;49188;Aalmoezenierstraat;2;;;152085,02;211600,74;MDU;;4;0;0;4;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0007;4511188;Happaertstraat;18;;;152267;211688;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0007;1778796;Bredestraat;20;;;152319,146;211639,838;MDU;;3;0;0;3;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0010;49189;Aalmoezenierstraat;66;;;152227,177;211519,422;MDU;;15;0;0;15;Y;NA;4;Beschermd Erfgoed;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0007;4511190;Happaertstraat;20;;;152267;211688;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0008;1778813;Bredestraat;32;;;152311,759;211603,529;MDU;;2;0;0;2;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0009;49190;Aalmoezenierstraat;35;;;152167,98;211597,86;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0007;4511192;Happaertstraat;22;;;152267;211688;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0008;1778826;Bredestraat;34;;;152309,978;211598,392;MDU;;0;2;0;2;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0008;49191;Aalmoezenierstraat;39;;;152192,774;211598,069;MDU;;9;0;0;9;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0007;4511197;Happaertstraat;34;;;152304;211695;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0008;1778846;Bredestraat;42;;;152308,677;211585,309;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0008;49192;Aalmoezenierstraat;81;;;152297,855;211578,049;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0007;4511198;Happaertstraat;36;;;152309;211695;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0007;1934028;Happaertstraat;8;;;152234,455;211706,241;MDU;;4;0;0;4;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0009;49193;Schoytestraat;38;;;152186,761;211653,396;MDU;;6;0;0;6;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0006;4511199;Bogaardestraat;4;;;152196;211743;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0007;1934042;Happaertstraat;10;;;152262,338;211689,729;MDU;;25;0;0;25;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0008;49195;Schoytestraat;86;;;152310,047;211612,159;MDU;;0;3;0;3;Y;NA;4;Beschermd Erfgoed;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0006;4511200;Bogaardestraat;6;;;152201;211743;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0005;1934044;Happaertstraat;15;;;152263,367;211717,89;SDU;;1;0;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0008;49198;Bogaardestraat;49;;;152195,147;211610,223;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0006;4511202;Bogaardestraat;12;;;152191;211723;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0005;1934063;Happaertstraat;17;;;152268,373;211716,13;SDU;;1;0;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0008;49199;Bogaardestraat;33;;;152209,836;211647,82;SDU;;0;1;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0006;4511204;Bogaardestraat;16;;;152196;211715;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0005;1934079;Happaertstraat;19;;;152272,732;211716,334;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0008;49200;Bredestraat;46;;;152304,225;211577,432;MDU;;4;1;0;5;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0006;4511206;Bogaardestraat;20;;;152199;211703;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0005;1934084;Happaertstraat;21;;;152277,786;211714,579;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0008;49201;Bredestraat;30;;;152313,951;211607,638;SDU;;0;1;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0005;4511262;Happaertstraat;11;;;152252;211720;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0005;1934097;Happaertstraat;23;;;152282,744;211715,639;SDU;;1;0;0;1;N;MON;2;Monument;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0005;55301;Kleine Markt;8;;;152322,169;211732,461;SDU;;0;1;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0011;4518815;Kronenburgstraat;59;;;152226;211328;MDU;;5;0;0;5;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0005;1934120;Happaertstraat;25;;;152288,041;211715,501;MDU;;1;1;0;2;N;MON;4;Monument;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0005;55304;Kammenstraat;86;;;152314,499;211747,447;MDU;;4;1;0;5;Y;NA;4;Beschermd Erfgoed;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0011;4518821;Sint-Rochusstraat;34;;;152207;211358;MDU;;25;0;0;25;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0005;1934129;Happaertstraat;27;;;152295,467;211713,06;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0005;55305;Kammenstraat;80;;;152313,657;211764,941;SDU;;0;1;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0011;4518822;Sint-Rochusstraat;36;;;152222;211356;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0005;1934136;Happaertstraat;29;;;152300,803;211712,031;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0010;6083283;Sint-Rochusstraat;29;;;152143,323;211399,217;SDU;;0;1;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0011;4518823;Sint-Rochusstraat;38;;;152227;211356;MDU;;25;0;0;25;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0007;1934140;Happaertstraat;30;;;152294,836;211698,201;SDU;;1;0;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0006;60897;Nationalestraat;71;;;152108,974;211702,459;SDU;;0;1;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0011;4518824;Sint-Rochusstraat;40;;;152238;211358;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0005;1934145;Happaertstraat;31;;;152305,757;211709,658;MDU;;3;0;0;3;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0006;60898;Sint-Antoniusstraat;2;;;152125,089;211753,217;SDU;;0;1;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0003;48976;Theodoor Van Rijswijckplaats;6;;;152193;211846;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0007;1934194;Happaertstraat;32;;;152305,342;211696,162;MDU;;2;0;0;2;Y;NA;4;Beschermd Erfgoed;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0006;60899;Sint-Antoniusstraat;28;;;152202,892;211750,759;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0001;48978;Theodoor Van Rijswijckplaats;1;;;152174;211888;MDU;;6;0;0;6;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0002;1948472;IJzerenwaag;3;;;152199,608;211887,346;MDU;;1;1;0;2;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0005;60900;Sint-Antoniusstraat;64;;;152279,41;211754,034;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0003;48982;Nationalestraat;41;;;152148;211826;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0003;1948475;IJzerenwaag;6;;;152213,262;211868,516;MDU;;5;2;0;7;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0005;60901;Sint-Antoniusstraat;74;;;152303,366;211762,742;SDU;;1;0;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0004;48989;Sleutelstraat;18;;;152183;211799;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0003;1948483;IJzerenwaag;10;;;152220,175;211869,322;MDU;;3;1;0;4;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0006;60902;Bogaardestraat;2;;;152196,627;211743,139;MDU;;4;0;0;4;Y;NA;4;Beschermd Erfgoed;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0002;49000;Kammenstraat;48;;;152242;211887;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0003;1948493;IJzerenwaag;12;A;;152229,508;211868,4;SDU;;0;1;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0007;60907;Bogaardestraat;31;;;152212,082;211661,613;MDU;;4;0;0;4;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0001;49008;Kopstraatje;3;;;152187;211898;MDU;;4;0;0;4;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0002;1948497;IJzerenwaag;13;;;152220,375;211886,559;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0009;60908;Schoytestraat;2;;;152110,865;211681,343;MDU;;4;0;0;4;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0004;49013;Sint-Antoniusstraat;41;;;152243;211769;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0003;1948506;IJzerenwaag;14;;;152236,537;211869,207;MDU;;2;0;0;2;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0009;60910;Schoytestraat;14;;;152136,064;211669,067;SDU;;1;0;0;1;N;MON;2;Monument;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0003;49018;IJzerenwaag;18;;;152250;211876;MDU;;2;0;0;2;Y;NA;4;;;;;BUILDING template
