Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Perceel eigenschap;Building comment;Building exists;Opdrachttemplate
KNOKKE-HEIST - FH06;BL0602;1320279;Zeedijk-Albertstrand;501;;;73935;227083;MDU;;32;0;0;32;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0605;2764212;Jozef Nellenslaan;173;;;74221,811;227127,548;MDU;;13;0;0;13;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0608;1351483;Zeedijk-Knokke;604;;;74472;227476;SDU;;1;0;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0614;2764214;Jozef Nellenslaan;176;;;74452,549;227265,168;MDU;;14;0;0;14;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0604;1438861;Zeedijk-Albertstrand;520;;;74139;227181;MDU;;14;0;0;14;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0605;2764218;Jozef Nellenslaan;179;;;74266,168;227149,51;MDU;;16;0;0;16;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0614;1475884;Koningslaan;131;;;74482;227275;SDU;;1;0;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0605;2764220;Jozef Nellenslaan;181;;;74273,508;227156,847;MDU;;6;0;0;6;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0603;1519814;Zeedijk-Albertstrand;509;;;74034;227136;MDU;;3;0;0;3;N;MON;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0606;2764222;Jozef Nellenslaan;189;;;74315,135;227202,649;MDU;;9;0;0;9;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0601;2757656;Zeedijk-Albertstrand;483;;;73789;227017;MDU;;7;0;0;7;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0606;2764225;Jozef Nellenslaan;191;;;74323,821;227210,158;MDU;;8;0;0;8;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0601;2757657;Zeedijk-Albertstrand;486;;;73815;227029;MDU;;10;0;0;10;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0606;2764226;Jozef Nellenslaan;193;;;74329,593;227215,579;MDU;;20;0;0;20;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0601;2757666;Zeedijk-Albertstrand;496;;;73857;227048;MDU;;18;0;0;18;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0606;2764229;Jozef Nellenslaan;197;;;74342,355;227227,782;MDU;;12;0;0;12;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0601;2757667;Zeedijk-Albertstrand;497;;;73867;227052;MDU;;9;0;0;9;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0613;2764235;Jozef Nellenslaan;209;;;74410,31;227272,901;MDU;;6;1;0;7;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0602;2757670;Zeedijk-Albertstrand;504;;;73946;227090;MDU;;32;0;0;32;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0613;2764240;Jozef Nellenslaan;215;;;74425,67;227280,77;MDU;;3;0;0;3;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0602;2757672;Zeedijk-Albertstrand;506;;;73963;227096;SDU;;1;0;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0613;2764242;Jozef Nellenslaan;219;;;74434,812;227286,025;MDU;;13;0;0;13;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0604;2757680;Zeedijk-Albertstrand;512;;;74103;227163;MDU;;66;0;0;66;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0613;2764244;Jozef Nellenslaan;223;;;74449,812;227294,025;MDU;;14;0;0;14;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0604;2757682;Zeedijk-Albertstrand;513;;;74098;227163;MDU;;2;0;0;2;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0616;2765232;Paul Parmentierlaan;178;;;74593,55;227158,17;MDU;;5;0;0;5;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0604;2757685;Zeedijk-Albertstrand;517;;;74139;227181;MDU;;14;0;0;14;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0616;2765235;Paul Parmentierlaan;184;;;74613,665;227178,61;MDU;;5;0;0;5;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0604;2757686;Zeedijk-Albertstrand;518;;;74139;227181;MDU;;2;0;0;2;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0616;2765237;Paul Parmentierlaan;186;;;74595,55;227185,17;MDU;;5;0;0;5;Y;NA;4;;;;BUILDING template
