Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Perceel eigenschap;Building comment;Building exists;BG Name;Opdrachttemplate
KNOKKE-HEIST - FH03;BL0318;319356;Bayauxlaan;44;;;74384,551;227114,168;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0322;1451246;Koningslaan;186;;;74508,09;227084,62;MDU;;4;0;0;4;Y;NA;4;Beschermd Erfgoed;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0330;2763337;Lippenslaan;310;;;74808,028;227365,071;MDU;;6;1;0;7;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0318;319357;Bayauxlaan;42;;;74406,551;227119,168;MDU;;3;0;0;3;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0324;1454495;Lippenslaan;189;;;74707,552;226931,171;MDU;;5;1;0;6;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0329;2763339;Lippenslaan;311;;;74751,549;227306,171;MDU;;3;1;0;4;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0318;319359;Jozef Nellenslaan;156;;;74330,55;227172,168;SDU;;0;1;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0322;1455514;Paul Parmentierlaan;195;;;74555,151;227072,97;MDU;;11;0;0;11;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0330;2763343;Lippenslaan;314;;;74789,548;227377,171;SDU;;0;1;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0318;319360;Jozef Nellenslaan;158;;;74347,55;227191,168;MDU;;4;0;0;4;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0319;5573002;Bayauxlaan;73;;;74191,536;226986,909;MDU;;3;0;0;3;Y;NA;4;;;;;BUILDING template
