Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Building comment;Opdrachttemplate
KNOKKE-HEIST - FH04;BL0413;2767894;Zeewindstraat;5;;;75789,543;227876,178;MDU;;8;0;0;8;Y;NA;8;_;BUILDING template
KNOKKE-HEIST - FH04;BL0406;335108;Zandstraat;7;;;75202,153;227698,586;SDU;;0;1;0;1;Y;NA;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0413;2767895;Zeewindstraat;7;;;75791,543;227872,178;MDU;;7;0;1;8;Y;NA;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0406;335109;Zandstraat;15;;;75210,057;227676,958;MDU;;12;0;1;13;Y;NA;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0413;2767896;Zeewindstraat;11;;;75797;227862;MDU;;14;0;1;15;Y;NA;8;_;BUILDING template
KNOKKE-HEIST - FH04;;NB-8300349a07547;Kustlaan;349;;;75964,05;227906,05;SDU;;0;1;0;1;N;ORN;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0406;335110;Zandstraat;17;;;75209,91;227667,792;MDU;;7;0;1;8;N;IRREG;7;Review Required;BUILDING template
KNOKKE-HEIST - FH04;BL0413;2767898;Zeewindstraat;13;;;75796,543;227861,178;SDU;;0;1;0;1;Y;NA;8;_;BUILDING template
KNOKKE-HEIST - FH04;BL0406;335111;Duindistelstraat;18;;;75237,483;227683,438;SDU;;0;1;0;1;N;ORN;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0406;2767938;Zeedijk-Het Zoute;701;;;75194,723;227741,694;SDU;;0;1;0;1;Y;NA;9;_;BUILDING template
KNOKKE-HEIST - FH04;;NB-8300347222263;Kustlaan;347;;;75969,05;227906,05;SDU;;0;1;0;1;N;ORN;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0406;335112;Duindistelstraat;4;;;75249,117;227718,029;MDU;;6;0;0;6;Y;NA;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0406;2767941;Zeedijk-Het Zoute;702;;;75201,545;227745,174;MDU;;7;0;0;7;N;IRREG;8;_;BUILDING template
KNOKKE-HEIST - FH04;BL0406;335113;Duindistelstraat;2;;;75255,045;227737,635;MDU;;23;0;1;24;Y;NA;9;_;BUILDING template
KNOKKE-HEIST - FH04;BL0406;2767944;Zeedijk-Het Zoute;703;;;75211,62;227747,243;SDU;;0;1;0;1;N;IRREG;8;_;BUILDING template
KNOKKE-HEIST - FH04;BL0407;335114;Duindistelstraat;17;;;75265,918;227707,2;MDU;;6;0;0;6;Y;NA;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0406;2767945;Zeedijk-Het Zoute;704;;;75217,909;227749,409;MDU;;11;0;0;11;N;GLASS;2;_;BUILDING template
KNOKKE-HEIST - FH04;BL0407;335115;Duindistelstraat;1;;;75278,138;227746,755;MDU;;1;;;1;Y;NA;4;;BUILDING template
KNOKKE-HEIST - FH04;BL0406;2767948;Zeedijk-Het Zoute;706;;;75229,04;227752,565;MDU;;13;0;0;13;Y;NA;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0406;335116;Duindistelstraat;6;;;75245,74;227711,501;MDU;;11;0;1;12;Y;NA;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0406;2767951;Zeedijk-Het Zoute;709;;;75238,362;227755,797;SDU;;0;1;0;1;Y;NA;9;_;BUILDING template
KNOKKE-HEIST - FH04;BL0407;335118;Antoine Breartstraat;13;;;75314,569;227734,539;MDU;;15;0;1;16;Y;NA;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0406;2767953;Zeedijk-Het Zoute;711;;;75250,425;227759,406;MDU;;46;0;0;46;Y;NA;9;_;BUILDING template
KNOKKE-HEIST - FH04;BL0407;335119;Antoine Breartstraat;19;;;75303,177;227753,177;SDU;;0;1;0;1;Y;NA;9;_;BUILDING template
KNOKKE-HEIST - FH04;BL0406;2767956;Zeedijk-Het Zoute;712;;;75247,005;227757,839;SDU;;0;1;0;1;Y;NA;9;_;BUILDING template
KNOKKE-HEIST - FH04;BL0407;335120;Antoine Breartstraat;1;;;75329,667;227722,355;MDU;;27;0;0;27;Y;NA;4;;BUILDING template
KNOKKE-HEIST - FH04;BL0407;2767960;Zeedijk-Het Zoute;716;;;75281,309;227769,932;SDU;;0;1;0;1;Y;NA;9;_;BUILDING template
KNOKKE-HEIST - FH04;BL0408;335746;Zeedijk-Het Zoute;735;;;75366,852;227780,442;SDU;;0;1;0;1;Y;NA;9;_;BUILDING template
KNOKKE-HEIST - FH04;BL0408;2767964;Zeedijk-Het Zoute;721;;;75320,594;227776,222;SDU;;0;1;0;1;N;IRREG;4;_;BUILDING template
KNOKKE-HEIST - FH04;BL0407;335748;Kustlaan;97;;;75334,913;227714,101;SDU;;;1;;1;Y;NA;2;;BUILDING template
KNOKKE-HEIST - FH04;BL0408;2767965;Zeedijk-Het Zoute;722;;;75323,662;227776,952;MDU;;2;;;2;Y;NA;4;;BUILDING template
KNOKKE-HEIST - FH04;BL0408;335749;Kustlaan;127;;;75430,5;227719,568;SDU;;0;1;0;1;N;ORN;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0408;2767968;Zeedijk-Het Zoute;726;;;75338,198;227778,81;SDU;;1;;;1;Y;NA;2;;BUILDING template
KNOKKE-HEIST - FH04;BL0408;335751;Kustlaan;123;;;75417,688;227719,19;MDU;;10;1;1;12;Y;NA;7;_;BUILDING template
