Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Perceel eigenschap;Building comment;Building exists;BG Name;Opdrachttemplate;FT Distributie;FT Distributie Opmerking
KNOKKE-HEIST - FH10;BL1040;295428;Zeegrasstraat;21;;;72666,8;226336,44;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1051;2763513;Margrietenpad;6;;;73253,8;226376,98;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1039;295429;Van Hoenackerpad;5;;;72738,59;226311,52;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1004;1504176;Zeedijk-Duinbergen;399;;;72809;226743;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1051;2763514;Margrietenpad;8;;;73257,18;226383,68;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1040;295431;Van Hoenackerpad;8;;;72714,222;226299,005;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1016;2757769;Zeedijk-Albertstrand;432;;;73154;226763;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1051;2763515;Margrietenpad;10;;;73255,518;226398,489;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1040;295433;Van Hoenackerpad;10;;;72728,33;226284,14;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1016;2757770;Zeedijk-Albertstrand;433;;;73164;226757;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1044;2763735;Meeuwendreef;4;;;72816,233;226296,085;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1027;295435;Van Hoenackerpad;2;;;72663,87;226414,89;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1016;2757772;Zeedijk-Albertstrand;434;;;73183;226758;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1043;2763736;Meeuwendreef;7;;;72791,95;226276,75;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1027;295436;Van Hoenackerpad;6;;;72670,862;226380,933;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1016;2757777;Zeedijk-Albertstrand;439;;;73222;226779;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1043;2763737;Meeuwendreef;9;;;72778,37;226291,92;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1039;295437;Van Hoenackerpad;7;;;72748,05;226297,31;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1016;2757778;Zeedijk-Albertstrand;440;;;73231;226781;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1039;2763739;Meeuwendreef;13;;;72744,8;226342,26;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1029;295438;Meeuwendreef;14;;;72765,32;226369,314;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1016;2757781;Zeedijk-Albertstrand;441;;;73237;226783;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1010;2763816;Mimosastraat;3;;;72640,239;226567,297;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1029;295439;Meeuwendreef;10;;;72782,354;226346,426;SDU;;1;0;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1016;2757782;Zeedijk-Albertstrand;442;;;73248;226788;SDU;;1;0;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1010;2763819;Mimosastraat;9;;;72621,557;226552,155;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1044;295440;Meeuwendreef;8;;;72789,209;226325,918;MDU;;3;0;0;3;N;MON;4;Monument;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1016;2757783;Zeedijk-Albertstrand;443;;;73261;226792;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1036;2764245;Jozef Nellenslaan;2;;;73016,657;226471,744;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1043;295442;Meeuwendreef;3;;;72808,55;226261,39;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1016;2757785;Zeedijk-Albertstrand;444;;;73274;226799;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1020;2764247;Jozef Nellenslaan;11;;;73064,405;226541,433;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1028;295443;Meeuwendreef;17;;;72718,766;226421,202;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1002;2758986;Zeedijk-Duinbergen;304;;;72437;226558;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1033;2764248;Jozef Nellenslaan;16;;;73143,648;226602,664;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1028;295444;Meeuwendreef;15;;;72724,131;226388,648;MDU;;4;0;0;4;Y;NA;4;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1002;2758989;Zeedijk-Duinbergen;307;;;72447;226570;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1017;2764250;Jozef Nellenslaan;28;;;73224,555;226703,159;MDU;;3;0;0;3;Y;NA;4;;;;;BUILDING template;;
