Projectnummer;Blok;Straat;Huisnummer;Huisnummer Toevoeging;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Opdrachttemplate
ANTWERPEN-WEST - FH07;BL0714;Pompstraat;11;;152037,8787;211762,7114;MDU;D;5;0;0;5;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0718;Nationalestraat;110;;152052,0288;211595,9012;MDU;D;6;1;0;7;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0707;Kammenstraat;18;;152182,0687;212023,5596;MDU;;0;6;0;6;N;ORN;6;BUILDING template
ANTWERPEN-WEST - FH07;BL0714;Pompstraat;13;;152036,5983;211757,6122;MDU;D;4;0;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0718;Nationalestraat;112;;152050,3289;211590,7492;MDU;D;3;1;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0707;Kammenstraat;24;;152182,821;212002,3651;MDU;D;3;0;0;3;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0714;Pompstraat;15;;152029,0045;211756,7928;MDU;D;4;0;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0718;Nationalestraat;114;;152048,188;211585,1358;MDU;D;4;1;0;5;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0709;Korte Riddersstraat;15;4;152060,1627;211945,699;SDU;;1;0;0;1;N;IRREG;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0703;Bergstraat;2;;152148,6454;212064,5218;SDU;;1;0;0;1;N;ORN;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0707;Steenhouwersvest;55;;152135,11;211997,644;SDU;;0;1;0;1;N;IRREG;7;BUILDING template
ANTWERPEN-WEST - FH07;BL0714;Pompstraat;17;;152028,2172;211752,6575;SDU;;1;0;0;1;Y;NA;1;BUILDING template
ANTWERPEN-WEST - FH07;BL0718;Sint-Andriesplaats;18;;151972,5825;211660,7443;MDU;D;5;0;0;5;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0709;Korte Riddersstraat;23;2;152057,1086;211898,7776;SDU;;1;0;0;1;N;ORN;2;BUILDING template
ANTWERPEN-WEST - FH07;BL0707;Steenhouwersvest;57;;152148,1911;211997,4544;MDU;D;2;1;0;3;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0714;Pompstraat;19;;152026,5039;211749,6199;MDU;D;7;0;0;7;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0718;Sint-Andriesplaats;19;;151967,7915;211652,0432;MDU;D;5;0;0;5;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0709;Korte Riddersstraat;23;4;152034,9485;211907,467;SDU;;1;0;0;1;N;ORN;2;BUILDING template
ANTWERPEN-WEST - FH07;BL0703;Bergstraat;4;;152153,7128;212063,6872;SDU;;1;0;0;1;N;ORN;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0707;Steenhouwersvest;59;;152156,9749;211997,1384;MDU;D;3;1;0;4;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0714;Pompstraat;21;;152024,3567;211745,3817;MDU;D;3;0;0;3;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0718;Sint-Andriesplaats;20;;151963,667;211647,9184;MDU;D;3;0;0;3;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0709;Korte Riddersstraat;23;5;152055,676;211883,8327;SDU;;1;0;0;1;N;ORN;2;BUILDING template
ANTWERPEN-WEST - FH07;BL0703;Bergstraat;6;;152157,111;212063,091;MDU;;4;0;0;4;N;ORN;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0707;Steenhouwersvest;63;;152177,0704;211996,6961;MDU;D;3;1;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0714;Sint-Andriesstraat;24;;152053,5685;211777,5192;SDU;;1;0;0;1;N;ORN;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0718;Sint-Andriesplaats;21;;151960,5943;211640,1172;SDU;;1;0;0;1;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0709;Korte Riddersstraat;23;6;152057,635;211888,7618;SDU;;1;0;0;1;N;ORN;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0703;Bergstraat;8;;152161,94;212061,1833;SDU;;1;0;0;1;N;ORN;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0707;Steenhouwersvest;65;;152185,1592;211995,8114;MDU;D;3;1;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0714;Sint-Andriesstraat;26;;152058,4557;211775,2463;SDU;;0;1;0;1;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0718;Steenbergstraat;2;;151976,7908;211665,8965;SDU;;0;1;0;1;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0703;Bergstraat;18;;152186,4427;212055,937;MDU;D;3;1;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0703;Bergstraat;10;;152166,3517;212059,9313;SDU;;1;0;0;1;N;ORN;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0707;Vrijdagmarkt;9;;152134,9205;212032,7163;MDU;D;1;1;0;2;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0714;Sint-Andriesstraat;28;;152061,878;211772,2801;MDU;D;3;0;0;3;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0718;Steenbergstraat;4;;151980,3746;211655,7927;SDU;;0;1;0;1;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0703;Bergstraat;12;;152171,7029;212058,2034;SDU;;1;0;0;1;N;ORN;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0714;Sint-Andriesstraat;30;;152067,1807;211771,4926;SDU;;1;0;0;1;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0718;Steenbergstraat;6;;151985,6435;211656,0864;MDU;D;5;0;0;5;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0721;Van Craesbeeckstraat;9;B;151982;211515;MDU;D;4;0;2;6;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0703;Gierstraat;1;;152143,2202;212053,0753;MDU;D;3;1;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0714;Sint-Andriesstraat;32;;152071,9293;211768,5011;SDU;;1;0;0;1;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0719;Kloosterstraat;83;;151812,1433;211674,0519;MDU;D;1;1;0;2;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0718;Steenbergstraat;8;;151990,8567;211653,6821;MDU;D;3;1;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0703;Gierstraat;3;;152149,003;212052,4195;MDU;D;2;1;0;3;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0714;Sint-Andriesstraat;34;;152079,3645;211763,8748;MDU;D;8;0;0;8;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0719;Korte Vlierstraat;6;;151814,2333;211655,1705;MDU;XC;11;2;2;15;N;ORN;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0718;Steenbergstraat;10;;151994,6309;211650,6558;MDU;D;3;1;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0703;Gierstraat;5;;152155,561;212050,0944;SDU;;1;0;0;1;Y;NA;3;BUILDING template
