LAM MK;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor
3484789;1;2124236;;LU;1;;;;
3484796;1;2119950;;BU;1;;;;
3484798;4;10643157;;LU;1;;;;
3484798;5;10643158;;LU;1;;;;
3484798;6;10643160;;LU;1;;;;
3485028;1;2105558;;BU;1;;;;
3485043;1;2111496;;LU;1;;;;
3485043;2;2111497;;LU;1;;;;
3485043;3;2111498;;LU;1;;;;
3485044;1;2112097;;LU;1;;;;
3485044;2;11093939;;LU;1;;;;
3485045;1;2112698;;LU;1;;;;
3485046;1;2115394;;LU;1;;;;
3486863;1;2094220;;BU;1;;;;
3486863;2;11093879;;SU;1;;;;
3486866;1;2101377;;LU;1;;;;
3486867;1;2102350;;BU;1;;;;
3486868;1;2104741;;BU;1;;;;
3486868;2;11093880;;SU;1;;;;
3486870;1;2105931;;BU;1;;;;
3486944;1;2120115;;LU;1;;;;
3486946;1;2098051;;LU;1;;;;
3486947;1;2103409;;LU;1;;;;
3486947;2;11093885;;BU;1;;;;
3486949;1;2107271;;LU;1;;;;
3486950;1;2110025;;LU;1;;;;
3486953;1;2111874;;LU;1;;;;
3486954;1;2112492;;LU;1;;;;
3486955;1;2112830;;LU;1;;;;
3486955;2;2112833;;LU;1;;;;
3486955;3;2112836;;LU;1;;;;
3486956;1;2115462;;LU;1;;;;
3486956;2;11093886;;BU;1;;;;
3487255;1;2110763;;BU;1;;;;
3487255;2;2110764;;BU;1;;;;
3487255;3;11194623;;BU;1;;;;
3487257;1;2114372;;LU;1;;;;
3487258;3;10642261;3851022;LU;1;1;;;0
3487258;4;10642262;3851023;LU;1;2;;;1
3487259;1;10643010;3850658;BU;1;6;;;0
3487261;1;2122510;;LU;1;;;;
3487261;2;2122511;;LU;1;;;;
3487261;3;2122512;;LU;1;;;;
3487261;4;11194571;;LU;1;;;;
3487262;1;11093241;;LU;1;;;;
3487262;2;11093242;;LU;1;;;;
3487263;1;2126528;;LU;1;;;;
3487264;1;2095040;;BU;1;;;;
3487264;2;11093914;;SU;1;;;;
3487264;3;11093915;;SU;1;;;;
3487265;1;2098052;;BU;1;;;;
3487267;1;2101373;;SU;1;;;;
3487267;2;11093922;;BU;1;;;;
3487269;1;2103267;;LU;1;;;;
3487270;1;2104169;;LU;1;;;;
3487271;1;2104738;;LU;1;;;;
3487272;1;2106057;;LU;1;;;;
3487274;1;2106604;3851036;LU;1;1;;;0
3487275;1;2107270;;BU;1;;;;
3487276;1;2108290;;BU;1;;;;
3487277;1;2108615;;LU;1;;;;
3487278;1;2111226;;LU;1;;;;
3487280;1;2112668;;BU;1;;;;
3487282;1;2113812;;BU;1;;;;
3487282;2;11093917;;SU;1;;;;
3487283;1;2115367;;LU;1;;;;
3487287;1;11194340;;LU;1;;;;
3487288;1;2094891;;BU;1;;;;
3487554;1;2110782;;LU;1;;;;
3487554;2;2110783;;LU;1;;;;
3487554;3;2110784;;LU;1;;;;
3487554;4;11194572;;SU;1;;;;
3487555;1;2114256;;LU;1;;;;
3487555;2;11094149;;LU;1;;;;
3487555;3;11094150;;LU;1;;;;
3487555;4;11094151;;LU;1;;;;
3487555;5;11094152;;LU;1;;;;
3487555;6;11094153;;LU;1;;;;
3487555;7;11094154;;LU;1;;;;
3487555;8;11194626;;SU;1;;;;
3487556;3;2117292;;LU;1;;;;
3487556;4;10642692;;LU;1;;;;
3487556;5;10642693;;LU;1;;;;
3487556;6;10642694;;LU;1;;;;
3487556;7;10642695;;LU;1;;;;
3487556;8;11194574;;SU;1;;;;
3487558;1;2119978;;LU;1;;;;
3487558;2;11094155;;SU;1;;;;
3487559;1;2126324;;LU;1;;;;
3487560;1;11093258;;LU;1;;;;
3487560;2;11093259;;LU;1;;;;
3487560;3;11093260;;LU;1;;;;
3487562;1;2100317;;LU;1;;;;
3487562;2;11093932;;BU;1;;;;
3487564;1;2101388;;LU;1;;;;
3487565;1;2103847;;LU;1;;;;
3487565;2;2103849;;LU;1;;;;
3487565;3;2103856;;LU;1;;;;
3487565;4;2103858;;LU;1;;;;
3487565;5;2103862;;LU;1;;;;
3487565;6;2103863;;LU;1;;;;
3487568;1;11093130;;BU;1;;;;
3487574;1;2112405;;LU;1;;;;
3487576;1;2112991;;LU;1;;;;
3487578;1;11093053;;LU;1;;;;
3487581;1;2115114;;LU;1;;;;
3487582;1;2115625;;LU;1;;;;
3487584;1;2116082;;LU;1;;;;
3487587;1;2116537;;LU;1;;;;
3487589;1;2117615;;LU;1;;;;
3487590;1;2118135;;LU;1;;;;
3487592;1;2118618;;LU;1;;;;
3487593;1;2119479;;LU;1;;;;
3487594;1;2120304;;LU;1;;;;
3487596;1;2120717;;LU;1;;;;
3487599;1;2121215;;LU;1;;;;
3487600;1;2121613;;LU;1;;;;
3487600;2;2121614;;LU;1;;;;
3487600;3;2121615;;LU;1;;;;
3487600;4;2121616;;LU;1;;;;
3487604;1;2122792;;BU;1;;;;
3493375;1;2122526;;BU;1;;;;
3493390;1;2096503;;LU;1;;;;
3493393;1;2099123;;LU;1;;;;
3493393;2;2099124;;LU;1;;;;
3493393;3;2099125;;LU;1;;;;
3493420;1;2103288;;BU;1;;;;
3493423;1;2104750;;LU;1;;;;
3493426;1;2105958;;LU;1;;;;
3493429;1;2106624;;LU;1;;;;
3493433;1;2107177;;LU;1;;;;
3493436;1;2107702;;LU;1;;;;
3493437;1;2108205;;LU;1;;;;
3493438;1;2108637;;BU;1;;;;
3493439;1;2109107;;LU;1;;;;
3493440;1;2109537;;LU;1;;;;
3493441;1;2109922;;LU;1;;;;
3493442;1;2110269;;LU;1;;;;
3493443;1;2111795;;LU;1;;;;
3493446;1;2113265;;LU;1;;;;
3493448;1;2114818;;LU;1;;;;
3493452;1;2115376;;LU;1;;;;
3493455;1;2115626;;LU;1;;;;
3493458;1;2115827;;LU;1;;;;
3493459;1;2116306;;LU;1;;;;
3493461;1;2116917;;LU;1;;;;
3493465;1;2118136;;LU;1;;;;
3493465;2;11093308;;BU;1;;;;
3493470;1;2118384;;LU;1;;;;
3493474;1;2118619;;LU;1;;;;
3493478;1;2118847;;LU;1;;;;
3493481;1;2119056;;LU;1;;;;
3493484;1;2119480;;LU;1;;;;
3493488;1;2120305;;LU;1;;;;
3493492;1;2120488;;LU;1;;;;
3493496;1;2121216;;LU;1;;;;
3493501;1;2121390;;LU;1;;;;
3493507;1;2121981;;LU;1;;;;
3493508;1;2123197;;LU;1;;;;
3493511;1;2123541;;BU;1;;;;
3493511;2;11093310;;BU;1;;;;
3493511;3;11093311;;BU;1;;;;
3493511;4;11093312;;BU;1;;;;
3493512;1;2123846;;LU;1;;;;
3493515;1;2124151;;LU;1;;;;
3494035;1;11093228;;BU;1;;;;
3494040;1;2122533;;BU;1;;;;
3494040;2;11093315;;SU;1;;;;
3494046;1;2124425;;BU;1;;;;
3494051;1;2094619;;BU;1;;;;
3494054;1;2097708;;BU;1;;;;
3494055;1;11194365;;LU;1;;;;
3494056;1;2100112;;BU;1;;;;
3494057;1;2102165;;BU;1;;;;
3494059;1;2103872;;BU;1;;;;
3494063;1;2105761;;BU;1;;;;
3494066;1;2107008;;BU;1;;;;
3494072;1;2111641;;LU;1;;;;
3494075;1;2112254;;LU;1;;;;
3494077;1;2112821;;LU;1;;;;
3494078;1;2113405;;LU;1;;;;
3494078;2;11194405;;LU;1;;;;
3494078;3;11194406;;LU;1;;;;
3494078;4;11194407;;LU;1;;;;
3494078;5;11194408;;LU;1;;;;
3494078;6;11194409;;LU;1;;;;
3494079;1;2114414;;LU;1;;;;
3494081;1;2114983;;LU;1;;;;
3494082;1;2115959;;LU;1;;;;
3494086;1;2116408;;LU;1;;;;
3494089;1;2117504;;LU;1;;;;
3494090;1;2118013;;LU;1;;;;
3494092;1;2118469;;LU;1;;;;
3494095;1;2120186;;LU;1;;;;
3494096;1;2120586;;LU;1;;;;
3494096;2;11194411;;SU;1;;;;
3494097;1;2121112;;LU;1;;;;
3494100;1;2121499;;LU;1;;;;
3494102;1;2121888;;LU;1;;;;
3494103;1;2122687;;LU;1;;;;
3494104;1;2123087;;LU;1;;;;
3494105;1;2123445;;LU;1;;;;
3494111;1;2123770;;LU;1;;;;
3494114;1;2124821;;LU;1;;;;
3494114;2;11194412;;SU;1;;;;
3494118;1;2125125;;LU;1;;;;
3494120;1;2125444;;LU;1;;;;
3494123;1;2125771;;LU;1;;;;
3494127;1;2126048;;LU;1;;;;
3494132;1;2126734;;LU;1;;;;
3494135;1;2127005;;LU;1;;;;
3494138;2;10643948;;LU;1;;;;
3494142;1;2127514;;LU;1;;;;
3494145;1;2095508;;BU;1;;;;
3494145;2;11093317;;SU;1;;;;
3494149;1;2095720;;BU;1;;;;
3494152;1;2095923;;BU;1;;;;
3494156;1;2096119;;BU;1;;;;
3494159;1;2096713;;BU;1;;;;
3494162;1;2097444;;LU;1;;;;
3494162;2;2097454;;LU;1;;;;
3494162;3;10643374;;LU;1;;;;
3494162;4;10643684;;SU;1;;;;
3494167;1;2101804;;LU;1;;;;
3494173;1;2102026;;LU;1;;;;
3494175;1;2102592;;LU;1;;;;
3494179;1;2102708;;LU;1;;;;
3494182;1;2102980;;LU;1;;;;
3494186;1;2103431;;BU;1;;;;
3494189;1;2103536;;BU;1;;;;
3494191;1;2103696;;BU;1;;;;
3494194;1;2103779;;LU;1;;;;
3494194;2;11194585;;SU;1;;;;
3494200;1;2104192;;LU;1;;;;
