OpdrachtID,Projectnummer,Opdrachttemplate,Opdrachtnummer,"Opdrachtnummer extern",Straat,Huisnummer,"Huisnummer Toevoeging","SSV Action","SSV Action LU",Nature,"Building exists"
7948,"LEUVEN - FH03","BUILDING template",4783076,,Sint-Maartenstraat,21,,,,,
7949,"LEUVEN - FH03","BUILDING template",4783078,,Sint-Maartenstraat,23,,,,,
7950,"LEUVEN - FH03","BUILDING template",3044868,,Sint-Maartenstraat,25,,,,,
7951,"LEUVEN - FH03","BUILDING template",3044872,,Sint-Maartenstraat,27,,,,,
7952,"LEUVEN - FH03","BUILDING template",4783079,,Sint-Maartenstraat,29,,,,,
7953,"LEUVEN - FH03","BUILDING template",174299,,Sint-Maartenstraat,31,,,,,
7954,"LEUVEN - FH03","BUILDING template",3044870,,Sint-Maartenstraat,25,A,,,,
7955,"LEUVEN - FH03","BUILDING template",182288,,"Vital Decosterstraat",26,,,,,
7956,"LEUVEN - FH03","BUILDING template",182287,,"Vital Decosterstraat",28,,,,,
7957,"LEUVEN - FH03","BUILDING template",1097878,,"Vital Decosterstraat",30,,,,,
7958,"LEUVEN - FH03","BUILDING template",1291109,,"Vital Decosterstraat",42,,,,,
7959,"LEUVEN - FH03","BUILDING template",3014401,,"Vital Decosterstraat",44,,,,,
7960,"LEUVEN - FH03","BUILDING template",1190401,,"Vital Decosterstraat",46,,,,,
7961,"LEUVEN - FH03","BUILDING template",3014408,,"Vital Decosterstraat",48,,,,,
7962,"LEUVEN - FH03","(L/B/S)U template",1933412,,Diestsestraat,79,,,,BU,
7963,"LEUVEN - FH03","(L/B/S)U template",1934695,,Diestsestraat,81,,,,BU,
7965,"LEUVEN - FH03","(L/B/S)U template",10524972,,Diestsestraat,85,,,,BU,
7966,"LEUVEN - FH03","(L/B/S)U template",1935667,,Diestsestraat,87,,,,BU,
7967,"LEUVEN - FH03","(L/B/S)U template",1936082,,Diestsestraat,89,,,,BU,
7973,"LEUVEN - FH03","(L/B/S)U template",1937837,,Diestsestraat,93,,,,BU,
7975,"LEUVEN - FH03","(L/B/S)U template",1938189,,Diestsestraat,95,,,,BU,
7978,"LEUVEN - FH03","(L/B/S)U template",1938523,,Diestsestraat,97,,,,BU,
7980,"LEUVEN - FH03","(L/B/S)U template",1883575,,Diestsestraat,101,,,,BU,
7984,"LEUVEN - FH03","(L/B/S)U template",1905882,,Rijschoolstraat,26,,,,LU,
7985,"LEUVEN - FH03","(L/B/S)U template",1881146,,Sint-Maartenstraat,1,,,,LU,
7993,"LEUVEN - FH03","(L/B/S)U template",10916845,,Sint-Maartenstraat,3,,,,SU,
7994,"LEUVEN - FH03","(L/B/S)U template",10916846,,Sint-Maartenstraat,5,,,,SU,
8007,"LEUVEN - FH03","(L/B/S)U template",1894972,,Sint-Maartenstraat,17,,,,LU,
8008,"LEUVEN - FH03","(L/B/S)U template",1894973,,Sint-Maartenstraat,17,,,,LU,
8009,"LEUVEN - FH03","(L/B/S)U template",1894974,,Sint-Maartenstraat,17,,,,LU,
8011,"LEUVEN - FH03","(L/B/S)U template",1897420,,Sint-Maartenstraat,19,,,,BU,
8013,"LEUVEN - FH03","(L/B/S)U template",1901029,,Sint-Maartenstraat,21,,,,BU,
8015,"LEUVEN - FH03","(L/B/S)U template",1902970,,Sint-Maartenstraat,23,,,,BU,
8016,"LEUVEN - FH03","(L/B/S)U template",1904991,,Sint-Maartenstraat,25,,,,BU,
8017,"LEUVEN - FH03","(L/B/S)U template",1906517,,Sint-Maartenstraat,27,,,,LU,
8018,"LEUVEN - FH03","(L/B/S)U template",10916861,,Sint-Maartenstraat,29,,,,LU,
8019,"LEUVEN - FH03","(L/B/S)U template",1911052,,Sint-Maartenstraat,31,,,,BU,
8020,"LEUVEN - FH03","(L/B/S)U template",1904992,,Sint-Maartenstraat,25,A,,,LU,
8021,"LEUVEN - FH03","(L/B/S)U template",1904993,,Sint-Maartenstraat,25,A,,,LU,
8022,"LEUVEN - FH03","(L/B/S)U template",1904994,,Sint-Maartenstraat,25,A,,,LU,
8023,"LEUVEN - FH03","(L/B/S)U template",10917587,,Sint-Maartenstraat,25,A,,,BU,
8024,"LEUVEN - FH03","(L/B/S)U template",1905889,,"Vital Decosterstraat",26,,,,BU,
8025,"LEUVEN - FH03","(L/B/S)U template",1907212,,"Vital Decosterstraat",28,,,,BU,
8027,"LEUVEN - FH03","(L/B/S)U template",1910283,,"Vital Decosterstraat",30,,,,LU,
8028,"LEUVEN - FH03","(L/B/S)U template",1918150,,"Vital Decosterstraat",42,,,,BU,
8042,"LEUVEN - FH03","(L/B/S)U template",10916891,,"Vital Decosterstraat",44,,,,SU,
8043,"LEUVEN - FH03","(L/B/S)U template",1919698,,"Vital Decosterstraat",46,,,,LU,
8044,"LEUVEN - FH03","(L/B/S)U template",1919706,,"Vital Decosterstraat",46,,,,LU,
8045,"LEUVEN - FH03","(L/B/S)U template",1919715,,"Vital Decosterstraat",46,,,,LU,
8046,"LEUVEN - FH03","(L/B/S)U template",1919722,,"Vital Decosterstraat",46,,,,LU,
8047,"LEUVEN - FH03","(L/B/S)U template",1919725,,"Vital Decosterstraat",46,,,,BU,
8049,"LEUVEN - FH03","(L/B/S)U template",10917691,,"Vital Decosterstraat",46,,,,BU,
8050,"LEUVEN - FH03","(L/B/S)U template",10917692,,"Vital Decosterstraat",46,,,,SU,
8051,"LEUVEN - FH03","(L/B/S)U template",1920537,,"Vital Decosterstraat",48,,,,LU,
8052,"LEUVEN - FH03","(L/B/S)U template",1920575,,"Vital Decosterstraat",48,,,,LU,
8053,"LEUVEN - FH03","(L/B/S)U template",1920601,,"Vital Decosterstraat",48,,,,LU,
8054,"LEUVEN - FH03","(L/B/S)U template",1920610,,"Vital Decosterstraat",48,,,,LU,
8055,"LEUVEN - FH03","(L/B/S)U template",1920612,,"Vital Decosterstraat",48,,,,LU,
8057,"LEUVEN - FH03","BUILDING template",1190288,,Bondgenotenlaan,33,,,,,
8058,"LEUVEN - FH03","BUILDING template",5400,,Bondgenotenlaan,35,,,,,
8059,"LEUVEN - FH03","BUILDING template",3010779,,Bondgenotenlaan,37,,,,,
8060,"LEUVEN - FH03","BUILDING template",4791807,,Bondgenotenlaan,41,,,,,
8061,"LEUVEN - FH03","BUILDING template",3010782,,Bondgenotenlaan,43,,,,,
8062,"LEUVEN - FH03","BUILDING template",3010784,,Bondgenotenlaan,45,,,,,
8063,"LEUVEN - FH03","BUILDING template",1190289,,Bondgenotenlaan,47,,,,,
8064,"LEUVEN - FH03","BUILDING template",1190291,,Bondgenotenlaan,49,,,,,
8065,"LEUVEN - FH03","BUILDING template",378445,,Bondgenotenlaan,51,,,,,
8066,"LEUVEN - FH03","BUILDING template",378447,,Bondgenotenlaan,55,,,,,
8067,"LEUVEN - FH03","BUILDING template",3010793,,Bondgenotenlaan,57,,,,,
8068,"LEUVEN - FH03","BUILDING template",3010795,,Bondgenotenlaan,59,,,,,
8069,"LEUVEN - FH03","BUILDING template",1097861,,Diestsestraat,56,,,,,
8070,"LEUVEN - FH03","BUILDING template",3014881,,Diestsestraat,58,,,,,
8071,"LEUVEN - FH03","BUILDING template",3014882,,Diestsestraat,60,,,,,
8072,"LEUVEN - FH03","BUILDING template",4803999,,Diestsestraat,62,,,,,
8073,"LEUVEN - FH03","BUILDING template",3014889,,Diestsestraat,64,,,,,
8074,"LEUVEN - FH03","BUILDING template",3014891,,Diestsestraat,66,,,,,
8075,"LEUVEN - FH03","BUILDING template",3014897,,Diestsestraat,68,,,,,
8076,"LEUVEN - FH03","BUILDING template",3014899,,Diestsestraat,70,,,,,
8077,"LEUVEN - FH03","BUILDING template",1097882,,"P.J. Van Benedenstraat",2,,,,,
8078,"LEUVEN - FH03","BUILDING template",1186827,,"Vital Decosterstraat",10,,,,,
8079,"LEUVEN - FH03","BUILDING template",1499850,,"Vital Decosterstraat",12,,,,,
8080,"LEUVEN - FH03","BUILDING template",1190285,,"Vital Decosterstraat",14,,,,,
8081,"LEUVEN - FH03","BUILDING template",1097875,,"Vital Decosterstraat",16,,,,,
8082,"LEUVEN - FH03","BUILDING template",3014376,,"Vital Decosterstraat",18,,,,,
8083,"LEUVEN - FH03","BUILDING template",3014380,,"Vital Decosterstraat",20,,,,,
8084,"LEUVEN - FH03","BUILDING template",1097876,,"Vital Decosterstraat",22,,,,,
8085,"LEUVEN - FH03","BUILDING template",1097877,,"Vital Decosterstraat",24,,,,,
8086,"LEUVEN - FH03","BUILDING template",5700790,,"Vital Decosterstraat",10,A,,,,
8088,"LEUVEN - FH03","(L/B/S)U template",1912504,,Bondgenotenlaan,33,,,,BU,
8091,"LEUVEN - FH03","(L/B/S)U template",1913848,,Bondgenotenlaan,35,,,,BU,
8095,"LEUVEN - FH03","(L/B/S)U template",1914950,,Bondgenotenlaan,37,,,,BU,
