OpdrachtID,Projectnummer,Opdrachttemplate,Opdrachtnummer,"Opdrachtnummer extern","BUILDING KEY",Straat,Huisnummer,"Huisnummer Toevoeging","SSV Action","SSV Action LU",Nature,"Building exists"
80861,"HASSELT - FH01","BUILDING template",653662,,653662,"de Schiervellaan",7,,,,,
80862,"HASSELT - FH01","BUILDING template",653663,,653663,"de Schiervellaan",9,,,,,
80863,"HASSELT - FH01","BUILDING template",5731213,,5731213,"de Schiervellaan",11,,,,,
80864,"HASSELT - FH01","BUILDING template",653664,,653664,"de Schiervellaan",13,,,,,
80865,"HASSELT - FH01","(L/B/S)U template",10940683,,2408229,"Koningin Astridlaan",8,,,,LU,
80866,"HASSELT - FH01","(L/B/S)U template",10940684,,2408229,"Koningin Astridlaan",8,,,,BU,
80867,"HASSELT - FH01","(L/B/S)U template",1153647,,653667,"Koningin Astridlaan",10,,,,BU,
80868,"HASSELT - FH01","(L/B/S)U template",10940686,,653667,"Koningin Astridlaan",10,,,,SU,
80869,"HASSELT - FH01","(L/B/S)U template",1162561,,4871086,"Koningin Astridlaan",18,,,,BU,
80870,"HASSELT - FH01","(L/B/S)U template",1169015,,2408240,"Koningin Astridlaan",26,,,,LU,
80871,"HASSELT - FH01","(L/B/S)U template",10733323,,2408240,"Koningin Astridlaan",26,,,,LU,
80872,"HASSELT - FH01","(L/B/S)U template",10733324,,2408240,"Koningin Astridlaan",26,,,,LU,
80873,"HASSELT - FH01","(L/B/S)U template",10733325,,2408240,"Koningin Astridlaan",26,,,,LU,
80874,"HASSELT - FH01","(L/B/S)U template",1170115,,2408243,"Koningin Astridlaan",28,,,,BU,
80875,"HASSELT - FH01","(L/B/S)U template",10940691,,2408243,"Koningin Astridlaan",28,,,,LU,
80876,"HASSELT - FH01","(L/B/S)U template",10940692,,2408243,"Koningin Astridlaan",28,,,,LU,
80877,"HASSELT - FH01","(L/B/S)U template",1171939,,653665,"Koningin Astridlaan",30,,,,BU,
80878,"HASSELT - FH01","(L/B/S)U template",10940694,,653665,"Koningin Astridlaan",30,,,,LU,
80879,"HASSELT - FH01","(L/B/S)U template",1152516,,2438171,"de Schiervellaan",1,,,,BU,
80880,"HASSELT - FH01","(L/B/S)U template",1170929,,2438181,"de Schiervellaan",3,,,,LU,
80881,"HASSELT - FH01","(L/B/S)U template",1170941,,2438181,"de Schiervellaan",3,,,,LU,
80882,"HASSELT - FH01","(L/B/S)U template",1170962,,2438181,"de Schiervellaan",3,,,,LU,
80883,"HASSELT - FH01","(L/B/S)U template",1170977,,2438181,"de Schiervellaan",3,,,,LU,
