Projectnummer;errors;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;BG Name IFH;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;Q IFH;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;IFH_BU;IFH_LU;IFH_SU;IFH_TOTAAL;Wall Mount;Wall Mount IFH;Opdrachttemplate
UCCLE - FH07;NO BLOCKS;1014200;;;308769;1014200;;;;De Fr‚laan - Avenue De Fr‚;21;;;;;Naomi De Cock;SDU;0;1;0;1;;;;;Y;;BUILDING template
UCCLE - FH07;NO CLUSTERS;1014200;;;308769;1014200;;;;De Fr‚laan - Avenue De Fr‚;21;;;;;Naomi De Cock;SDU;0;1;0;1;;;;;Y;;BUILDING template
UCCLE - FH07;NO BLOCKS;1014201;;;308770;1014201;;;;De Fr‚laan - Avenue De Fr‚;35;;;;;Naomi De Cock;SDU;0;1;0;1;;;;;Y;;BUILDING template
UCCLE - FH07;NO CLUSTERS;1014201;;;308770;1014201;;;;De Fr‚laan - Avenue De Fr‚;35;;;;;Naomi De Cock;SDU;0;1;0;1;;;;;Y;;BUILDING template
UCCLE - FH07;NO CLUSTERS;1014203;;;35598663;1014203;37526247;Groeselenbergstraat 48 & 50 & 52 & 54;;Groeselenbergstraat;48;;;;;Naomi De Cock;MDU;0;1;0;1;;;;;N;;BUILDING template
UCCLE - FH07;NO BLOCKS;1014203;;;35598663;1014203;37526247;Groeselenbergstraat 48 & 50 & 52 & 54;;Groeselenbergstraat;48;;;;;Naomi De Cock;MDU;0;1;0;1;;;;;N;;BUILDING template
UCCLE - FH07;NO BLOCKS;1014205;;;308771;1014205;37526249;Groeselenbergstraat 102 & 106;;Groeselenbergstraat - Rue Groeselenberg;102;;;;;Naomi De Cock;MDU;0;1;0;1;;;;;N;;BUILDING template
UCCLE - FH07;NO CLUSTERS;1014205;;;308771;1014205;37526249;Groeselenbergstraat 102 & 106;;Groeselenbergstraat - Rue Groeselenberg;102;;;;;Naomi De Cock;MDU;0;1;0;1;;;;;N;;BUILDING template
UCCLE - FH07;NO CLUSTERS;1014206;;;308772;1014206;;;;Groeselenbergstraat - Rue Groeselenberg;128;;;;;Naomi De Cock;SDU;0;1;0;1;;;;;Y;;BUILDING template
UCCLE - FH07;NO BLOCKS;1014206;;;308772;1014206;;;;Groeselenbergstraat - Rue Groeselenberg;128;;;;;Naomi De Cock;SDU;0;1;0;1;;;;;Y;;BUILDING template
UCCLE - FH07;NO BLOCKS;1014207;;;308773;1014207;;;;Groeselenbergstraat - Rue Groeselenberg;180;;;;;Christophe Panis;SDU;0;1;0;1;;;;;Y;;BUILDING template
UCCLE - FH07;NO CLUSTERS;1014207;;;308773;1014207;;;;Groeselenbergstraat - Rue Groeselenberg;180;;;;;Christophe Panis;SDU;0;1;0;1;;;;;Y;;BUILDING template
