Projectnummer;errors;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;BG Name IFH;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;Q IFH;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;IFH_BU;IFH_LU;IFH_SU;IFH_TOTAAL;Wall Mount;Wall Mount IFH;Opdrachttemplate
ROESELARE - FH02;BG Name diff;877759;BL0005;6.0;26014025;877759;;Sint-Michielsstraat 10-12-14-16-18-20_Motestraat 29;Motestraat 29_Sint-Michielsstraat 10-12-14-16-18-20;Motestraat;29;;X;;2020-04-29;Geert Stockman;MDU;0;5;1;6;0;1;0;1;Y;N;BUILDING template
ROESELARE - FH02;Units total diff;877759;BL0005;6.0;26014025;877759;;Sint-Michielsstraat 10-12-14-16-18-20_Motestraat 29;Motestraat 29_Sint-Michielsstraat 10-12-14-16-18-20;Motestraat;29;;X;;2020-04-29;Geert Stockman;MDU;0;5;1;6;0;1;0;1;Y;N;BUILDING template
ROESELARE - FH02;Buildingtype diff;877762;BL0007;5.0;4708421;877762;;;;Motestraat;14;;;;2020-04-21 10:30:32;Hidde Kiekens;SDU;1;0;0;1;;;;;Y;;BUILDING template
ROESELARE - FH02;Units bu diff;877762;BL0007;5.0;4708421;877762;;;;Motestraat;14;;;;2020-04-21 10:30:32;Hidde Kiekens;SDU;1;0;0;1;2;0;0;2;Y;Y;BUILDING template
ROESELARE - FH02;Units total diff;877762;BL0007;5.0;4708421;877762;;;;Motestraat;14;;;;2020-04-21 10:30:32;Hidde Kiekens;SDU;1;0;0;1;2;0;0;2;Y;Y;BUILDING template
ROESELARE - FH02;Quadrant diff;877775;BL0014;4.0;4708428;877775;;;;Diksmuidsesteenweg;177;;D;;2020-04-20 08:45:15;Geert Stockman;MDU;0;3;0;3;0;3;0;3;N;N;BUILDING template
ROESELARE - FH02;Units lu diff;877792;BL0012;6.0;4708439;877792;;;;Albrecht Rodenbachstraat;43;;;;2020-04-21 10:05:24;Hidde Kiekens;SDU;1;0;0;1;1;1;0;2;Y;Y;BUILDING template
ROESELARE - FH02;Buildingtype diff;877792;BL0012;6.0;4708439;877792;;;;Albrecht Rodenbachstraat;43;;;;2020-04-21 10:05:24;Hidde Kiekens;SDU;1;0;0;1;;;;;Y;;BUILDING template
ROESELARE - FH02;Units total diff;877792;BL0012;6.0;4708439;877792;;;;Albrecht Rodenbachstraat;43;;;;2020-04-21 10:05:24;Hidde Kiekens;SDU;1;0;0;1;1;1;0;2;Y;Y;BUILDING template
ROESELARE - FH02;Wall Mount diff;877796;BL0010;5.0;4569240;877796;;;;Vrouwenstraat;2;;;;;Harry Melis;SDU;0;1;0;1;0;1;0;1;N;Y;BUILDING template
ROESELARE - FH02;Units total diff;877797;BL0010;5.0;4708442;877797;;;;Vrouwenstraat;6;;;;2020-04-22 12:05:16;Maayken Vanfleteren;SDU;0;1;0;1;1;1;0;2;N;Y;BUILDING template
ROESELARE - FH02;Wall Mount diff;877797;BL0010;5.0;4708442;877797;;;;Vrouwenstraat;6;;;;2020-04-22 12:05:16;Maayken Vanfleteren;SDU;0;1;0;1;1;1;0;2;N;Y;BUILDING template
ROESELARE - FH02;Units bu diff;877797;BL0010;5.0;4708442;877797;;;;Vrouwenstraat;6;;;;2020-04-22 12:05:16;Maayken Vanfleteren;SDU;0;1;0;1;1;1;0;2;N;Y;BUILDING template
ROESELARE - FH02;Buildingtype diff;877797;BL0010;5.0;4708442;877797;;;;Vrouwenstraat;6;;;;2020-04-22 12:05:16;Maayken Vanfleteren;SDU;0;1;0;1;;;;;N;;BUILDING template
ROESELARE - FH02;Quadrant diff;877798;BL0009;6.0;26014093;877798;;Vrouwenstraat 3-5-7;Vrouwenstraat 3-5-7;Vrouwenstraat;3;;XC;;2020-07-04;Maayken Vanfleteren;MDU;1;0;0;1;1;0;0;1;N;N;BUILDING template
ROESELARE - FH02;Wall Mount diff;877802;BL0009;6.0;4708446;877802;;;;Manestraat;17;;;;;Harry Melis;SDU;1;0;0;1;1;0;0;1;N;Y;BUILDING template
ROESELARE - FH02;Units total diff;877803;BL0009;6.0;4708447;877803;;;;Manestraat;1;;D;;2020-07-04 13:35:09;Maayken Vanfleteren;MDU;0;9;1;10;0;11;0;11;N;Y;BUILDING template
ROESELARE - FH02;Units lu diff;877803;BL0009;6.0;4708447;877803;;;;Manestraat;1;;D;;2020-07-04 13:35:09;Maayken Vanfleteren;MDU;0;9;1;10;0;11;0;11;N;Y;BUILDING template
ROESELARE - FH02;Units su diff;877803;BL0009;6.0;4708447;877803;;;;Manestraat;1;;D;;2020-07-04 13:35:09;Maayken Vanfleteren;MDU;0;9;1;10;0;11;0;11;N;Y;BUILDING template
ROESELARE - FH02;Quadrant diff;877803;BL0009;6.0;4708447;877803;;;;Manestraat;1;;D;;2020-07-04 13:35:09;Maayken Vanfleteren;MDU;0;9;1;10;0;11;0;11;N;Y;BUILDING template
ROESELARE - FH02;Wall Mount diff;877803;BL0009;6.0;4708447;877803;;;;Manestraat;1;;D;;2020-07-04 13:35:09;Maayken Vanfleteren;MDU;0;9;1;10;0;11;0;11;N;Y;BUILDING template
ROESELARE - FH02;Units bu diff;877818;BL0010;5.0;4708459;877818;;;;Arme-Klarenstraat;36;;;;2020-08-26 15:15:12;Hidde Kiekens;SDU;1;0;0;1;2;0;0;2;N;N;BUILDING template
ROESELARE - FH02;Units total diff;877818;BL0010;5.0;4708459;877818;;;;Arme-Klarenstraat;36;;;;2020-08-26 15:15:12;Hidde Kiekens;SDU;1;0;0;1;2;0;0;2;N;N;BUILDING template
ROESELARE - FH02;Buildingtype diff;877818;BL0010;5.0;4708459;877818;;;;Arme-Klarenstraat;36;;;;2020-08-26 15:15:12;Hidde Kiekens;SDU;1;0;0;1;;;;;N;;BUILDING template
ROESELARE - FH02;Units su diff;877827;BL0011;5.0;4708468;877827;;Wallenstraat 2-4-4A;Wallenstraat 2-4-4A;Wallenstraat;4;;XC;;2020-06-10 12:40:05;Geert Stockman;MDU;0;7;1;8;0;8;0;8;N;N;BUILDING template
ROESELARE - FH02;Quadrant diff;877827;BL0011;5.0;4708468;877827;;Wallenstraat 2-4-4A;Wallenstraat 2-4-4A;Wallenstraat;4;;XC;;2020-06-10 12:40:05;Geert Stockman;MDU;0;7;1;8;0;8;0;8;N;N;BUILDING template
ROESELARE - FH02;Units lu diff;877827;BL0011;5.0;4708468;877827;;Wallenstraat 2-4-4A;Wallenstraat 2-4-4A;Wallenstraat;4;;XC;;2020-06-10 12:40:05;Geert Stockman;MDU;0;7;1;8;0;8;0;8;N;N;BUILDING template
ROESELARE - FH02;Units lu diff;877830;BL0010;5.0;4708471;877830;;;;Wallenstraat;67;;D;;2020-04-22 13:25:11;Maayken Vanfleteren;MDU;0;2;0;2;0;3;0;3;Y;Y;BUILDING template
ROESELARE - FH02;Units total diff;877830;BL0010;5.0;4708471;877830;;;;Wallenstraat;67;;D;;2020-04-22 13:25:11;Maayken Vanfleteren;MDU;0;2;0;2;0;3;0;3;Y;Y;BUILDING template
ROESELARE - FH02;Quadrant diff;877833;BL0018;3.0;4708473;877833;;;;Kattenstraat;17;;D;;2020-04-22 13:20:08;Hidde Kiekens;MDU;0;4;0;4;0;4;0;4;Y;Y;BUILDING template
