File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;VC Method Source;Local Instructions;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU
EXPORT;;;Zoning;6833220;'20200304142057;W03-D-Mechelen-FH02;6833220;'20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;;';';;;;;;;430482;'20200923114358;3035342;'41630000;'9904;Albert Geudensstraat;'1;';2800;Mechelen;;'157754,354;'190028,586;';Y;NA;3;10;Unknown;Unknown;C - Precabled ONTP;;N;None;;;';IFH_BATCH;'23/09/2020 10:02:58;;Y;;;;'23/09/2020 09:16:31;8;11090248;5641499;LU;1;'202;'202;';'2;';;;;;;;;';IFH_BATCH;'17/02/2020 16:46:08;;Y;;;;'14/07/2020 07:57:48
EXPORT;;;Zoning;6833220;'20200304142057;W03-D-Mechelen-FH02;6833220;'20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;;';';;;;;;;430482;'20200923114358;3035342;'41630000;'9904;Albert Geudensstraat;'1;';2800;Mechelen;;'157754,354;'190028,586;';Y;NA;3;10;Unknown;Unknown;C - Precabled ONTP;;N;None;;;';IFH_BATCH;'23/09/2020 10:02:58;;Y;;;;'23/09/2020 09:16:31;9;11090249;5641500;LU;1;'203;'203;';'2;';;;;;;;;';IFH_BATCH;'17/02/2020 16:46:13;;Y;;;;'14/07/2020 07:57:48
EXPORT;;;Zoning;6833220;'20200304142057;W03-D-Mechelen-FH02;6833220;'20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;39340068;'20201019121115;'Albert Geudensstraat 2_Schuttersvest 42-44;;;;;;;11439557;'20201019121036;383268;'41630000;'9904;Albert Geudensstraat;'2;';2800;Mechelen;;'157731,659;'190029,153;';Y;NA;4;12;Unknown;Unknown;C - Precabled ONTP;;N;None;;;';IFH_BATCH;'23/09/2020 10:03:37;;Y;;;;'23/09/2020 09:16:31;1;11089268;5641514;LU;1;'101;'102;';'1;';;;;;;;;';IFH_BATCH;'23/09/2020 11:25:26;;Y;;;;'23/09/2020 09:16:31
EXPORT;;;Zoning;6833220;'20200304142057;W03-D-Mechelen-FH02;6833220;'20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;39340068;'20201019121115;'Albert Geudensstraat 2_Schuttersvest 42-44;;;;;;;11439557;'20201019121036;383268;'41630000;'9904;Albert Geudensstraat;'2;';2800;Mechelen;;'157731,659;'190029,153;';Y;NA;4;12;Unknown;Unknown;C - Precabled ONTP;;N;None;;;';IFH_BATCH;'23/09/2020 10:03:37;;Y;;;;'23/09/2020 09:16:31;2;11089269;5641515;LU;1;'102;'103;';'1;';;;;;;;;';IFH_BATCH;'23/09/2020 11:25:28;;Y;;;;'23/09/2020 09:16:31
EXPORT;;;Zoning;6833220;'20200304142057;W03-D-Mechelen-FH02;6833220;'20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;39340068;'20201019121115;'Albert Geudensstraat 2_Schuttersvest 42-44;;;;;;;11439557;'20201019121036;383268;'41630000;'9904;Albert Geudensstraat;'2;';2800;Mechelen;;'157731,659;'190029,153;';Y;NA;4;12;Unknown;Unknown;C - Precabled ONTP;;N;None;;;';IFH_BATCH;'23/09/2020 10:03:37;;Y;;;;'23/09/2020 09:16:31;3;11089270;5641516;LU;1;'103;'104;';'1;';;;;;;;;';IFH_BATCH;'23/09/2020 11:25:31;;Y;;;;'23/09/2020 09:16:31
EXPORT;;;Zoning;6833220;'20200304142057;W03-D-Mechelen-FH02;6833220;'20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;39340068;'20201019121115;'Albert Geudensstraat 2_Schuttersvest 42-44;;;;;;;11439557;'20201019121036;383268;'41630000;'9904;Albert Geudensstraat;'2;';2800;Mechelen;;'157731,659;'190029,153;';Y;NA;4;12;Unknown;Unknown;C - Precabled ONTP;;N;None;;;';IFH_BATCH;'23/09/2020 10:03:37;;Y;;;;'23/09/2020 09:16:31;4;11089271;5641517;LU;1;'201;'201;';'2;';;;;;;;;';IFH_BATCH;'23/09/2020 11:25:33;;Y;;;;'23/09/2020 09:16:31
EXPORT;;;Zoning;6833220;'20200304142057;W03-D-Mechelen-FH02;6833220;'20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;39340068;'20201019121115;'Albert Geudensstraat 2_Schuttersvest 42-44;;;;;;;11439557;'20201019121036;383268;'41630000;'9904;Albert Geudensstraat;'2;';2800;Mechelen;;'157731,659;'190029,153;';Y;NA;4;12;Unknown;Unknown;C - Precabled ONTP;;N;None;;;';IFH_BATCH;'23/09/2020 10:03:37;;Y;;;;'23/09/2020 09:16:31;5;11089272;5641518;LU;1;'202;'202;';'2;';;;;;;;;';IFH_BATCH;'23/09/2020 11:25:35;;Y;;;;'23/09/2020 09:16:31
EXPORT;;;Zoning;6833220;'20200304142057;W03-D-Mechelen-FH02;6833220;'20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;39340068;'20201019121115;'Albert Geudensstraat 2_Schuttersvest 42-44;;;;;;;11439557;'20201019121036;383268;'41630000;'9904;Albert Geudensstraat;'2;';2800;Mechelen;;'157731,659;'190029,153;';Y;NA;4;12;Unknown;Unknown;C - Precabled ONTP;;N;None;;;';IFH_BATCH;'23/09/2020 10:03:37;;Y;;;;'23/09/2020 09:16:31;6;11089273;5641519;LU;1;'203;'203;';'2;';;;;;;;;';IFH_BATCH;'23/09/2020 11:25:38;;Y;;;;'23/09/2020 09:16:31
EXPORT;;;Zoning;6833220;'20200304142057;W03-D-Mechelen-FH02;6833220;'20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;39340068;'20201019121115;'Albert Geudensstraat 2_Schuttersvest 42-44;;;;;;;11439557;'20201019121036;383268;'41630000;'9904;Albert Geudensstraat;'2;';2800;Mechelen;;'157731,659;'190029,153;';Y;NA;4;12;Unknown;Unknown;C - Precabled ONTP;;N;None;;;';IFH_BATCH;'23/09/2020 10:03:37;;Y;;;;'23/09/2020 09:16:31;7;11089274;5641520;LU;1;'301;'301;';'3;';;;;;;;;';IFH_BATCH;'23/09/2020 11:25:40;;Y;;;;'23/09/2020 09:16:31
EXPORT;;;Zoning;6833220;'20200304142057;W03-D-Mechelen-FH02;6833220;'20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;;';';;;;;;;443060;'20200923114352;4232314;'41630000;'9904;Albert Geudensstraat;'3;';2800;Mechelen;;'157752,177;'190022,427;';Y;NA;3;10;Unknown;Unknown;D - Facade Box;;N;None;;;';IFH_BATCH;'23/09/2020 10:03:00;;Y;;;;'23/09/2020 09:16:31;1;1576135;5641501;LU;1;'1;'1;';'0;';Y;;HOUSE;WONING - MAISON;NA;;;';IFH_BATCH;'23/09/2020 11:24:17;;Y;;;;'23/09/2020 09:16:31
