OpdrachtID,Projectnummer,Opdrachttemplate,Opdrachtnummer,"Opdrachtnummer extern","BUILDING KEY",Straat,Huisnummer,"Huisnummer Toevoeging","SSV Action","SSV Action LU",Nature,"Building exists"
780251,"EVERE - FH03","(L/B/S)U template",10333531,,1621713,"Avenue Henri Conscience - H. Consciencelaan",259,,,,BU,
783511,"EVERE - FH03","(L/B/S)U template",10333532,,828258,"Chaussee de Haecht - Haachtsesteenweg",1044,,,,BU,
779045,"EVERE - FH03","(L/B/S)U template",10333533,,1003595,"Avenue Henri Conscience - H. Consciencelaan",41,,,,BU,
779046,"EVERE - FH03","(L/B/S)U template",10333534,,1003595,"Avenue Henri Conscience - H. Consciencelaan",41,,,,BU,
779047,"EVERE - FH03","(L/B/S)U template",10333535,,1003595,"Avenue Henri Conscience - H. Consciencelaan",41,,,,BU,
779518,"EVERE - FH03","(L/B/S)U template",10333537,,1620409,"Chemin du Jutland - Jutlandweg",2,,,,BU,
780022,"EVERE - FH03","(L/B/S)U template",10333542,,1621622,"Avenue Henri Conscience - H. Consciencelaan",118,,,,LU,
783673,"EVERE - FH03","(L/B/S)U template",10333553,,828265,"Avenue de l Oud-Kapelleke - Oud-Kapellekelaan",1,,,,LU,
783929,"EVERE - FH03","(L/B/S)U template",10333558,,830607,"Edward Deknoopstraat - Rue Edouard Deknoop",19,,,,LU,
780023,"EVERE - FH03","(L/B/S)U template",10333559,,1621622,"Avenue Henri Conscience - H. Consciencelaan",118,,,,LU,
783674,"EVERE - FH03","(L/B/S)U template",10333561,,828265,"Avenue de l Oud-Kapelleke - Oud-Kapellekelaan",1,,,,LU,
783675,"EVERE - FH03","(L/B/S)U template",10333564,,828265,"Avenue de l Oud-Kapelleke - Oud-Kapellekelaan",1,,,,LU,
783930,"EVERE - FH03","(L/B/S)U template",10333569,,830607,"Edward Deknoopstraat - Rue Edouard Deknoop",19,,,,LU,
783676,"EVERE - FH03","(L/B/S)U template",10333575,,828265,"Avenue de l Oud-Kapelleke - Oud-Kapellekelaan",1,,,,LU,
780024,"EVERE - FH03","(L/B/S)U template",10333578,,1621622,"Avenue Henri Conscience - H. Consciencelaan",118,,,,LU,
781070,"EVERE - FH03","(L/B/S)U template",10333590,,1622767,"Avenue Louis Pierard - Louis Pierardlaan",13,,,,LU,
783931,"EVERE - FH03","(L/B/S)U template",10333595,,830607,"Edward Deknoopstraat - Rue Edouard Deknoop",19,,,,LU,
783839,"EVERE - FH03","(L/B/S)U template",10333598,,830560,"Onze Lieve Vrouwlaan - Avenue Notre-Dame",67,,,,LU,
783840,"EVERE - FH03","(L/B/S)U template",10333599,,830560,"Onze Lieve Vrouwlaan - Avenue Notre-Dame",67,,,,LU,
780026,"EVERE - FH03","(L/B/S)U template",10333603,,1621624,"Avenue Henri Conscience - H. Consciencelaan",120,,,,LU,
783504,"EVERE - FH03","(L/B/S)U template",10333604,,828256,"Chaussee de Haecht - Haachtsesteenweg",1150,,,,LU,
783841,"EVERE - FH03","(L/B/S)U template",10333610,,830560,"Onze Lieve Vrouwlaan - Avenue Notre-Dame",67,,,,LU,
783842,"EVERE - FH03","(L/B/S)U template",10333611,,830560,"Onze Lieve Vrouwlaan - Avenue Notre-Dame",67,,,,LU,
780027,"EVERE - FH03","(L/B/S)U template",10333617,,1621624,"Avenue Henri Conscience - H. Consciencelaan",120,,,,LU,
783505,"EVERE - FH03","(L/B/S)U template",10333618,,828256,"Chaussee de Haecht - Haachtsesteenweg",1150,,,,LU,
783843,"EVERE - FH03","(L/B/S)U template",10333621,,830560,"Onze Lieve Vrouwlaan - Avenue Notre-Dame",67,,,,LU,
780028,"EVERE - FH03","(L/B/S)U template",10333626,,1621624,"Avenue Henri Conscience - H. Consciencelaan",120,,,,LU,
783932,"EVERE - FH03","(L/B/S)U template",10333630,,830607,"Edward Deknoopstraat - Rue Edouard Deknoop",19,,,,LU,
779281,"EVERE - FH03","(L/B/S)U template",10333634,,1517718,"Andalusielaan - Avenue de l Andalousie",10,,,,LU,
783413,"EVERE - FH03","(L/B/S)U template",10333664,,828175,"Weerstandstraat - Rue de la Resistance",68,,,,LU,
780017,"EVERE - FH03","(L/B/S)U template",10333666,,1621620,"Avenue Henri Conscience - H. Consciencelaan",116,,,,LU,
779792,"EVERE - FH03","(L/B/S)U template",10333667,,1621459,"Lindestraat - Rue du Tilleul",273,,,,LU,
782136,"EVERE - FH03","(L/B/S)U template",10333669,,5321281,"Chaussee de Haecht - Haachtsesteenweg",1196,,,,LU,
783677,"EVERE - FH03","(L/B/S)U template",10333670,,828265,"Avenue de l Oud-Kapelleke - Oud-Kapellekelaan",1,,,,LU,
779002,"EVERE - FH03","(L/B/S)U template",10333681,,1003567,"J. Van Ruusbroeckstraat - Rue J. Van Ruusbroeck",19,,,,LU,
783414,"EVERE - FH03","(L/B/S)U template",10333682,,828175,"Weerstandstraat - Rue de la Resistance",68,,,,LU,
780018,"EVERE - FH03","(L/B/S)U template",10333683,,1621620,"Avenue Henri Conscience - H. Consciencelaan",116,,,,LU,
779793,"EVERE - FH03","(L/B/S)U template",10333684,,1621459,"Lindestraat - Rue du Tilleul",273,,,,LU,
782137,"EVERE - FH03","(L/B/S)U template",10333686,,5321281,"Chaussee de Haecht - Haachtsesteenweg",1196,,,,LU,
783678,"EVERE - FH03","(L/B/S)U template",10333698,,828265,"Avenue de l Oud-Kapelleke - Oud-Kapellekelaan",1,,,,LU,
779003,"EVERE - FH03","(L/B/S)U template",10333703,,1003567,"J. Van Ruusbroeckstraat - Rue J. Van Ruusbroeck",19,,,,LU,
783415,"EVERE - FH03","(L/B/S)U template",10333704,,828175,"Weerstandstraat - Rue de la Resistance",68,,,,LU,
780019,"EVERE - FH03","(L/B/S)U template",10333705,,1621620,"Avenue Henri Conscience - H. Consciencelaan",116,,,,LU,
782138,"EVERE - FH03","(L/B/S)U template",10333707,,5321281,"Chaussee de Haecht - Haachtsesteenweg",1196,,,,LU,
783679,"EVERE - FH03","(L/B/S)U template",10333736,,828265,"Avenue de l Oud-Kapelleke - Oud-Kapellekelaan",1,,,,LU,
783680,"EVERE - FH03","(L/B/S)U template",10333741,,828265,"Avenue de l Oud-Kapelleke - Oud-Kapellekelaan",1,,,,LU,
781888,"EVERE - FH03","(L/B/S)U template",10333771,,24838,"J. B. Mosselmansstraat - Rue Jean-Baptiste Mosselmans",29,,,,LU,
783681,"EVERE - FH03","(L/B/S)U template",10333778,,828265,"Avenue de l Oud-Kapelleke - Oud-Kapellekelaan",1,,,,LU,
