"OpdrachtID,Projectnummer,Opdrachttemplate,Opdrachtnummer,""Opdrachtnummer extern"",""BUILDING KEY"",Straat,Huisnummer,""Huisnummer Toevoeging"",""SSV Action"",""SSV Action LU"",Nature,""Building exists"""
"50985,""HASSELT - FH02"",""BUILDING template"",2414133,,2414133,Dorpstraat,43,,,,,"
"50986,""HASSELT - FH02"",""BUILDING template"",2414113,,2414113,Dorpstraat,27,A,,,,"
"50987,""HASSELT - FH02"",""BUILDING template"",70337,,70337,Dorpstraat,37,A,,,,"
"50988,""HASSELT - FH02"",""BUILDING template"",70237,,70237,""Dokter Willemsstraat"",25,,,,,"
"50989,""HASSELT - FH02"",""BUILDING template"",4857704,,4857704,""Dokter Willemsstraat"",27,,,,,"
"50990,""HASSELT - FH02"",""BUILDING template"",71849,,71849,""Dokter Willemsstraat"",29,,,,,"
"50991,""HASSELT - FH02"",""BUILDING template"",70104,,70104,Dorpstraat,8,,,,,"
"50992,""HASSELT - FH02"",""BUILDING template"",2414097,,2414097,Dorpstraat,10,,,,,"
"50993,""HASSELT - FH02"",""BUILDING template"",4145239,,4145239,Dorpstraat,12,,,,,"
"50994,""HASSELT - FH02"",""BUILDING template"",69351,,69351,Dorpstraat,16,,,,,"
"50995,""HASSELT - FH02"",""BUILDING template"",70314,,70314,Lombaardstraat,21,,,,,"
"50996,""HASSELT - FH02"",""BUILDING template"",71872,,71872,Lombaardstraat,25,,,,,"
"50997,""HASSELT - FH02"",""BUILDING template"",70322,,70322,Minderbroedersstraat,46,,,,,"
"50998,""HASSELT - FH02"",""BUILDING template"",2429650,,2429650,Minderbroedersstraat,52,,,,,"
"50999,""HASSELT - FH02"",""BUILDING template"",2429654,,2429654,Minderbroedersstraat,54,,,,,"
"51000,""HASSELT - FH02"",""BUILDING template"",4181361,,4181361,Minderbroedersstraat,56,,,,,"
"51002,""HASSELT - FH02"",""BUILDING template"",2438613,,2438613,Schrijnwerkersstraat,8,,,,,"
"51003,""HASSELT - FH02"",""BUILDING template"",4846827,,4846827,Schrijnwerkersstraat,10,,,,,"
"51004,""HASSELT - FH02"",""BUILDING template"",2438616,,2438616,Schrijnwerkersstraat,12,,,,,"
"51005,""HASSELT - FH02"",""BUILDING template"",4846829,,4846829,Schrijnwerkersstraat,14,,,,,"
"51006,""HASSELT - FH02"",""BUILDING template"",2438620,,2438620,Schrijnwerkersstraat,16,,,,,"
