OpdrachtID,Projectnummer,Opdrachttemplate,Opdrachtnummer,"Opdrachtnummer extern","BUILDING KEY",Straat,Huisnummer,"Huisnummer Toevoeging","SSV Action","SSV Action LU",Nature,"Building exists"
360400,"HASSELT - FH06","BUILDING template",4845864,,4845864,Casterstraat,85,,,,,Y
360401,"HASSELT - FH06","BUILDING template",4845925,,4845925,Casterstraat,86,,,,,Y
360402,"HASSELT - FH06","BUILDING template",2411954,,2411954,Casterstraat,87,,,,,Y
360403,"HASSELT - FH06","BUILDING template",2411956,,2411956,Casterstraat,88,,,,,Y
360404,"HASSELT - FH06","BUILDING template",2411958,,2411958,Casterstraat,89,,,,,Y
360405,"HASSELT - FH06","BUILDING template",2411961,,2411961,Casterstraat,90,,,,,Y
360406,"HASSELT - FH06","BUILDING template",662589,,662589,Casterstraat,91,,,,,Y
360407,"HASSELT - FH06","BUILDING template",2411966,,2411966,Casterstraat,92,,,,,Y
360408,"HASSELT - FH06","BUILDING template",662590,,662590,Casterstraat,93,,,,,Y
360409,"HASSELT - FH06","BUILDING template",4043957,,4043957,Casterstraat,94,,,,,Y
360410,"HASSELT - FH06","BUILDING template",2411970,,2411970,Casterstraat,95,,,,,Y
360411,"HASSELT - FH06","BUILDING template",2411973,,2411973,Casterstraat,96,,,,,Y
360412,"HASSELT - FH06","BUILDING template",4845857,,4845857,Casterstraat,97,,,,,Y
360413,"HASSELT - FH06","BUILDING template",2411977,,2411977,Casterstraat,98,,,,,Y
360414,"HASSELT - FH06","BUILDING template",2411978,,2411978,Casterstraat,99,,,,,Y
360415,"HASSELT - FH06","BUILDING template",2411981,,2411981,Casterstraat,100,,,,,Y
360416,"HASSELT - FH06","BUILDING template",2411984,,2411984,Casterstraat,101,,,,,Y
360417,"HASSELT - FH06","BUILDING template",4845935,,4845935,Casterstraat,102,,,,,Y
360418,"HASSELT - FH06","BUILDING template",662595,,662595,Casterstraat,103,,,,,Y
360419,"HASSELT - FH06","BUILDING template",662596,,662596,Casterstraat,104,,,,,Y
360420,"HASSELT - FH06","BUILDING template",662556,,662556,Elf-Novemberlaan,1,,,,,Y
360421,"HASSELT - FH06","BUILDING template",2414568,,2414568,Elf-Novemberlaan,3,,,,,Y
360422,"HASSELT - FH06","BUILDING template",2414570,,2414570,Elf-Novemberlaan,5,,,,,Y
360423,"HASSELT - FH06","BUILDING template",2414572,,2414572,Elf-Novemberlaan,7,,,,,Y
360424,"HASSELT - FH06","BUILDING template",662557,,662557,Elf-Novemberlaan,8,,,,,Y
360425,"HASSELT - FH06","BUILDING template",2414575,,2414575,Elf-Novemberlaan,9,,,,,Y
360426,"HASSELT - FH06","BUILDING template",2414577,,2414577,Elf-Novemberlaan,10,,,,,Y
360427,"HASSELT - FH06","BUILDING template",2414579,,2414579,Elf-Novemberlaan,11,,,,,Y
360428,"HASSELT - FH06","BUILDING template",2414580,,2414580,Elf-Novemberlaan,12,,,,,Y
360429,"HASSELT - FH06","BUILDING template",2414584,,2414584,Elf-Novemberlaan,13,,,,,Y
360430,"HASSELT - FH06","BUILDING template",2414587,,2414587,Elf-Novemberlaan,14,,,,,Y
360431,"HASSELT - FH06","BUILDING template",2414589,,2414589,Elf-Novemberlaan,15,,,,,Y
360432,"HASSELT - FH06","BUILDING template",2414590,,2414590,Elf-Novemberlaan,16,,,,,Y
360433,"HASSELT - FH06","BUILDING template",2414592,,2414592,Elf-Novemberlaan,17,,,,,Y
360434,"HASSELT - FH06","BUILDING template",662559,,662559,Elf-Novemberlaan,18,,,,,Y
360435,"HASSELT - FH06","BUILDING template",662558,,662558,Elf-Novemberlaan,19,,,,,Y
360436,"HASSELT - FH06","BUILDING template",662041,,662041,"Geraard Mercatorlaan",3,,,,,Y
360437,"HASSELT - FH06","BUILDING template",2429072,,2429072,"Geraard Mercatorlaan",4,,,,,Y
360438,"HASSELT - FH06","BUILDING template",2429075,,2429075,"Geraard Mercatorlaan",5,,,,,Y
360439,"HASSELT - FH06","BUILDING template",2429078,,2429078,"Geraard Mercatorlaan",6,,,,,Y
360440,"HASSELT - FH06","BUILDING template",4861599,,4861599,"Geraard Mercatorlaan",7,,,,,Y
360441,"HASSELT - FH06","BUILDING template",2429083,,2429083,"Geraard Mercatorlaan",8,,,,,Y
360442,"HASSELT - FH06","BUILDING template",2429087,,2429087,"Geraard Mercatorlaan",9,,,,,Y
360443,"HASSELT - FH06","BUILDING template",2429091,,2429091,"Geraard Mercatorlaan",10,,,,,Y
360444,"HASSELT - FH06","BUILDING template",2429094,,2429094,"Geraard Mercatorlaan",11,,,,,Y
360445,"HASSELT - FH06","BUILDING template",2429097,,2429097,"Geraard Mercatorlaan",12,,,,,Y
360446,"HASSELT - FH06","BUILDING template",2429108,,2429108,"Geraard Mercatorlaan",13,,,,,Y
360447,"HASSELT - FH06","BUILDING template",662043,,662043,"Geraard Mercatorlaan",14,,,,,Y
360448,"HASSELT - FH06","BUILDING template",2429111,,2429111,"Geraard Mercatorlaan",15,,,,,Y
360449,"HASSELT - FH06","BUILDING template",662044,,662044,"Geraard Mercatorlaan",16,,,,,Y
360450,"HASSELT - FH06","BUILDING template",2429117,,2429117,"Geraard Mercatorlaan",17,,,,,Y
360451,"HASSELT - FH06","BUILDING template",4176663,,4176663,"Geraard Mercatorlaan",18,,,,,Y
360452,"HASSELT - FH06","BUILDING template",2429134,,2429134,"Geraard Mercatorlaan",19,,,,,Y
360453,"HASSELT - FH06","BUILDING template",4861631,,4861631,"Geraard Mercatorlaan",20,,,,,Y
360454,"HASSELT - FH06","BUILDING template",662038,,662038,"Geraard Mercatorlaan",21,,,,,Y
360455,"HASSELT - FH06","BUILDING template",662031,,662031,"Geraard Mercatorlaan",22,,,,,Y
360456,"HASSELT - FH06","BUILDING template",662039,,662039,"Geraard Mercatorlaan",23,,,,,Y
360457,"HASSELT - FH06","BUILDING template",2429140,,2429140,"Geraard Mercatorlaan",25,,,,,Y
360458,"HASSELT - FH06","BUILDING template",662033,,662033,"Geraard Mercatorlaan",26,,,,,Y
360459,"HASSELT - FH06","BUILDING template",2429141,,2429141,"Geraard Mercatorlaan",27,,,,,Y
360460,"HASSELT - FH06","BUILDING template",2429142,,2429142,"Geraard Mercatorlaan",28,,,,,Y
360461,"HASSELT - FH06","BUILDING template",2429144,,2429144,"Geraard Mercatorlaan",29,,,,,Y
360462,"HASSELT - FH06","BUILDING template",2429148,,2429148,"Geraard Mercatorlaan",30,,,,,Y
360463,"HASSELT - FH06","BUILDING template",2429161,,2429161,"Geraard Mercatorlaan",31,,,,,Y
360464,"HASSELT - FH06","BUILDING template",2429164,,2429164,"Geraard Mercatorlaan",32,,,,,Y
360465,"HASSELT - FH06","BUILDING template",4861524,,4861524,"Geraard Mercatorlaan",33,,,,,Y
360466,"HASSELT - FH06","BUILDING template",2429165,,2429165,"Geraard Mercatorlaan",34,,,,,Y
360467,"HASSELT - FH06","BUILDING template",2429168,,2429168,"Geraard Mercatorlaan",35,,,,,Y
360468,"HASSELT - FH06","BUILDING template",2429173,,2429173,"Geraard Mercatorlaan",36,,,,,Y
360469,"HASSELT - FH06","BUILDING template",2429177,,2429177,"Geraard Mercatorlaan",37,,,,,Y
360470,"HASSELT - FH06","BUILDING template",2429180,,2429180,"Geraard Mercatorlaan",38,,,,,Y
360471,"HASSELT - FH06","BUILDING template",4861498,,4861498,"Geraard Mercatorlaan",39,,,,,Y
360472,"HASSELT - FH06","BUILDING template",4127726,,4127726,"Geraard Mercatorlaan",40,,,,,Y
360473,"HASSELT - FH06","BUILDING template",662045,,662045,"Geraard Mercatorlaan",41,,,,,Y
360474,"HASSELT - FH06","BUILDING template",2429189,,2429189,"Geraard Mercatorlaan",42,,,,,Y
360475,"HASSELT - FH06","BUILDING template",2429191,,2429191,"Geraard Mercatorlaan",44,,,,,Y
360476,"HASSELT - FH06","BUILDING template",2429195,,2429195,"Geraard Mercatorlaan",45,,,,,Y
360477,"HASSELT - FH06","BUILDING template",2429199,,2429199,"Geraard Mercatorlaan",46,,,,,Y
360478,"HASSELT - FH06","BUILDING template",662035,,662035,"Geraard Mercatorlaan",48,,,,,Y
360479,"HASSELT - FH06","BUILDING template",2429206,,2429206,"Geraard Mercatorlaan",49,,,,,Y
360480,"HASSELT - FH06","BUILDING template",662037,,662037,"Geraard Mercatorlaan",50,,,,,Y
360481,"HASSELT - FH06","BUILDING template",2429210,,2429210,"Geraard Mercatorlaan",51,,,,,Y
360482,"HASSELT - FH06","BUILDING template",662040,,662040,"Geraard Mercatorlaan",53,,,,,Y
360483,"HASSELT - FH06","BUILDING template",2405827,,2405827,"Gouverneur Roppesingel",13,,,,,Y
360484,"HASSELT - FH06","BUILDING template",5530321,,5530321,"Gouverneur Roppesingel",15,,,,,Y
360485,"HASSELT - FH06","BUILDING template",1174354,,1174354,"Gouverneur Roppesingel",25,,,,,Y
360486,"HASSELT - FH06","BUILDING template",666233,,666233,Harpstraat,6,,,,,Y
360487,"HASSELT - FH06","BUILDING template",666232,,666232,Harpstraat,8,,,,,Y
360488,"HASSELT - FH06","BUILDING template",666231,,666231,Harpstraat,10,,,,,Y
