;ZONE_NAME;ZONING_TCHNLGY;MAINLAMKEY;POSTAL_CODE;CITY_NAME;STREET_NAME;HOUSE_NUMBER;DTP;FIC;FIS;FTS;OpdrachtID;Projectnummer;Opdrachtnummer;BG_Name;Blok;Straat;Huisnummer;Huisnummer_Toevoeging;Buildingtype;Quadrant;NR_BU;NR_LU;NR_SU;UNITS_TOTAL;Opdrachttemplate
75763;W01-C-Charleroi-FH03;FTTH-Cu;2039669;6000.0;Charleroi;Boulevard Joseph Tirou;147;;;1.0;;36742.0;CHARLEROI - FH03;2039669;147/149 boulevard Joseph tirou (B);09;Boulevard Joseph Tirou;147;;SDU;C;1;;3;;BUILDING template
75765;W01-C-Charleroi-FH03;FTTH-Cu;2039673;6000.0;Charleroi;Boulevard Joseph Tirou;151;;1.0;1.0;1.0;36744.0;CHARLEROI - FH03;2039673;151/153/155;09;Boulevard Joseph Tirou;151;;SDU;A;1;;2;;BUILDING template
75774;W01-C-Charleroi-FH03;FTTH-Cu;2042291;6000.0;Charleroi;Boulevard de l'Yser;34;;;1.0;;36546.0;CHARLEROI - FH03;2042291;34 boulevard de l'yser;02;Boulevard de lYser;34;;SDU;;1;;2;;BUILDING template
75775;W01-C-Charleroi-FH03;FTTH-Cu;2042293;6000.0;Charleroi;Boulevard de l'Yser;36;;;1.0;;36547.0;CHARLEROI - FH03;2042293;36 boulevard de l'yser;02;Boulevard de lYser;36;;SDU;D;1;;3;;BUILDING template
75800;W01-C-Charleroi-FH03;FTTH-Cu;4257641;6000.0;Charleroi;Place de la Digue;15;;;1.0;;36657.0;CHARLEROI - FH03;4257641;;05;Place de la Digue;15;;SDU;;1;;1;;BUILDING template
75807;W01-C-Charleroi-FH03;FTTH-Cu;459393;6000.0;Charleroi;Rue de Louvain;19;;;1.0;;36476.0;CHARLEROI - FH03;459393;19 rue de Louvain;03;Rue de Louvain;19;;SDU;;;1;1;;BUILDING template
75813;W01-C-Charleroi-FH03;FTTH-Cu;459400;6000.0;Charleroi;Rue de la Digue (Charleroi);5;;;1.0;;36599.0;CHARLEROI - FH03;459400;;02;Rue de la Digue;5;;SDU;;1;;2;;BUILDING template
75841;W01-C-Charleroi-FH03;FTTH-Cu;461025;6000.0;Charleroi;Rue de Dampremy (Charleroi);2;;;1.0;;36696.0;CHARLEROI - FH03;461025;2 rue de dampremy;08;Rue de Dampremy;2;;SDU;;1;;1;;BUILDING template
75843;W01-C-Charleroi-FH03;FTTH-Cu;461027;6000.0;Charleroi;Boulevard Joseph Tirou;49;;;1.0;;36676.0;CHARLEROI - FH03;461027;;08;Boulevard Joseph Tirou;49;;SDU;;1;;3;;BUILDING template
75845;W01-C-Charleroi-FH03;FTTH-Cu;461240;6000.0;Charleroi;Rue de Dampremy (Charleroi);51;;;1.0;;36587.0;CHARLEROI - FH03;461240;;02;Rue de Dampremy;51;;SDU;D;;1;;;BUILDING template
