ZONE_NAME;FIS_MDU;FIS_SDU;MDU_TOTAL;SDU_TOTAL;BUILDINGS_TOTAL;FIS_PROCENT;UNITS_TOTAL;FTS;FTS_TOTAL;FTS_PROCENT;MDU_SSV;SSV_PROCENT;STS;STS_PROCENT
W03-C-Liege-FH15;0.0;0.0;1043.0;499.0;1542.0;0.0;5581.0;0.0;0.0;;;;1542.0;100.0
W03-C-Liege-FH16;0.0;0.0;501.0;139.0;640.0;0.0;2519.0;1.0;86.0;1.1627906976744187;267.0;53.293413173652695;196.0;30.625000000000004
W03-C-Liege-FH17;0.0;0.0;121.0;53.0;174.0;0.0;910.0;17.0;45.0;37.77777777777778;47.0;38.84297520661157;48.0;27.586206896551722
W03-C-Schaerbeek-FH01;0.0;0.0;494.0;521.0;1015.0;0.0;3087.0;0.0;0.0;;;;;
W03-C-Schaerbeek-FH02;0.0;0.0;879.0;207.0;1086.0;0.0;4632.0;0.0;0.0;;;;;
W03-C-Schaerbeek-FH03;0.0;0.0;386.0;73.0;459.0;0.0;2537.0;0.0;0.0;;;;;
W03-C-Schaerbeek-FH04;0.0;0.0;812.0;402.0;1214.0;0.0;3821.0;0.0;7.0;0.0;752.0;92.61083743842364;1213.0;99.9176276771005
W03-C-Schaerbeek-FH10;0.0;0.0;853.0;361.0;1214.0;0.0;3886.0;0.0;0.0;;;;1214.0;100.0
W03-C-Uccle-FH03;0.0;0.0;1171.0;911.0;2082.0;0.0;7074.0;119.0;294.0;40.476190476190474;1137.0;97.09649871904355;2093.0;100.52833813640729
W03-C-Uccle-FH04;0.0;0.0;439.0;814.0;1253.0;0.0;4684.0;56.0;192.0;29.166666666666668;431.0;98.17767653758543;1253.0;100.0
W03-C-Uccle-FH05;0.0;0.0;929.0;1226.0;2155.0;0.0;6699.0;0.0;88.0;0.0;577.0;62.10979547900969;2155.0;100.0
W03-C-Uccle-FH07;0.0;0.0;988.0;1572.0;2560.0;0.0;6331.0;0.0;0.0;;;;2634.0;102.89062499999999
W03-C-Uccle-FH08;0.0;0.0;626.0;2029.0;2655.0;0.0;5440.0;0.0;0.0;;;;1121.0;42.22222222222222
W03-D-Brugge-FH01;0.0;0.0;668.0;2256.0;2924.0;0.0;5588.0;0.0;0.0;;287.0;42.964071856287426;2892.0;98.90560875512996
W03-D-Brugge-FH02;221.0;0.0;256.0;2220.0;2476.0;86.328125;3464.0;21.0;27.0;77.77777777777779;245.0;95.703125;2460.0;99.35379644588045
W03-D-Hasselt-FH04;173.0;15.0;174.0;821.0;995.0;99.42528735632183;1684.0;19.0;59.0;32.20338983050847;174.0;100.0;982.0;98.69346733668341
W03-D-Hasselt-FH05;0.0;0.0;38.0;295.0;333.0;0.0;506.0;1.0;15.0;6.666666666666667;19.0;50.0;309.0;92.7927927927928
W03-D-Hasselt-FH06;14.0;4.0;78.0;547.0;625.0;17.94871794871795;1259.0;0.0;17.0;0.0;46.0;58.97435897435898;625.0;100.0
W03-D-Hasselt-FH08;0.0;0.0;115.0;1052.0;1167.0;0.0;1553.0;0.0;0.0;;;;1167.0;100.0
W03-D-Leuven-FH04;0.0;0.0;151.0;536.0;687.0;0.0;1784.0;0.0;16.0;0.0;117.0;77.48344370860927;687.0;100.0
W03-D-Leuven-FH05;0.0;0.0;299.0;831.0;1130.0;0.0;3105.0;0.0;0.0;;;;797.0;70.53097345132744
