Projectnummer;Opdrachtnummer;Building FID;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;TSA SENT;TSA SIGNED;TSA NEEDED;Afronding handtekening;Meetstaat;Verzonden Offerte;SNS FIS Date;SNS FTS Date;Opdrachttemplate
EVERE - FH01;1623823;970056;;Kerkhof van Brussellaan - Avenue du Cimetière de Bruxelles;18;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1624355;970469;;Twee Huizenstraat - Rue des Deux Maisons;44;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1623658;969911;;Eenboomstraat - Rue de l'Arbre Unique;107;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1620296;967058;;Edgar Degas straat - Rue Edgard Degas;2;;A;2019-10-16;2019-11-06;Y;;Y;2019-10-18;;;BUILDING template
EVERE - FH01;726188;971378;;V-Daylaan - Avenue du V-Day;21;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1621042;967678;;Maquisstraat - Rue du Maquis;104;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1620888;967561;;Leuvensesteenweg - Chaussée de Louvain;900;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1620530;967245;;Begeertenlaan - Avenue des Désirs;15;;;;;N;;N;;;;BUILDING template
EVERE - FH01;726784;971444;;Oud-Strijderslaan - Avenue des Anciens Combattants;23;;C;2019-09-30;2019-12-08;Y;;N;;;;BUILDING template
EVERE - FH01;1623840;970073;;Kerkhof van Brussellaan - Avenue du Cimetière de Bruxelles;49;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1623824;970057;;Kerkhof van Brussellaan - Avenue du Cimetière de Bruxelles;20;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1120050;966831;;Twee Huizenstraat - Rue des Deux Maisons;46;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1623659;969912;;Eenboomstraat - Rue de l'Arbre Unique;109;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1624266;970414;;V-Daylaan - Avenue du V-Day;23;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1621044;967680;;Maquisstraat - Rue du Maquis;106;;;;;N;;N;;;;BUILDING template
EVERE - FH01;3916106;970584;;Leuvensesteenweg - Chaussée de Louvain;902;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1620531;967246;;Begeertenlaan - Avenue des Désirs;16;;;;;N;;N;;;;BUILDING template
EVERE - FH01;726783;971443;;Oud-Strijderslaan - Avenue des Anciens Combattants;25;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;725369;971244;;Kerkhof van Brussellaan - Avenue du Cimetière de Bruxelles;51;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1623825;970058;;Kerkhof van Brussellaan - Avenue du Cimetière de Bruxelles;22;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1120051;6195333;;Twee Huizenstraat - Rue des Deux Maisons;48;;;;;N;;N;;;;BUILDING template
EVERE - FH01;731604;971526;;Eenboomstraat - Rue de l'Arbre Unique;111;;;;;N;;N;;;;BUILDING template
EVERE - FH01;726097;971354;;Maquisstraat - Rue du Maquis;108;;;;;N;;N;;;;BUILDING template
EVERE - FH01;726061;971319;;Leuvensesteenweg - Chaussée de Louvain;904;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1620532;967247;;Begeertenlaan - Avenue des Désirs;17;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1623952;970154;;Oud-Strijderslaan - Avenue des Anciens Combattants;27;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;725370;971245;;Kerkhof van Brussellaan - Avenue du Cimetière de Bruxelles;53;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1623826;970059;;Kerkhof van Brussellaan - Avenue du Cimetière de Bruxelles;24;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1624358;970472;;Twee Huizenstraat - Rue des Deux Maisons;50;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1623660;969913;;Eenboomstraat - Rue de l'Arbre Unique;113;;;;;N;;N;;;;BUILDING template
EVERE - FH01;726096;971353;;Maquisstraat - Rue du Maquis;110;;;;;N;;N;;;;BUILDING template
EVERE - FH01;726060;6195205;;Leuvensesteenweg - Chaussée de Louvain;906;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1620533;967248;;Begeertenlaan - Avenue des Désirs;18;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1623954;970156;;Oud-Strijderslaan - Avenue des Anciens Combattants;29;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1623844;970075;;Kerkhof van Brussellaan - Avenue du Cimetière de Bruxelles;55;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1624360;970474;;Twee Huizenstraat - Rue des Deux Maisons;54;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;731605;971527;;Eenboomstraat - Rue de l'Arbre Unique;115;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1621048;967684;;Maquisstraat - Rue du Maquis;112;;;;;N;;N;;;;BUILDING template
EVERE - FH01;5695173;5620977;;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;3;;;;;N;;N;;;;BUILDING template
EVERE - FH01;726062;6639301;;Leuvensesteenweg - Chaussée de Louvain;910;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;726869;971468;;Begeertenlaan - Avenue des Désirs;20;;;;;;;N;;;;BUILDING template
EVERE - FH01;1623956;970158;;Oud-Strijderslaan - Avenue des Anciens Combattants;31;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;725372;971247;;Kerkhof van Brussellaan - Avenue du Cimetière de Bruxelles;57;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1624361;970475;;Twee Huizenstraat - Rue des Deux Maisons;56;;;;;N;;N;;;;BUILDING template
EVERE - FH01;15080;967027;;Jules Bordetlaan - Avenue Jules Bordet;136;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1621049;967685;;Maquisstraat - Rue du Maquis;114;;;;;N;;N;;;;BUILDING template
EVERE - FH01;5694877;5620976;;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;5;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1620897;967567;;Leuvensesteenweg - Chaussée de Louvain;912;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;726868;971467;;Begeertenlaan - Avenue des Désirs;21;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1350632;966962;;Oud-Strijderslaan - Avenue des Anciens Combattants;33;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1623848;970079;;Kerkhof van Brussellaan - Avenue du Cimetière de Bruxelles;59;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1624363;970476;;Twee Huizenstraat - Rue des Deux Maisons;58;;;;;;;N;;;;BUILDING template
EVERE - FH01;1443671;966980;;Jules Bordetlaan - Avenue Jules Bordet;138;;XC;2019-12-13;;Y;;Y;;;;BUILDING template
EVERE - FH01;1621050;967686;;Maquisstraat - Rue du Maquis;116;;;;;N;;N;;;;BUILDING template
EVERE - FH01;5693806;5620972;;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;7;;;;;N;;N;;;;BUILDING template
