Projectnummer;Opdrachtnummer;Building FID;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;TSA SENT;TSA SIGNED;TSA NEEDED;Afronding handtekening;Meetstaat;Verzonden Offerte;SNS FIS Date;SNS FTS Date;Opdrachttemplate
MECHELEN - FH01;6420147;21850725;;Sint-Janstraat;102;D;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3943977;441066;;Begijnenstraat;41;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3042701;434548;;Grote Markt;36;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;4733077;444584;;Nieuwe Beggaardenstraat;21;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;898130;449999;;Van Hoeystraat;7;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;4748711;445779;;Begijnenstraat;42;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3042702;434549;;Grote Markt;37;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;4733080;444585;;Nieuwe Beggaardenstraat;23;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;898131;450000;;Van Hoeystraat;15;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3047556;436993;;Korte schipstraat;6;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;6431928;21850741;;Sint-Janstraat;202;A;;;;N;;N;;;;BUILDING template
MECHELEN - FH01;1351370;425532;;Begijnenstraat;43;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;4746694;445616;;Grote Markt;38;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;930422;452021;;Nieuwe Beggaardenstraat;29;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;4731662;7092615;;Van Hoeystraat;19;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;4748712;445780;;Begijnenstraat;44;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;904902;450445;;Grote Markt;39;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3030800;427857;;Nieuwe Beggaardenstraat;31;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;4731664;7092616;;Van Hoeystraat;21;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;901180;11452593;;Frederik de Merodestraat;23;;;;;N;;N;;;;BUILDING template
MECHELEN - FH01;4748677;445776;;Begijnenstraat;45;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;905040;450474;;Hallestraat;2;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3030803;427859;;Nieuwe Beggaardenstraat;33;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;4731666;7092617;;Van Hoeystraat;23;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;905648;450568;;Begijnenstraat;48;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3035734;430703;;Hallestraat;8;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;930421;452020;;Nieuwe Beggaardenstraat;35;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;5838515;7092638;;Van Hoeystraat;25;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3047664;11452503;;Lange schipstraat;81;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;905645;7092687;;Begijnenstraat;50;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3944054;441101;;Hallestraat;16;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;930420;452019;;Nieuwe Beggaardenstraat;37;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;5838514;7092637;;Van Hoeystraat;27;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3944182;11452504;;Lange schipstraat;87;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;905643;450564;;Begijnenstraat;52;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3030808;427862;;Nieuwe Beggaardenstraat;41;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;5838513;7092636;;Van Hoeystraat;29;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3030844;427883;;Begijnenstraat;56;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3036250;430992;;Hazestraat;5;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;930419;452018;;Nieuwe Beggaardenstraat;43;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;4731669;444518;;Van Hoeystraat;31;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3047649;21704355;;Lange Schipstraat;71;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;905642;450563;;Begijnenstraat;58;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3036251;430993;;Hazestraat;7;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;5394328;7092624;;Nieuwe Beggaardenstraat;45;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;905322;450524;;Varkensstraat;1;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;905285;450499;;Begijnenstraat;27;A;;;;;;N;;;;BUILDING template
MECHELEN - FH01;4751397;446064;;Hazestraat;8;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;901204;450270;;Nieuwwerk;1;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;4073865;441765;;Varkensstraat;3;;D;;;;;N;;;;BUILDING template
MECHELEN - FH01;3047662;21704356;;Lange Schipstraat;79;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3048616;21704441;;Sint-Katelijnestraat;29;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3943978;441067;;Begijnenstraat;43;A;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3036253;430994;;Hazestraat;9;;;;;N;;N;;;;BUILDING template
MECHELEN - FH01;3044665;435553;;Nieuwwerk;2;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;4745458;445528;;Varkensstraat;5;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3033487;11452605;;Dobbelhuizen;27;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3055141;21705069;;Thaborstraat;77;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;901609;450299;;Biest;2;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3036255;430995;;Hazestraat;10;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;5403847;449119;;Nieuwwerk;6;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3051124;7092667;;Varkensstraat;6;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;5515790;11452505;;Sint-Janskerkhof;1;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3031078;428031;;Biest;4;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3036256;430996;;Hazestraat;11;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3044667;435554;;Nieuwwerk;7;;;;;N;;N;;;;BUILDING template
MECHELEN - FH01;905321;450523;;Varkensstraat;7;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;6192370;21704444;;Sint-Katelijnestraat;40;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;4731741;444522;;Biest;6;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3036258;430997;;Hazestraat;12;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;5374207;449021;;Nieuwwerk;8;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3051129;7092668;;Varkensstraat;9;;XA;;;Y;;Y;;;;BUILDING template
MECHELEN - FH01;901612;450301;;Biest;10;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;905239;450484;;Hazestraat;13;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;5414784;449146;;Nieuwwerk;9;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3051134;7092669;;Varkensstraat;11;;XA;;;Y;;Y;;;;BUILDING template
MECHELEN - FH01;4731497;21704363;;Lange Schipstraat;88;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;904912;450450;;Blauwhondstraat;1;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;3036260;430998;;Hazestraat;14;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3044668;435555;;Nieuwwerk;10;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;5543967;7092628;;Varkensstraat;15;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3031270;428122;;Blauwhondstraat;3;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;3036262;430999;;Hazestraat;16;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;3044669;435556;;Nieuwwerk;11;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3051139;7092670;;Veemarkt;1;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3031272;428123;;Blauwhondstraat;5;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;905241;450486;;Hazestraat;20;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;905278;450494;;Onder-den-Toren;1;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;901430;450284;;Veemarkt;2;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3031273;428124;;Blauwhondstraat;7;;;;;N;;N;;;;BUILDING template
MECHELEN - FH01;904922;450458;;Ijzerenleen;1;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3045165;435788;;Onder-den-Toren;2;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;901431;7092682;;Veemarkt;3;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;901202;11452568;;Wollemarkt;14;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3031275;428125;;Blauwhondstraat;11;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;3037607;7092654;;Ijzerenleen;2;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;3051142;438732;;Veemarkt;5;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3031278;428126;;Blauwhondstraat;15;;;;;N;;N;;;;BUILDING template
MECHELEN - FH01;3037608;431730;;Ijzerenleen;3;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3045166;435789;;Onder-den-Toren;4;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3051143;438733;;Veemarkt;7;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;5547298;21704445;;Sint-Romboutskerkhof;6;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;904913;450451;;Blauwhondstraat;21;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;905273;450492;;Ijzerenleen;4;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;3045168;435790;;Onder-den-Toren;5;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3051149;438736;;Veemarkt;13;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3040449;433365;;Leermarkt;50;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;904914;450452;;Blauwhondstraat;25;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3037611;431731;;Ijzerenleen;5;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3045170;435791;;Onder-den-Toren;6;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3051152;438738;;Veemarkt;15;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;6518670;21704447;;Sint-Romboutskerkhof;2;A;;;;;;N;;;;BUILDING template
MECHELEN - FH01;5403850;449122;;Blauwhondstraat;27;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3037612;431732;;Ijzerenleen;6;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;3045171;435792;;Onder-den-Toren;7;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3051155;438740;;Veemarkt;17;;D;;;;;N;;;;BUILDING template
MECHELEN - FH01;3029549;11452606;;Arme-Clarenstraat;27;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3031540;428290;;Borzestraat;1;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;3037613;431733;;Ijzerenleen;7;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3045175;435793;;Onder-den-Toren;9;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;4101347;7092674;;Borzestraat;2;;D;;;N;;N;;;;BUILDING template
