Projectnummer;Opdrachtnummer;Building FID;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;TSA SENT;TSA SIGNED;TSA NEEDED;Afronding handtekening;Meetstaat;Verzonden Offerte;SNS FIS Date;SNS FTS Date;Opdrachttemplate
HASSELT - FH04;2408084;381792;;Ambachtsschoolstraat;12;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701620;402029;;Kleine Breemstraat;2;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4888896;398017;;Lazarijstraat;37;;;;;;;N;;;;BUILDING template
HASSELT - FH04;700917;401804;;Permekelaan;15;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701617;402026;;Ambachtsschoolstraat;13;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2410853;382996;;Kleine Breemstraat;4;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4886736;5194424;;Lazarijstraat;38;;C;2019-11-19;2019-11-25;Y;2019-09-26;Y;2019-08-29;;;BUILDING template
HASSELT - FH04;5412014;10522528;;Permekelaan;17;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701615;402024;;Ambachtsschoolstraat;14;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2410870;382997;;Kleine Breemstraat;6;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4065012;395152;;Lazarijstraat;39;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701744;402061;;Plantenstraat;1;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701608;402017;;Ambachtsschoolstraat;15;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4206079;395726;;Kleine Breemstraat;7;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4886739;5194425;Lazarijstraat 40_Palmstraat 2;Lazarijstraat;40;;C;2019-11-19;2019-11-25;Y;2019-09-26;Y;2019-08-29;;;BUILDING template
HASSELT - FH04;701745;402062;;Plantenstraat;2;;D;;;N;2019-09-26;N;;;;BUILDING template
HASSELT - FH04;701616;402025;;Ambachtsschoolstraat;16;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2410873;382998;;Kleine Breemstraat;8;;;;;N;;N;;;;BUILDING template
HASSELT - FH04;2425194;387231;;Lazarijstraat;41;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4890633;398080;;Plantenstraat;3;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701154;13067359;;Plantenstraat;16;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2408085;381793;;Ambachtsschoolstraat;17;;D;;;N;2019-09-26;N;;;;BUILDING template
HASSELT - FH04;2410876;382999;;Kleine Breemstraat;10;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2425197;387232;;Lazarijstraat;43;;;;;;;N;;;;BUILDING template
HASSELT - FH04;26194;394215;;Plantenstraat;4;;D;;;N;2019-09-26;N;;;;BUILDING template
HASSELT - FH04;701319;13067351;;Rozenstraat;52;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2408086;381794;;Ambachtsschoolstraat;18;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2410878;383000;;Kleine Breemstraat;12;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2425206;387233;;Lazarijstraat;45;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4890635;398081;;Plantenstraat;5;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701737;13067373;;Kuringersteenweg;93;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701607;402016;;Ambachtsschoolstraat;19;;D;;;N;2019-09-26;N;;;;BUILDING template
HASSELT - FH04;1506439;380513;;Kleine Breemstraat;14;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4888902;398018;;Lazarijstraat;47;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701743;402060;;Plantenstraat;6;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701740;13067361;;Oude Kuringerbaan;4;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2408087;381795;;Ambachtsschoolstraat;20;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4197189;395642;;Kleine Breemstraat;16;;;;;;;N;;;;BUILDING template
HASSELT - FH04;700984;10522536;;Lazarijstraat;48;;D;;;N;2019-09-26;N;;;;BUILDING template
HASSELT - FH04;2434181;389224;;Plantenstraat;7;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2408097;13067370;;Ambachtsschoolstraat;35;;D;;;N;2019-09-26;N;;;;BUILDING template
HASSELT - FH04;2408088;381796;;Ambachtsschoolstraat;22;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4888673;397995;;Kleine Breemstraat;18;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2425210;387234;;Lazarijstraat;49;;;;;;;N;;;;BUILDING template
HASSELT - FH04;3937586;394725;;Plantenstraat;8;;C;;2019-09-05;Y;2019-09-26;Y;2019-09-06;;;BUILDING template
HASSELT - FH04;2410955;13067353;;Breestraat;28;A;XC;;;Y;2019-11-12;Y;;;;BUILDING template
HASSELT - FH04;2408089;381797;;Ambachtsschoolstraat;23;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2410885;383001;;Kleine Breemstraat;20;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2425215;387235;;Lazarijstraat;50;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2434182;389225;;Plantenstraat;9;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2436637;13067346;;Rozenstraat;23;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4888749;398002;;Ambachtsschoolstraat;24;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2410889;383002;;Kleine Breemstraat;22;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2425219;387236;;Lazarijstraat;51;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4890688;398087;;Plantenstraat;10;;;;;;;N;;;;BUILDING template
HASSELT - FH04;3937579;13067360;;Palmstraat;28;;D;;;N;2019-09-26;N;;;;BUILDING template
HASSELT - FH04;2408090;10522451;;Ambachtsschoolstraat;25;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2410893;383003;;Kleine Breemstraat;24;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2425222;387237;;Lazarijstraat;52;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701146;401869;;Plantenstraat;11;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4273082;13067372;;Kuringersteenweg;51;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2408091;381799;;Ambachtsschoolstraat;26;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701621;402030;;Kleine Breemstraat;26;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2425224;387238;;Lazarijstraat;53;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701151;401874;;Plantenstraat;12;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4884300;13067363;;Oude Kuringerbaan;170;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2408092;381800;;Ambachtsschoolstraat;27;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701622;402031;;Kleine Breemstraat;32;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2425227;12621016;;Lazarijstraat;54;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701153;401876;;Plantenstraat;14;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4888712;13067371;;Grote Breemstraat;97;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2408093;381801;;Ambachtsschoolstraat;28;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4888653;397994;;Kleine Breemstraat;34;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4154331;395376;;Lazarijstraat;55;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2434190;389226;;Plantenstraat;18;;D;;;N;2019-09-26;N;;;;BUILDING template
HASSELT - FH04;4893113;13067374;;Kuringersteenweg;98;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4888772;398004;;Ambachtsschoolstraat;29;;D;;;N;2019-09-26;N;;;;BUILDING template
HASSELT - FH04;2410899;383004;;Kleine Breemstraat;36;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2425231;387239;;Lazarijstraat;56;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2434194;10522473;;Plantenstraat;20;;D;;;N;2019-09-26;N;;;;BUILDING template
HASSELT - FH04;6020151;13067376;;Plantenstraat;32;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701605;402014;;Ambachtsschoolstraat;30;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2410902;383005;;Kleine Breemstraat;38;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2425235;387240;;Lazarijstraat;57;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2434197;10522474;;Plantenstraat;22;;D;;;N;2019-09-26;N;;;;BUILDING template
