Projectnummer;Opdrachtnummer;Building FID;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;TSA SENT;TSA SIGNED;TSA NEEDED;Afronding handtekening;Meetstaat;Verzonden Offerte;SNS FIS Date;SNS FTS Date;Opdrachttemplate
ANTWERPEN-WEST - FH01;108958;612694;;Genuastraat;1;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1287193;615628;;Godefriduskaai;16;;XA;;;Y;;Y;;;;BUILDING template
ANTWERPEN-WEST - FH01;1089007;7093624;;Indiestraat;12;;;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;108791;7093621;;Napelsstraat;112;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;62444;716959;Godefriduskaai 18-20-22;Godefriduskaai;22;;XA;2020-01-28;;Y;;Y;2019-10-08;;;BUILDING template
ANTWERPEN-WEST - FH01;108940;7093625;;Indiestraat;36;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;108079;7093616;;Napoleonkaai;1;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1090148;612699;Godefriduskaai 26-28;Godefriduskaai;28;;XA;;;Y;;Y;;;;BUILDING template
ANTWERPEN-WEST - FH01;62065;7093729;;Italielei;2;;A;2020-01-08;2020-01-08;Y;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;108080;7093617;;Napoleonkaai;3;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1905577;644805;;Godefriduskaai;30;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1950413;7093661;;Italielei;2;A;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;2024759;7093676;;Napoleonkaai;13;;XA;;;Y;;Y;;;;BUILDING template
ANTWERPEN-WEST - FH01;4505623;7093701;;Nassaustraat;14;;XA;2020-01-24;;Y;;Y;2020-02-10;;;BUILDING template
ANTWERPEN-WEST - FH01;62442;716957;;Godefriduskaai;32;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;62060;8421323;;Italielei;4;;;;;N;;N;;;;BUILDING template
