Projectnummer;Opdrachtnummer;Building FID;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;TSA SENT;TSA SIGNED;TSA NEEDED;Afronding handtekening;Meetstaat;Verzonden Offerte;SNS FIS Date;SNS FTS Date;Opdrachttemplate
KNOKKE - FH01;2763052;8502218;;Lippenslaan;87;;XA;;;Y;;Y;2019-09-13;2019-09-26;;BUILDING template
KNOKKE - FH01;2765469;8502317;;Pepersstraat;20;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;336609;8502514;;Boudewijnlaan;97;;D;;;N;;N;;2019-09-26;;BUILDING template
KNOKKE - FH01;338419;8502517;;Lippenslaan;88;;A;;;Y;;N;;2019-09-17;;BUILDING template
KNOKKE - FH01;4347352;8502585;;Pepersstraat;22;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;333495;8504325;;Brandweerstraat;4;;;;;N;;N;;;;BUILDING template
KNOKKE - FH01;2763059;8502219;;Lippenslaan;90;;XA;;;Y;;Y;2019-08-29;2019-09-17;;BUILDING template
KNOKKE - FH01;335940;8502489;;Pepersstraat;24;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;13062;13436980;;Nieuwstraat;1;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;333494;8504324;;Brandweerstraat;6;;D;;;;;N;;2019-09-17;;BUILDING template
KNOKKE - FH01;2763060;8502220;;Lippenslaan;91;;XA;;;Y;;Y;2019-08-12;2019-09-17;;BUILDING template
KNOKKE - FH01;333262;8502451;;Piers de Raveschootlaan;1;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;84747;13436948;;Nyckeesstraat;2;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2763065;8502221;;Lippenslaan;92;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;333263;8502452;;Piers de Raveschootlaan;2;;XC;;;Y;;Y;2019-08-12;2019-09-17;;BUILDING template
KNOKKE - FH01;320681;13436950;;Paul Parmentierlaan;54;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;326887;8502409;;Burg. Camille Deckersstraat;2;;D;;;;;N;;2019-09-26;;BUILDING template
KNOKKE - FH01;5905437;8502622;;Lippenslaan;93;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2765484;8502318;;Piers de Raveschootlaan;3;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;320690;13436964;;Kopsdreef;3;;D;;;;;N;;2019-09-26;;BUILDING template
