Projectnummer;LAM MK;LU Key;Opdrachttemplate;Quadrant;Straat;Huisnummer;Huisnummer Toevoeging;Prov Status;Prov Reason;Prov Status LU;Prov Reason LU
KNOKKE-HEIST - FH09;6525363;6525363;BUILDING template;XA;Elizabetlaan;393;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;4337650;4337650;BUILDING template;XA;Elizabetlaan;405;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;4337651;4337651;BUILDING template;XA;Elizabetlaan;407;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;4337653;4337653;BUILDING template;XA;Elizabetlaan;409;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2766968;2766968;BUILDING template;XA;Graaf d Ursellaan;5;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;71714;71714;BUILDING template;XA;Graaf d Ursellaan;8;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;71715;71715;BUILDING template;XA;Graaf d Ursellaan;10;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2766983;2766983;BUILDING template;XA;Graaf d Ursellaan;13;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2766986;2766986;BUILDING template;XA;Graaf d Ursellaan;15;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;4096025;4096025;BUILDING template;XA;Graaf d Ursellaan;17;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;5579563;5579563;BUILDING template;XA;Graaf d Ursellaan;22;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;6524218;6524218;BUILDING template;XA;Graaf d Ursellaan;35;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2767019;2767019;BUILDING template;XA;Graaf d Ursellaan;37;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;5579565;5579565;BUILDING template;XA;Graaf d Ursellaan;53;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2760294;2760294;BUILDING template;XA;Heldenplein;16;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2760305;2760305;BUILDING template;XA;Heldenplein;31;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2758772;2758772;BUILDING template;XA;Jozef Dhoorelaan;128;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;3939624;3939624;BUILDING template;XA;Kardinaal Mercierstraat;6;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2765006;2765006;BUILDING template;XA;Parkstraat;11;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;6525309;6525309;BUILDING template;XA;Parkstraat;21;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;297118;297118;BUILDING template;XA;Parkstraat;25;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;71633;71633;BUILDING template;XA;Serweytens de Mercxstraat;2;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;4335330;4335330;BUILDING template;XA;Serweytens de Mercxstraat;26;;B;BOWN;B;BOWN
