Projectnummer;LAM MK;LU Key;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;Prov Status;Prov Reason;Prov Status LU;Prov Reason LU;quadrant
KNOKKE - FH01;1279126;8339186;(L/B/S)U template;Paul Parmentierlaan;103;;B;BOWN;B;BOWN;XC
KNOKKE - FH01;1279126;8339187;(L/B/S)U template;Paul Parmentierlaan;103;;B;BOWN;B;BOWN;XC
KNOKKE - FH01;1279126;8343319;(L/B/S)U template;Paul Parmentierlaan;103;;B;BOWN;B;BOWN;XC
KNOKKE - FH01;1279126;8356965;(L/B/S)U template;Paul Parmentierlaan;103;;B;BOWN;B;BOWN;XC
KNOKKE - FH01;1279126;8361451;(L/B/S)U template;Paul Parmentierlaan;103;;B;BOWN;B;BOWN;XC
KNOKKE - FH01;1279126;8361452;(L/B/S)U template;Paul Parmentierlaan;103;;B;BOWN;B;BOWN;XC
KNOKKE - FH01;1279172;8340645;(L/B/S)U template;Sebastiaan Nachtegaelestraat;5;;B;BOWN;B;BOWN;XC
KNOKKE - FH01;1279172;8345097;(L/B/S)U template;Sebastiaan Nachtegaelestraat;5;;B;BOWN;B;BOWN;XC
KNOKKE - FH01;1279172;8358686;(L/B/S)U template;Sebastiaan Nachtegaelestraat;5;;B;BOWN;B;BOWN;XC
KNOKKE - FH01;1279172;8363028;(L/B/S)U template;Sebastiaan Nachtegaelestraat;5;;B;BOWN;B;BOWN;XC
KNOKKE - FH01;1279172;8363029;(L/B/S)U template;Sebastiaan Nachtegaelestraat;5;;B;BOWN;B;BOWN;XC
