Projectnummer;LAM MK;LU Key;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;Prov Status;Prov Reason;Prov Status LU;Prov Reason LU
ANTWERPEN-WEST - FH01;59300;10416166;(L/B/S)U template;Spanjaardsteeg;21;;;;;
ANTWERPEN-WEST - FH01;59300;10416167;(L/B/S)U template;Spanjaardsteeg;21;;;;;
ANTWERPEN-WEST - FH01;59300;11077692;(L/B/S)U template;Spanjaardsteeg;21;;;;;
ANTWERPEN-WEST - FH01;59302;1615011;(L/B/S)U template;Spanjaardsteeg;1;;;;;
ANTWERPEN-WEST - FH01;59302;1615012;(L/B/S)U template;Spanjaardsteeg;1;;;;;
ANTWERPEN-WEST - FH01;59302;1615013;(L/B/S)U template;Spanjaardsteeg;1;;;;;
ANTWERPEN-WEST - FH01;62059;1815785;(L/B/S)U template;Godefriduskaai;56;;;;;
ANTWERPEN-WEST - FH01;62059;1815786;(L/B/S)U template;Godefriduskaai;56;;;;;
ANTWERPEN-WEST - FH01;62060;1775624;(L/B/S)U template;Italielei;4;;;;;
ANTWERPEN-WEST - FH01;62065;1693422;(L/B/S)U template;Italielei;2;;;;;
ANTWERPEN-WEST - FH01;62065;11188382;(L/B/S)U template;Italielei;2;;;;;
ANTWERPEN-WEST - FH01;62065;11188383;(L/B/S)U template;Italielei;2;;;;;
ANTWERPEN-WEST - FH01;62065;11188384;(L/B/S)U template;Italielei;2;;;;;
ANTWERPEN-WEST - FH01;62065;11188385;(L/B/S)U template;Italielei;2;;;;;
ANTWERPEN-WEST - FH01;62065;11188386;(L/B/S)U template;Italielei;2;;;;;
ANTWERPEN-WEST - FH01;62065;11188387;(L/B/S)U template;Italielei;2;;;;;
ANTWERPEN-WEST - FH01;62065;11188388;(L/B/S)U template;Italielei;2;;;;;
ANTWERPEN-WEST - FH01;62065;11188389;(L/B/S)U template;Italielei;2;;;;;
ANTWERPEN-WEST - FH01;62065;11188390;(L/B/S)U template;Italielei;2;;;;;
ANTWERPEN-WEST - FH01;62065;11188391;(L/B/S)U template;Italielei;2;;;;;
ANTWERPEN-WEST - FH01;62065;11188392;(L/B/S)U template;Italielei;2;;;;;
ANTWERPEN-WEST - FH01;62065;11188393;(L/B/S)U template;Italielei;2;;;;;
ANTWERPEN-WEST - FH01;62065;11188394;(L/B/S)U template;Italielei;2;;;;;
ANTWERPEN-WEST - FH01;62065;11188395;(L/B/S)U template;Italielei;2;;;;;
ANTWERPEN-WEST - FH01;62065;11188396;(L/B/S)U template;Italielei;2;;;;;
ANTWERPEN-WEST - FH01;62428;11077089;(L/B/S)U template;Entrepotplaats;18;;;;;
ANTWERPEN-WEST - FH01;62428;11077090;(L/B/S)U template;Entrepotplaats;18;;;;;
ANTWERPEN-WEST - FH01;62428;11077091;(L/B/S)U template;Entrepotplaats;18;;;;;
